[2022-03-21 11:32:47.182352]Total energy: 20694980.031623486
[2022-03-21 11:34:06.842360]Total energy: 20697188.89036292
[2022-03-21 11:35:25.345087]Total energy: 20693318.287835922
[2022-03-21 11:36:43.719304]Total energy: 20700579.467874438
[2022-03-21 11:38:01.622329]Total energy: 20695167.35947484
[2022-03-21 11:39:19.850357]Total energy: 20691256.997040205
[2022-03-21 11:40:37.931683]Total energy: 20701765.09908356
[2022-03-21 11:41:56.756793]Total energy: 20692258.491454754
[2022-03-21 11:43:15.746026]Total energy: 20689346.633086205
[2022-03-21 11:44:34.365215]Total energy: 20707726.722185545
[2022-03-21 11:45:52.557387]Total energy: 20703498.829365674
[2022-03-21 11:47:10.932660]Total energy: 20692054.02482804
[2022-03-21 11:48:29.729480]Total energy: 20685655.532049745
[2022-03-21 11:49:47.252081]Total energy: 20695487.487708017
[2022-03-21 11:51:05.570232]Total energy: 20699169.03979206
[2022-03-21 11:52:23.156510]Total energy: 20704963.371918567
[2022-03-21 11:53:41.606864]Total energy: 20694506.72448744
[2022-03-21 11:55:00.321121]Total energy: 20696155.651035916
[2022-03-21 11:56:18.342249]Total energy: 20690985.86207431
[2022-03-21 11:57:36.858189]Total energy: 20703700.353729818
[2022-03-21 11:58:53.365500]Total energy: 20719384.496480346
[2022-03-21 12:00:13.084775]Total energy: 20698562.394017924
[2022-03-21 12:01:32.382583]Total energy: 20695550.01936412
[2022-03-21 12:02:50.717887]Total energy: 20689578.261100177
[2022-03-21 12:04:09.290793]Total energy: 20690612.435758404
[2022-03-21 12:05:27.084349]Total energy: 20708738.463637017
[2022-03-21 12:06:45.354191]Total energy: 20705780.39668971
[2022-03-21 12:08:03.535055]Total energy: 20703590.246464446
[2022-03-21 12:09:22.350617]Total energy: 20696541.842477974
[2022-03-21 12:10:41.167421]Total energy: 20691201.415336072
[2022-03-21 12:11:59.067778]Total energy: 20699169.48049786
[2022-03-21 12:13:17.244690]Total energy: 20702668.377568588
[2022-03-21 12:14:35.777098]Total energy: 20694198.00039637
[2022-03-21 12:15:53.779027]Total energy: 20689412.101455837
[2022-03-21 12:17:13.993332]Total energy: 20698508.312465284
[2022-03-21 12:18:31.340098]Total energy: 20695545.33026042
[2022-03-21 12:19:49.119520]Total energy: 20697351.359889977
[2022-03-21 12:21:07.480950]Total energy: 20691509.225937765
[2022-03-21 12:22:27.013430]Total energy: 20690999.009357713
[2022-03-21 12:23:45.408764]Total energy: 20691695.02501391
[2022-03-21 12:25:02.783738]Total energy: 20683868.40015914
[2022-03-21 12:26:19.128768]Total energy: 20689071.50985771
[2022-03-21 12:27:37.044936]Total energy: 20702524.408712544
[2022-03-21 12:28:54.578062]Total energy: 20704743.728957266
[2022-03-21 12:30:13.013837]Total energy: 20699767.211961396
[2022-03-21 12:31:31.009615]Total energy: 20687379.581675418
[2022-03-21 12:32:49.512496]Total energy: 20707271.971118532
[2022-03-21 12:34:08.353351]Total energy: 20701856.163813323
[2022-03-21 12:35:26.201895]Total energy: 20703243.61770435
[2022-03-21 12:36:45.256319]Total energy: 20692128.504708678
[2022-03-21 12:38:04.078881]Total energy: 20695582.147911806
[2022-03-21 12:39:21.207796]Total energy: 20694923.331620604
[2022-03-21 12:40:40.293274]Total energy: 20683076.215758316
[2022-03-21 12:42:01.749611]Total energy: 20691021.07742921
[2022-03-21 12:43:20.169134]Total energy: 20698705.366227817
[2022-03-21 12:44:38.145727]Total energy: 20698246.181095764
[2022-03-21 12:45:55.632608]Total energy: 20696043.77569901
[2022-03-21 12:47:12.092138]Total energy: 20701550.332053263
[2022-03-21 12:48:26.553970]Total energy: 20700587.735354558
[2022-03-21 12:49:41.523282]Total energy: 20711480.643830772
[2022-03-21 12:50:56.622016]Total energy: 20715871.4702482
[2022-03-21 12:52:16.309895]Total energy: 20700567.1507251
[2022-03-21 12:53:33.376882]Total energy: 20701354.61638007
[2022-03-21 12:54:50.066567]Total energy: 20704966.433981888
[2022-03-21 12:56:07.270156]Total energy: 20698775.339615192
[2022-03-21 12:57:25.564711]Total energy: 20696520.56641397
[2022-03-21 12:58:43.310088]Total energy: 20703690.220145673
[2022-03-21 13:00:00.113337]Total energy: 20701834.836808052
[2022-03-21 13:01:18.809956]Total energy: 20696691.740616176
[2022-03-21 13:02:37.669792]Total energy: 20701421.182495728
[2022-03-21 13:03:56.324059]Total energy: 20694898.20881977
[2022-03-21 13:05:14.126497]Total energy: 20681584.666825987
