[2022-03-21 09:34:37.169746]Total energy: 20681625.573761236
[2022-03-21 09:35:46.285002]Total energy: 20680851.89502037
[2022-03-21 09:36:55.145119]Total energy: 20685924.471098717
[2022-03-21 09:38:04.050984]Total energy: 20684187.03734369
[2022-03-21 09:39:13.614016]Total energy: 20681457.541919705
[2022-03-21 09:40:24.697096]Total energy: 20683333.388738997
[2022-03-21 09:41:41.385183]Total energy: 20684008.40934027
[2022-03-21 09:42:50.982584]Total energy: 20690275.66290366
[2022-03-21 09:44:00.195326]Total energy: 20691374.45270382
[2022-03-21 09:45:09.521190]Total energy: 20681256.92068584
[2022-03-21 09:46:19.190509]Total energy: 20706405.985439368
[2022-03-21 09:47:29.605319]Total energy: 20683348.33771413
[2022-03-21 09:48:38.236250]Total energy: 20685562.92730652
[2022-03-21 09:49:48.468831]Total energy: 20683729.757432695
[2022-03-21 09:50:57.967436]Total energy: 20691098.759494066
[2022-03-21 09:52:10.965931]Total energy: 20684478.620134752
[2022-03-21 09:53:21.481668]Total energy: 20687820.631393272
[2022-03-21 09:54:31.744582]Total energy: 20690087.71324498
[2022-03-21 09:55:42.328838]Total energy: 20692834.42798655
[2022-03-21 09:56:53.288813]Total energy: 20686413.425166473
[2022-03-21 09:58:03.389304]Total energy: 20693159.010499462
[2022-03-21 09:59:14.125891]Total energy: 20684740.907553677
[2022-03-21 10:00:31.609325]Total energy: 20680673.24100434
[2022-03-21 10:01:49.833681]Total energy: 20682296.69913398
[2022-03-21 10:02:59.126105]Total energy: 20687509.308424223
[2022-03-21 10:04:09.009463]Total energy: 20686543.8128953
[2022-03-21 10:05:18.170289]Total energy: 20688110.60376078
[2022-03-21 10:06:28.802345]Total energy: 20683453.258876104
[2022-03-21 10:07:40.089392]Total energy: 20673544.236188862
[2022-03-21 10:08:50.281852]Total energy: 20680708.81412827
[2022-03-21 10:10:01.075197]Total energy: 20681565.63943041
[2022-03-21 10:11:11.325796]Total energy: 20686379.309611157
[2022-03-21 10:12:22.764119]Total energy: 20689816.196630523
[2022-03-21 10:13:33.692540]Total energy: 20678088.16685718
[2022-03-21 10:14:44.953037]Total energy: 20693081.229740504
[2022-03-21 10:15:55.579101]Total energy: 20686089.870920353
[2022-03-21 10:17:06.420930]Total energy: 20697409.16197122
[2022-03-21 10:18:17.286332]Total energy: 20687287.152078316
[2022-03-21 10:19:27.755997]Total energy: 20699343.47998932
[2022-03-21 10:20:38.894322]Total energy: 20704702.743545353
[2022-03-21 10:21:49.547295]Total energy: 20702685.91257555
[2022-03-21 10:23:00.273364]Total energy: 20705734.355729166
[2022-03-21 10:24:10.376169]Total energy: 20687664.310064066
[2022-03-21 10:25:20.377606]Total energy: 20703094.61660542
[2022-03-21 10:26:30.010624]Total energy: 20688783.916792784
[2022-03-21 10:27:40.076311]Total energy: 20694171.33807034
[2022-03-21 10:28:50.014815]Total energy: 20686162.203336168
[2022-03-21 10:30:00.672602]Total energy: 20688253.197219525
[2022-03-21 10:31:11.808135]Total energy: 20689332.53553293
[2022-03-21 10:32:23.539074]Total energy: 20685833.469953556
[2022-03-21 10:33:33.636830]Total energy: 20688449.923584085
[2022-03-21 10:34:44.060640]Total energy: 20690355.866090156
[2022-03-21 10:35:55.811166]Total energy: 20687019.940844268
[2022-03-21 10:37:06.545785]Total energy: 20690305.42433398
[2022-03-21 10:38:17.084603]Total energy: 20688009.31125576
[2022-03-21 10:39:27.100694]Total energy: 20685584.753396265
[2022-03-21 10:40:39.286046]Total energy: 20686784.20170737
[2022-03-21 10:41:53.003238]Total energy: 20693439.198572673
[2022-03-21 10:43:03.700816]Total energy: 20687430.078332532
[2022-03-21 10:44:15.559115]Total energy: 20686128.5439391
[2022-03-21 10:45:26.183493]Total energy: 20687034.914259497
[2022-03-21 10:46:36.429886]Total energy: 20682994.81507613
[2022-03-21 10:47:46.725049]Total energy: 20674934.075727448
[2022-03-21 10:48:58.918770]Total energy: 20672963.25894713
[2022-03-21 10:50:10.056024]Total energy: 20674716.504681524
[2022-03-21 10:51:24.559194]Total energy: 20680297.929310296
[2022-03-21 10:52:35.371667]Total energy: 20672611.763144646
[2022-03-21 10:53:48.334695]Total energy: 20670571.043112736
[2022-03-21 10:54:59.868870]Total energy: 20668501.41438961
[2022-03-21 10:56:11.829027]Total energy: 20670199.93752645
[2022-03-21 10:57:24.631447]Total energy: 20685532.63059226
[2022-03-21 10:58:36.853578]Total energy: 20664835.814098977
[2022-03-21 10:59:48.136854]Total energy: 20670660.77608285
[2022-03-21 11:00:59.379546]Total energy: 20675435.14867612
[2022-03-21 11:02:11.576380]Total energy: 20678953.514654584
[2022-03-21 11:03:22.392181]Total energy: 20673801.163565923
[2022-03-21 11:04:34.483065]Total energy: 20683727.30052042
[2022-03-21 11:05:45.176655]Total energy: 20668635.564758644
[2022-03-21 11:06:56.485600]Total energy: 20681453.54251253
[2022-03-21 11:08:07.432071]Total energy: 20690017.529215463
[2022-03-21 11:09:19.296718]Total energy: 20670703.864115022
[2022-03-21 11:10:32.491996]Total energy: 20670833.2379701
[2022-03-21 11:11:45.343710]Total energy: 20660462.381209876
[2022-03-21 11:12:56.610704]Total energy: 20672875.532959916
[2022-03-21 11:14:07.571272]Total energy: 20660309.160041407
[2022-03-21 11:15:18.842363]Total energy: 20664966.267250057
[2022-03-21 11:16:29.097311]Total energy: 20654622.841961462
[2022-03-21 11:17:40.156171]Total energy: 20670674.568063565
[2022-03-21 11:18:51.031438]Total energy: 20665721.272088572
[2022-03-21 11:20:02.171516]Total energy: 20666527.11308956
[2022-03-21 11:21:14.190802]Total energy: 20678474.495810498
[2022-03-21 11:22:25.151204]Total energy: 20682902.591739267
[2022-03-21 11:23:39.582187]Total energy: 20685632.29838156
