initial: 117 - diverse_no_blind_seed
[2022-04-09 15:43:03.727663]Total energy: 27264604.707654722
[2022-04-09 15:44:23.600359]Total energy: 27117265.691699237
[2022-04-09 15:45:45.930396]Total energy: 27209435.827638216
[2022-04-09 15:47:07.515602]Total energy: 27281704.829344857
[2022-04-09 15:48:27.535400]Total energy: 27269859.489372432
[2022-04-09 15:49:48.066378]Total energy: 27223215.4495195
[2022-04-09 15:51:17.525616]Total energy: 27120928.21415394
[2022-04-09 15:52:43.873608]Total energy: 27147904.293869983
[2022-04-09 15:54:05.074058]Total energy: 27231701.41098329
[2022-04-09 15:55:25.683034]Total energy: 27241858.78273663
[2022-04-09 15:56:46.907845]Total energy: 27188128.21880128
[2022-04-09 15:58:07.499393]Total energy: 27258599.722280532
[2022-04-09 15:59:26.276991]Total energy: 27192269.115450513
[2022-04-09 16:01:08.527983]Total energy: 27061762.49393947
[2022-04-09 16:02:47.373559]Total energy: 27161516.626868997
[2022-04-09 16:04:14.506070]Total energy: 27367311.933940914
[2022-04-09 16:05:34.353299]Total energy: 27207031.681626078
[2022-04-09 16:06:52.712385]Total energy: 27395901.787865534
[2022-04-09 16:08:12.797819]Total energy: 27384676.348220605
[2022-04-09 16:09:31.728061]Total energy: 27309469.932290006
[2022-04-09 16:11:22.502588]Total energy: 27460889.64906707
[2022-04-09 16:12:59.458513]Total energy: 27293212.215458333
[2022-04-09 16:14:31.486641]Total energy: 27411829.207822632
[2022-04-09 16:16:00.805415]Total energy: 27489756.50601532
[2022-04-09 16:17:19.772442]Total energy: 27364863.80421299
[2022-04-09 16:18:39.048379]Total energy: 27130217.036153316
[2022-04-09 16:19:58.625472]Total energy: 27400837.485579874
[2022-04-09 16:21:34.229262]Total energy: 27242358.381878033
[2022-04-09 16:23:04.696468]Total energy: 27347576.53919924
[2022-04-09 16:24:31.244820]Total energy: 27313652.153622393
[2022-04-09 16:25:51.390436]Total energy: 27381255.855937243
[2022-04-09 16:27:11.821689]Total energy: 27513255.27840091
[2022-04-09 16:28:32.583973]Total energy: 27486852.57462889
[2022-04-09 16:29:55.966436]Total energy: 27600677.97411096
[2022-04-09 16:31:26.438320]Total energy: 27413101.802545674
[2022-04-09 16:33:01.159342]Total energy: 27206882.387578636
[2022-04-09 16:34:24.733850]Total energy: 27313148.192802113
[2022-04-09 16:35:45.703608]Total energy: 27377837.22689958
