initial: 101 - diverse_no_blind_seed
[2022-04-09 15:45:48.997676]Total energy: 19770681.257785004
[2022-04-09 15:47:09.707594]Total energy: 19701392.345582984
[2022-04-09 15:48:28.482455]Total energy: 19691068.93587571
[2022-04-09 15:49:49.352761]Total energy: 19688302.798455585
[2022-04-09 15:51:24.475797]Total energy: 19678646.56943884
[2022-04-09 15:52:49.703462]Total energy: 19769617.55142143
[2022-04-09 15:54:08.220908]Total energy: 19664700.075713098
[2022-04-09 15:55:27.352073]Total energy: 19794764.788328566
[2022-04-09 15:56:48.524816]Total energy: 19721116.28069089
[2022-04-09 15:58:09.152509]Total energy: 19637402.228370443
[2022-04-09 15:59:28.553253]Total energy: 19687983.851113103
[2022-04-09 16:01:13.891240]Total energy: 19664122.19498095
[2022-04-09 16:02:58.759377]Total energy: 19686280.796598826
[2022-04-09 16:04:26.153537]Total energy: 19705496.98280409
[2022-04-09 16:05:46.570478]Total energy: 19707705.83759383
[2022-04-09 16:07:05.131971]Total energy: 19640719.73928019
[2022-04-09 16:08:25.431630]Total energy: 19754291.654808026
[2022-04-09 16:09:44.469973]Total energy: 19731063.82941854
[2022-04-09 16:11:30.118427]Total energy: 19685775.54151851
[2022-04-09 16:13:12.229816]Total energy: 19772322.174193792
[2022-04-09 16:14:51.028387]Total energy: 19763752.366146304
[2022-04-09 16:16:22.671972]Total energy: 19757479.406333745
[2022-04-09 16:17:57.415887]Total energy: 19729749.288673602
[2022-04-09 16:19:30.010473]Total energy: 19741969.673487034
[2022-04-09 16:21:23.056857]Total energy: 19771466.428694148
[2022-04-09 16:23:02.892543]Total energy: 19717071.776151564
[2022-04-09 16:24:42.996123]Total energy: 19670797.21714408
[2022-04-09 16:26:15.669121]Total energy: 19713258.335671518
[2022-04-09 16:27:46.743970]Total energy: 19698325.488549866
[2022-04-09 16:29:20.802910]Total energy: 19711369.607320055
[2022-04-09 16:31:10.637261]Total energy: 19701973.643019058
[2022-04-09 16:33:03.288573]Total energy: 19737603.30783081
[2022-04-09 16:34:38.760358]Total energy: 19661555.808101874
[2022-04-09 16:36:14.006931]Total energy: 19708646.14339045
[2022-04-09 16:37:48.753923]Total energy: 19775624.37809198
[2022-04-09 16:39:23.601568]Total energy: 19686551.336425263
[2022-04-09 16:41:16.818747]Total energy: 19684059.950891875
[2022-04-09 16:43:00.046759]Total energy: 19714715.00528682
[2022-04-09 16:44:48.442177]Total energy: 19688229.56689811
[2022-04-09 16:46:25.613615]Total energy: 19682192.658429336
[2022-04-09 16:48:00.262911]Total energy: 19723408.844995815
[2022-04-09 16:49:35.137393]Total energy: 19753391.323935058
[2022-04-09 16:51:19.091941]Total energy: 19676444.33127852
[2022-04-09 16:52:53.194144]Total energy: 19682618.069931816
[2022-04-09 16:54:29.916554]Total energy: 19723253.94603617
[2022-04-09 16:56:09.462312]Total energy: 19666744.809977587
[2022-04-09 16:57:46.517482]Total energy: 19759339.5176469
[2022-04-09 16:59:24.975431]Total energy: 19748080.15288747
[2022-04-09 17:01:18.813349]Total energy: 19725435.826057382
[2022-04-09 17:03:15.844597]Total energy: 19652794.458515115
[2022-04-09 17:04:51.875758]Total energy: 19673866.64607192
[2022-04-09 17:06:24.897066]Total energy: 19756814.466432385
[2022-04-09 17:07:58.250579]Total energy: 19704773.740767963
[2022-04-09 17:09:34.606489]Total energy: 19692869.475241553
[2022-04-09 17:11:28.384274]Total energy: 19693051.76891029
[2022-04-09 17:13:24.714977]Total energy: 19681469.078260526
[2022-04-09 17:15:00.000394]Total energy: 19696998.132104624
[2022-04-09 17:16:33.348826]Total energy: 19711020.069965776
[2022-04-09 17:18:04.533619]Total energy: 19730923.172788348
[2022-04-09 17:19:41.425712]Total energy: 19726042.8128794
[2022-04-09 17:21:25.267816]Total energy: 19703125.151214704
[2022-04-09 17:23:16.046190]Total energy: 19750797.24084502
[2022-04-09 17:24:56.583610]Total energy: 19735939.47199617
[2022-04-09 17:26:30.656367]Total energy: 19764341.326633308
[2022-04-09 17:28:03.903996]Total energy: 19776515.05741824
[2022-04-09 17:29:39.985158]Total energy: 19746447.579309583
[2022-04-09 17:31:25.522250]Total energy: 19647857.504227206
[2022-04-09 17:33:16.125826]Total energy: 19646530.35516022
[2022-04-09 17:34:51.831993]Total energy: 19690792.438820407
[2022-04-09 17:36:27.496184]Total energy: 19731459.54211472
[2022-04-09 17:38:02.663547]Total energy: 19574326.887039926
[2022-04-09 17:39:38.111003]Total energy: 19739058.380966928
[2022-04-09 17:41:28.633907]Total energy: 19788791.54819104
[2022-04-09 17:43:16.340298]Total energy: 19814553.280909542
[2022-04-09 17:44:53.447648]Total energy: 19776709.02546459
[2022-04-09 17:46:30.000966]Total energy: 19758589.45545959
[2022-04-09 17:48:06.147411]Total energy: 19772491.347548526
[2022-04-09 17:49:43.551128]Total energy: 19792329.05225564
[2022-04-09 17:51:37.739731]Total energy: 19792595.074633703
[2022-04-09 17:53:36.739867]Total energy: 19778889.458073545
[2022-04-09 17:55:20.759073]Total energy: 19746098.08547373
[2022-04-09 17:56:58.613906]Total energy: 19844969.611370753
[2022-04-09 17:58:36.414542]Total energy: 19783702.270686608
[2022-04-09 18:00:14.176643]Total energy: 19723967.512672607
[2022-04-09 18:01:50.839274]Total energy: 19704579.059031032
[2022-04-09 18:03:22.610049]Total energy: 19785984.67445632
[2022-04-09 18:04:48.529040]Total energy: 19786319.916166086
[2022-04-09 18:06:13.475182]Total energy: 19727372.546439514
[2022-04-09 18:07:39.865486]Total energy: 19775633.448215
[2022-04-09 18:09:07.279371]Total energy: 19805224.66315396
[2022-04-09 18:10:55.529824]Total energy: 19802980.395448685
[2022-04-09 18:12:21.343954]Total energy: 19813672.781526174
[2022-04-09 18:13:46.554730]Total energy: 19718033.345521383
[2022-04-09 18:15:12.468836]Total energy: 19864878.989126887
[2022-04-09 18:16:38.748055]Total energy: 19790846.34538668
[2022-04-09 18:18:07.533477]Total energy: 19826010.95794831
[2022-04-09 18:19:35.190366]Total energy: 19797314.446258895
[2022-04-09 18:21:17.211898]Total energy: 19793283.968253333
[2022-04-09 18:23:00.912467]Total energy: 19786937.09173763
[2022-04-09 18:24:35.889875]Total energy: 19714034.716404393
[2022-04-09 18:26:01.259495]Total energy: 19746420.746676914
[2022-04-09 18:27:26.766437]Total energy: 19745269.88697251
[2022-04-09 18:28:54.932607]Total energy: 19741301.864929352
[2022-04-09 18:31:06.499567]Total energy: 19692819.308376167
[2022-04-09 18:32:57.110914]Total energy: 19712727.664899927
[2022-04-09 18:34:28.448174]Total energy: 19719477.74598409
[2022-04-09 18:35:53.712226]Total energy: 19769292.440326374
[2022-04-09 18:37:20.597606]Total energy: 19699982.484270092
[2022-04-09 18:38:46.456455]Total energy: 19807009.579427138
[2022-04-09 18:40:10.539838]Total energy: 19697767.26964637
[2022-04-09 18:41:39.838151]Total energy: 19732391.530382723
[2022-04-09 18:43:06.852902]Total energy: 19776532.848469816
[2022-04-09 18:44:33.976415]Total energy: 19735149.4264013
[2022-04-09 18:45:59.821884]Total energy: 19735665.061118856
[2022-04-09 18:47:24.256678]Total energy: 19755250.51535245
[2022-04-09 18:48:52.177333]Total energy: 19765784.643457092
[2022-04-09 18:50:16.549298]Total energy: 19733699.842534557
[2022-04-09 18:52:06.538932]Total energy: 19823341.578809526
[2022-04-09 18:53:39.609926]Total energy: 19791767.180692732
[2022-04-09 18:55:06.354327]Total energy: 19717323.518689014
[2022-04-09 18:56:33.301156]Total energy: 19812660.528222974
[2022-04-09 18:58:01.715212]Total energy: 19737078.649640225
[2022-04-09 18:59:29.754605]Total energy: 19669042.657518726
