initial: all - diverse_no_blind_all
[2022-04-09 13:13:34.518404]Total energy: 16867336.19410547
[2022-04-09 13:14:35.150500]Total energy: 16964425.70084171
[2022-04-09 13:15:31.612766]Total energy: 16937706.010756668
[2022-04-09 13:16:28.258384]Total energy: 16867355.217833217
[2022-04-09 13:17:22.463414]Total energy: 16955286.85635509
[2022-04-09 13:18:16.634853]Total energy: 16918920.987243164
[2022-04-09 13:19:10.470709]Total energy: 16915456.653330587
[2022-04-09 13:20:04.448329]Total energy: 16903156.89902939
[2022-04-09 13:21:03.740062]Total energy: 16951623.72605311
[2022-04-09 13:22:05.007269]Total energy: 16895018.21806411
[2022-04-09 13:22:58.615735]Total energy: 16957845.398913413
[2022-04-09 13:23:52.481569]Total energy: 16907400.49398403
[2022-04-09 13:24:48.882255]Total energy: 16931053.28878772
[2022-04-09 13:25:45.505657]Total energy: 16950811.7942031
[2022-04-09 13:26:41.069437]Total energy: 16889724.04405223
[2022-04-09 13:27:35.021616]Total energy: 16938724.629946314
[2022-04-09 13:28:32.227093]Total energy: 16919922.94195462
[2022-04-09 13:29:28.010602]Total energy: 16891087.667169016
[2022-04-09 13:30:43.703707]Total energy: 16908727.61668441
[2022-04-09 13:31:45.560154]Total energy: 16916164.097073372
[2022-04-09 13:32:40.001970]Total energy: 16936790.389979787
[2022-04-09 13:33:34.440153]Total energy: 16923356.826212987
[2022-04-09 13:34:27.839726]Total energy: 16959222.242443644
[2022-04-09 13:35:19.611297]Total energy: 16918076.807958033
[2022-04-09 13:36:15.593245]Total energy: 16954914.261186425
[2022-04-09 13:37:11.662475]Total energy: 16905900.448464002
[2022-04-09 13:38:09.304363]Total energy: 16876351.122245815
[2022-04-09 13:39:04.159222]Total energy: 16928932.355810247
[2022-04-09 13:39:59.125927]Total energy: 16933284.30942295
[2022-04-09 13:41:03.927311]Total energy: 16924156.512365576
[2022-04-09 13:42:03.898480]Total energy: 16943325.79832832
[2022-04-09 13:42:58.429318]Total energy: 16947044.216132954
[2022-04-09 13:43:53.690252]Total energy: 16943579.031374287
[2022-04-09 13:44:48.041983]Total energy: 16915609.780008584
[2022-04-09 13:45:46.867173]Total energy: 16857527.28964509
[2022-04-09 13:46:43.413752]Total energy: 16933868.56278826
[2022-04-09 13:47:37.880339]Total energy: 16919130.233738378
[2022-04-09 13:48:33.241018]Total energy: 16903357.720669605
[2022-04-09 13:49:30.454114]Total energy: 16934068.403397568
[2022-04-09 13:50:50.306356]Total energy: 16956377.2725373
[2022-04-09 13:52:26.135863]Total energy: 16889034.909447324
[2022-04-09 13:53:56.418713]Total energy: 16930107.66288242
[2022-04-09 13:55:27.997159]Total energy: 16885730.431988057
[2022-04-09 13:57:03.030768]Total energy: 16909544.269353267
[2022-04-09 13:58:49.693001]Total energy: 16898264.7926529
[2022-04-09 14:00:51.965810]Total energy: 16950821.110215366
[2022-04-09 14:02:45.953086]Total energy: 16907350.82645506
[2022-04-09 14:04:28.983143]Total energy: 16907547.290237766
[2022-04-09 14:06:06.023419]Total energy: 16914949.706356287
[2022-04-09 14:07:26.928691]Total energy: 16928761.153485905
[2022-04-09 14:09:07.401167]Total energy: 16924435.891174372
[2022-04-09 14:10:55.629517]Total energy: 16931857.324504822
[2022-04-09 14:12:38.496993]Total energy: 16912000.365885124
[2022-04-09 14:14:06.638751]Total energy: 16911191.85490428
[2022-04-09 14:15:33.196141]Total energy: 16920300.78095737
[2022-04-09 14:17:04.551292]Total energy: 16850031.704369646
[2022-04-09 14:18:40.322730]Total energy: 17016096.133853786
[2022-04-09 14:19:42.990897]Total energy: 16957490.454603426
[2022-04-09 14:20:35.966572]Total energy: 16953527.12161027
[2022-04-09 14:21:29.823156]Total energy: 17002661.255280524
[2022-04-09 14:22:24.518403]Total energy: 16942156.95092692
[2022-04-09 14:23:17.604523]Total energy: 16968422.175970808
[2022-04-09 14:24:10.620076]Total energy: 16974745.678088106
[2022-04-09 14:25:04.486090]Total energy: 16937224.03144676
[2022-04-09 14:25:57.851469]Total energy: 17000288.64646133
[2022-04-09 14:26:49.947558]Total energy: 16939443.25004586
[2022-04-09 14:27:42.793607]Total energy: 16974064.263007842
[2022-04-09 14:28:35.059607]Total energy: 16916373.390878603
[2022-04-09 14:29:27.851134]Total energy: 16993366.387506727
[2022-04-09 14:30:44.522184]Total energy: 16995096.228391778
[2022-04-09 14:32:00.881505]Total energy: 16934426.269105826
[2022-04-09 14:32:56.197617]Total energy: 16976342.019947924
[2022-04-09 14:33:51.620755]Total energy: 16922802.51924432
[2022-04-09 14:34:48.095846]Total energy: 16980877.07541695
[2022-04-09 14:35:43.027093]Total energy: 16966769.510613494
[2022-04-09 14:36:38.434107]Total energy: 16958066.18170007
[2022-04-09 14:37:31.666302]Total energy: 16948524.49215208
[2022-04-09 14:38:26.486075]Total energy: 16969408.44185126
[2022-04-09 14:39:19.494974]Total energy: 16966621.283637546
[2022-04-09 14:40:13.475506]Total energy: 16981400.866131134
[2022-04-09 14:41:32.011033]Total energy: 16930728.64599331
[2022-04-09 14:42:46.401981]Total energy: 16972518.3902413
[2022-04-09 14:43:56.273593]Total energy: 16979513.871243004
[2022-04-09 14:44:58.701886]Total energy: 16978192.307884138
[2022-04-09 14:46:03.856949]Total energy: 17001820.659461346
[2022-04-09 14:46:57.602374]Total energy: 16990180.457014173
[2022-04-09 14:47:57.421999]Total energy: 16955825.296823855
[2022-04-09 14:48:51.760869]Total energy: 16960549.556066513
[2022-04-09 14:49:46.273051]Total energy: 16954560.292298805
[2022-04-09 14:51:01.704252]Total energy: 16983086.627271157
[2022-04-09 14:52:17.529904]Total energy: 16930708.250465523
[2022-04-09 14:53:19.123119]Total energy: 16970529.637047905
[2022-04-09 14:54:17.689120]Total energy: 16987902.260383416
[2022-04-09 14:55:12.574725]Total energy: 16968592.486362543
[2022-04-09 14:56:08.123313]Total energy: 16953596.64255553
[2022-04-09 14:57:01.527338]Total energy: 16977101.039651476
[2022-04-09 14:57:56.898371]Total energy: 16983256.18431866
[2022-04-09 14:58:50.282748]Total energy: 16893261.274232086
[2022-04-09 14:59:42.548928]Total energy: 16963922.758911572
[2022-04-09 15:00:57.514497]Total energy: 16948856.427324463
[2022-04-09 15:01:56.881971]Total energy: 16938567.25099474
[2022-04-09 15:02:50.155808]Total energy: 16940857.479620922
[2022-04-09 15:03:42.709503]Total energy: 16900630.265519425
[2022-04-09 15:04:35.044543]Total energy: 16920664.360081445
[2022-04-09 15:05:32.462566]Total energy: 16985009.952418353
[2022-04-09 15:06:25.669208]Total energy: 16951589.808623273
[2022-04-09 15:07:18.966672]Total energy: 16912820.098251686
[2022-04-09 15:08:12.468717]Total energy: 16934742.851865903
[2022-04-09 15:09:05.211404]Total energy: 16950521.1782742
[2022-04-09 15:09:57.884965]Total energy: 16918468.68612957
[2022-04-09 15:11:11.764868]Total energy: 16935293.657295574
[2022-04-09 15:12:33.565549]Total energy: 16922838.612732615
[2022-04-09 15:13:49.870396]Total energy: 16925717.605625086
[2022-04-09 15:14:51.218500]Total energy: 16945393.718246333
[2022-04-09 15:15:43.466419]Total energy: 16928819.183688965
[2022-04-09 15:16:36.138671]Total energy: 16918971.879858304
[2022-04-09 15:17:27.759489]Total energy: 16888711.89033739
[2022-04-09 15:18:19.380896]Total energy: 16933379.49186692
[2022-04-09 15:19:12.747876]Total energy: 16987285.47374399
[2022-04-09 15:20:05.182052]Total energy: 16898346.405442413
[2022-04-09 15:21:21.671907]Total energy: 16892028.572120793
[2022-04-09 15:22:25.134845]Total energy: 16930672.704429045
[2022-04-09 15:23:18.594367]Total energy: 16939527.213276796
[2022-04-09 15:24:12.181852]Total energy: 16946773.046714023
[2022-04-09 15:25:04.732090]Total energy: 16903584.435790215
[2022-04-09 15:26:00.037660]Total energy: 16919412.12397114
[2022-04-09 15:26:52.938698]Total energy: 16941577.416453723
[2022-04-09 15:27:45.533050]Total energy: 16902455.10326659
[2022-04-09 15:28:37.554343]Total energy: 16908559.6396005
[2022-04-09 15:29:30.837175]Total energy: 16947004.9072034
[2022-04-09 15:30:29.641907]Total energy: 16936671.823374484
[2022-04-09 15:31:48.172673]Total energy: 16904825.642563146
[2022-04-09 15:32:49.331798]Total energy: 16886442.905366454
[2022-04-09 15:33:41.982277]Total energy: 16979418.222279545
[2022-04-09 15:34:36.034349]Total energy: 16928905.17662321
[2022-04-09 15:35:29.217669]Total energy: 16917796.230818246
[2022-04-09 15:36:21.509584]Total energy: 16956003.73125807
[2022-04-09 15:37:14.311491]Total energy: 16922489.45716803
[2022-04-09 15:38:06.856590]Total energy: 16950100.79859133
[2022-04-09 15:39:00.569978]Total energy: 16931487.554601062
[2022-04-09 15:39:52.913431]Total energy: 16966159.623795386
[2022-04-09 15:41:23.591902]Total energy: 16899927.808683444
[2022-04-09 15:42:29.139390]Total energy: 16939442.176784407
[2022-04-09 15:43:22.241711]Total energy: 16971203.255315892
[2022-04-09 15:44:14.844304]Total energy: 16929177.62885375
[2022-04-09 15:45:07.202023]Total energy: 16922649.611183256
[2022-04-09 15:45:58.841905]Total energy: 16958656.359143645
[2022-04-09 15:46:51.869758]Total energy: 16946614.112862654
[2022-04-09 15:47:44.172536]Total energy: 16901315.405790623
[2022-04-09 15:48:35.700939]Total energy: 16893947.270339504
[2022-04-09 15:49:28.848993]Total energy: 16942444.326657884
[2022-04-09 15:50:34.556151]Total energy: 16926151.49269911
[2022-04-09 15:51:52.917093]Total energy: 16898423.471545592
[2022-04-09 15:52:47.548021]Total energy: 16888646.638799433
[2022-04-09 15:53:40.476135]Total energy: 16934425.04615836
[2022-04-09 15:54:34.008653]Total energy: 16944137.468492225
[2022-04-09 15:55:26.583808]Total energy: 16923366.756997656
[2022-04-09 15:56:19.018881]Total energy: 16935959.158963222
[2022-04-09 15:57:13.033503]Total energy: 16957094.754659507
[2022-04-09 15:58:06.146723]Total energy: 16948151.859133374
[2022-04-09 15:58:59.210904]Total energy: 16923669.948816095
[2022-04-09 15:59:51.793071]Total energy: 16867399.950300824
[2022-04-09 16:01:11.231478]Total energy: 16903606.934396572
[2022-04-09 16:02:33.428907]Total energy: 16869950.23569789
[2022-04-09 16:03:33.289596]Total energy: 16937011.12015986
[2022-04-09 16:04:27.153066]Total energy: 16946384.959599365
[2022-04-09 16:05:20.511105]Total energy: 16942387.277591106
[2022-04-09 16:06:13.776932]Total energy: 16939632.31014229
[2022-04-09 16:07:06.257863]Total energy: 16928763.015319914
[2022-04-09 16:07:59.002748]Total energy: 16944818.80570043
[2022-04-09 16:08:51.630883]Total energy: 16919485.876101173
[2022-04-09 16:09:44.174407]Total energy: 16919478.96207504
[2022-04-09 16:11:10.446996]Total energy: 16897482.54093255
[2022-04-09 16:12:31.724218]Total energy: 16925340.827686433
[2022-04-09 16:13:43.028728]Total energy: 16959558.074909925
[2022-04-09 16:14:46.333997]Total energy: 16948497.004735727
[2022-04-09 16:15:39.302292]Total energy: 16886699.384147268
[2022-04-09 16:16:31.978865]Total energy: 16897402.40722616
[2022-04-09 16:17:24.550618]Total energy: 16943696.95293934
[2022-04-09 16:18:17.208535]Total energy: 16924378.626829933
[2022-04-09 16:19:09.874974]Total energy: 16924374.887723368
[2022-04-09 16:20:02.537245]Total energy: 16955744.67839107
[2022-04-09 16:21:15.485440]Total energy: 16911168.42849048
[2022-04-09 16:22:28.245539]Total energy: 16926214.36724121
[2022-04-09 16:23:33.153930]Total energy: 16898329.081287853
[2022-04-09 16:24:34.071097]Total energy: 16954517.948859002
[2022-04-09 16:25:26.812711]Total energy: 16932815.83600557
[2022-04-09 16:26:19.741451]Total energy: 16935252.519926827
[2022-04-09 16:27:12.795970]Total energy: 16916499.099871717
[2022-04-09 16:28:06.302894]Total energy: 16922350.920662668
[2022-04-09 16:28:59.204259]Total energy: 16928479.12112651
[2022-04-09 16:29:51.810994]Total energy: 16941061.084683746
[2022-04-09 16:31:04.816494]Total energy: 16926798.685233913
[2022-04-09 16:32:17.681399]Total energy: 16918202.661078222
[2022-04-09 16:33:19.113532]Total energy: 16960085.46995061
