initial: 113 - optimal_only_seed
[2022-04-07 22:16:47.625110]Total energy: 71216058.00272937
[2022-04-07 22:18:05.195751]Total energy: 71462903.4622388
[2022-04-07 22:19:23.141354]Total energy: 71448762.45869224
[2022-04-07 22:20:56.667583]Total energy: 71477655.52937213
[2022-04-07 22:22:23.675181]Total energy: 71428870.10650007
[2022-04-07 22:23:40.218797]Total energy: 71456232.66356404
[2022-04-07 22:24:56.337601]Total energy: 71414379.131296
[2022-04-07 22:26:11.911100]Total energy: 71443259.55948931
[2022-04-07 22:27:29.078405]Total energy: 71407346.47405826
[2022-04-07 22:28:46.328142]Total energy: 71413888.66477866
[2022-04-07 22:30:01.280078]Total energy: 71477021.7279905
[2022-04-07 22:31:35.438708]Total energy: 71409055.23491202
[2022-04-07 22:32:58.429346]Total energy: 71490868.73492399
[2022-04-07 22:34:16.417011]Total energy: 71434986.02760568
[2022-04-07 22:35:33.496403]Total energy: 71432977.66409615
[2022-04-07 22:36:50.153347]Total energy: 71424146.29988976
[2022-04-07 22:38:05.602790]Total energy: 71467453.17912178
[2022-04-07 22:39:23.849759]Total energy: 71496394.594467
[2022-04-07 22:40:57.373223]Total energy: 71460368.68285003
[2022-04-07 22:42:26.355864]Total energy: 71426872.69996281
[2022-04-07 22:43:42.417597]Total energy: 71491379.24050428
[2022-04-07 22:44:59.007425]Total energy: 71474612.89968711
[2022-04-07 22:46:15.797113]Total energy: 71430387.46104454
[2022-04-07 22:47:33.801258]Total energy: 71446219.02829926
[2022-04-07 22:48:50.000502]Total energy: 71413611.36499508
[2022-04-07 22:50:06.668037]Total energy: 71434591.0547248
[2022-04-07 22:51:31.340700]Total energy: 71490422.6337445
[2022-04-07 22:52:54.977357]Total energy: 71388476.82525632
[2022-04-07 22:54:12.543565]Total energy: 71448661.82545374
[2022-04-07 22:55:30.495285]Total energy: 71418974.00795941
[2022-04-07 22:56:49.763935]Total energy: 71445733.62925525
[2022-04-07 22:58:07.090626]Total energy: 71499270.9445484
[2022-04-07 22:59:31.952121]Total energy: 71398670.25000057
[2022-04-07 23:01:08.079274]Total energy: 71456150.79010703
[2022-04-07 23:02:37.128897]Total energy: 71422746.64702336
[2022-04-07 23:03:52.367778]Total energy: 71436428.3106856
[2022-04-07 23:05:09.126471]Total energy: 71367640.23400801
[2022-04-07 23:06:29.377085]Total energy: 71478069.70077017
[2022-04-07 23:07:49.916864]Total energy: 71416243.5617659
[2022-04-07 23:09:12.197913]Total energy: 71511775.08124058
[2022-04-07 23:10:56.236306]Total energy: 71385480.03580716
[2022-04-07 23:12:36.276127]Total energy: 71413630.1627119
[2022-04-07 23:13:57.317180]Total energy: 71507164.7646557
[2022-04-07 23:15:17.597154]Total energy: 71473575.68884885
[2022-04-07 23:16:47.431581]Total energy: 71394829.70283902
[2022-04-07 23:18:06.116918]Total energy: 71436399.2095741
[2022-04-07 23:19:26.163761]Total energy: 71419796.86837631
[2022-04-07 23:21:06.516631]Total energy: 71400459.5709958
[2022-04-07 23:22:35.574797]Total energy: 71463571.2687629
[2022-04-07 23:23:57.025377]Total energy: 71431500.61165798
[2022-04-07 23:25:15.421021]Total energy: 71303314.67368108
