initial: 111 - diverse_no_blind_seed
[2022-04-09 15:43:01.141529]Total energy: 17640550.430711314
[2022-04-09 15:44:19.597850]Total energy: 17661684.875708565
[2022-04-09 15:45:38.459962]Total energy: 17602268.61201965
[2022-04-09 15:46:56.486153]Total energy: 17667364.221502595
[2022-04-09 15:48:15.982746]Total energy: 17660080.897852212
[2022-04-09 15:49:34.460812]Total energy: 17674812.202381942
[2022-04-09 15:51:12.808775]Total energy: 17660252.76556522
[2022-04-09 15:52:39.580334]Total energy: 17672095.31899844
[2022-04-09 15:53:58.535468]Total energy: 17696515.694887593
[2022-04-09 15:55:18.233380]Total energy: 17663345.166596115
[2022-04-09 15:56:38.076322]Total energy: 17667996.40781927
[2022-04-09 15:57:57.798029]Total energy: 17641187.18173951
[2022-04-09 15:59:15.764984]Total energy: 17687038.457216498
[2022-04-09 16:01:07.295377]Total energy: 17704020.377176616
[2022-04-09 16:02:52.621975]Total energy: 17680251.996710483
[2022-04-09 16:04:16.406400]Total energy: 17663355.84496526
[2022-04-09 16:05:36.325790]Total energy: 17655678.05473126
[2022-04-09 16:06:53.761354]Total energy: 17681150.961710762
[2022-04-09 16:08:13.185568]Total energy: 17678130.06083982
[2022-04-09 16:09:31.472224]Total energy: 17676242.95501998
[2022-04-09 16:11:19.319066]Total energy: 17682580.064650357
[2022-04-09 16:12:57.626098]Total energy: 17679450.15655457
[2022-04-09 16:14:29.150373]Total energy: 17623389.61175036
[2022-04-09 16:15:55.923861]Total energy: 17657546.620296665
[2022-04-09 16:17:14.551621]Total energy: 17664056.016751707
[2022-04-09 16:18:33.392280]Total energy: 17635394.847298708
[2022-04-09 16:19:51.887454]Total energy: 17639753.747587338
[2022-04-09 16:21:27.779952]Total energy: 17676706.788479976
[2022-04-09 16:23:02.606907]Total energy: 17684377.846393026
[2022-04-09 16:24:28.398320]Total energy: 17656562.05248791
[2022-04-09 16:25:49.549384]Total energy: 17673010.99403566
[2022-04-09 16:27:11.381237]Total energy: 17634481.410309654
[2022-04-09 16:28:32.582635]Total energy: 17752463.361779567
[2022-04-09 16:29:54.652792]Total energy: 17681822.753228255
[2022-04-09 16:31:20.889159]Total energy: 17688064.348795798
[2022-04-09 16:33:03.043217]Total energy: 17634583.405453745
[2022-04-09 16:34:23.948626]Total energy: 17639323.07233676
[2022-04-09 16:35:44.191717]Total energy: 17684280.323723305
[2022-04-09 16:37:03.537146]Total energy: 17653281.397789888
[2022-04-09 16:38:24.669543]Total energy: 17721300.919357564
[2022-04-09 16:39:44.246137]Total energy: 17663877.136895057
[2022-04-09 16:41:17.319735]Total energy: 17658698.19961134
[2022-04-09 16:42:41.426895]Total energy: 17635550.386949934
[2022-04-09 16:44:13.416748]Total energy: 17650575.515778292
[2022-04-09 16:45:39.449020]Total energy: 17671140.966650028
[2022-04-09 16:46:58.588833]Total energy: 17674619.55478711
[2022-04-09 16:48:15.987722]Total energy: 17699809.140324116
[2022-04-09 16:49:37.407129]Total energy: 17685749.11376141
[2022-04-09 16:51:11.290183]Total energy: 17659286.367036656
[2022-04-09 16:52:39.272028]Total energy: 17681615.106565822
[2022-04-09 16:53:58.492008]Total energy: 17637037.3832793
[2022-04-09 16:55:18.409975]Total energy: 17686531.794625305
[2022-04-09 16:56:37.544508]Total energy: 17653807.384750195
[2022-04-09 16:57:55.888605]Total energy: 17710859.441718947
[2022-04-09 16:59:14.166280]Total energy: 17688205.299380552
[2022-04-09 17:00:49.127488]Total energy: 17622269.59422917
[2022-04-09 17:02:30.103264]Total energy: 17667624.238073625
[2022-04-09 17:03:54.324461]Total energy: 17664820.267727897
[2022-04-09 17:05:12.840728]Total energy: 17676112.031860717
[2022-04-09 17:06:30.941264]Total energy: 17699089.346064314
[2022-04-09 17:07:48.878680]Total energy: 17704795.827459678
[2022-04-09 17:09:07.181940]Total energy: 17694654.80524312
[2022-04-09 17:10:35.253768]Total energy: 17645592.054870427
[2022-04-09 17:12:09.439823]Total energy: 17625882.6910111
[2022-04-09 17:13:30.547470]Total energy: 17676501.763327308
[2022-04-09 17:14:49.140583]Total energy: 17675720.72949983
[2022-04-09 17:16:06.334409]Total energy: 17674022.671586595
[2022-04-09 17:17:24.533016]Total energy: 17636134.9744828
[2022-04-09 17:18:42.781486]Total energy: 17638765.965995666
[2022-04-09 17:20:00.116528]Total energy: 17622690.45515254
[2022-04-09 17:21:29.546272]Total energy: 17714481.82695217
[2022-04-09 17:23:06.086385]Total energy: 17642348.500807483
[2022-04-09 17:24:32.091991]Total energy: 17705735.395248756
[2022-04-09 17:25:49.528477]Total energy: 17684052.15581364
[2022-04-09 17:27:07.000726]Total energy: 17687346.73362931
[2022-04-09 17:28:25.844329]Total energy: 17738457.562126327
[2022-04-09 17:29:43.677360]Total energy: 17639920.544473264
[2022-04-09 17:31:05.764839]Total energy: 17692218.41770886
[2022-04-09 17:32:31.472576]Total energy: 17682526.43688054
[2022-04-09 17:33:55.740452]Total energy: 17668947.75923793
[2022-04-09 17:35:13.609462]Total energy: 17650266.91663442
[2022-04-09 17:36:32.946388]Total energy: 17627719.971212912
[2022-04-09 17:37:50.443574]Total energy: 17667676.80856743
[2022-04-09 17:39:08.260697]Total energy: 17764213.676938232
[2022-04-09 17:40:33.134146]Total energy: 17653455.89951368
[2022-04-09 17:42:17.141630]Total energy: 17681157.71659521
[2022-04-09 17:43:36.861524]Total energy: 17694018.4969341
[2022-04-09 17:44:54.965388]Total energy: 17697341.150996964
[2022-04-09 17:46:15.162250]Total energy: 17619704.767873943
[2022-04-09 17:47:37.141916]Total energy: 17686151.620573945
[2022-04-09 17:48:55.874620]Total energy: 17675579.336635474
[2022-04-09 17:50:13.155578]Total energy: 17680528.87252761
[2022-04-09 17:51:49.614093]Total energy: 17668975.803192753
[2022-04-09 17:53:22.264700]Total energy: 17716383.32785546
[2022-04-09 17:54:45.826228]Total energy: 17630301.97391879
[2022-04-09 17:56:02.536331]Total energy: 17709076.877810575
[2022-04-09 17:57:19.827908]Total energy: 17618472.585120417
[2022-04-09 17:58:37.396712]Total energy: 17662983.171842173
[2022-04-09 17:59:56.901572]Total energy: 17648906.209075656
[2022-04-09 18:01:26.528941]Total energy: 17635758.535288442
[2022-04-09 18:02:57.310629]Total energy: 17611387.5833895
[2022-04-09 18:04:14.621646]Total energy: 17631120.039330713
[2022-04-09 18:05:33.689209]Total energy: 17625292.732032288
[2022-04-09 18:06:51.877206]Total energy: 17632319.99389276
[2022-04-09 18:08:11.207067]Total energy: 17657079.88428751
[2022-04-09 18:09:31.129745]Total energy: 17616834.51974045
[2022-04-09 18:10:58.750505]Total energy: 17669243.92285159
[2022-04-09 18:12:23.917586]Total energy: 17625256.38080475
[2022-04-09 18:13:42.028867]Total energy: 17643753.069618355
[2022-04-09 18:15:00.382143]Total energy: 17604711.766303323
[2022-04-09 18:16:18.325338]Total energy: 17618184.544397548
[2022-04-09 18:17:35.400413]Total energy: 17611287.30942615
[2022-04-09 18:18:52.549255]Total energy: 17608982.323057696
[2022-04-09 18:20:09.669230]Total energy: 17653541.01873475
[2022-04-09 18:21:48.221487]Total energy: 17633732.207248826
[2022-04-09 18:23:28.354325]Total energy: 17696251.090670466
[2022-04-09 18:24:51.739151]Total energy: 17656782.258141026
[2022-04-09 18:26:10.559548]Total energy: 17610043.939751916
[2022-04-09 18:27:27.102597]Total energy: 17626617.969571352
[2022-04-09 18:28:43.413950]Total energy: 17625252.23561342
[2022-04-09 18:30:09.814118]Total energy: 17614848.871135805
[2022-04-09 18:31:42.772042]Total energy: 17588789.89143804
[2022-04-09 18:33:19.391142]Total energy: 17695513.286844194
[2022-04-09 18:34:42.110347]Total energy: 17647843.428497087
[2022-04-09 18:35:59.975074]Total energy: 17723473.793109026
[2022-04-09 18:37:16.582036]Total energy: 17693439.069056362
[2022-04-09 18:38:34.256103]Total energy: 17708044.859406453
[2022-04-09 18:39:50.735781]Total energy: 17683000.832865503
[2022-04-09 18:41:21.323246]Total energy: 17658354.156941622
[2022-04-09 18:42:44.425131]Total energy: 17670533.13682144
[2022-04-09 18:44:01.167232]Total energy: 17679401.143270716
[2022-04-09 18:45:17.314190]Total energy: 17667464.337464064
[2022-04-09 18:46:34.480350]Total energy: 17690173.225857887
[2022-04-09 18:47:51.207894]Total energy: 17711047.90031309
[2022-04-09 18:49:08.130487]Total energy: 17712328.680446073
[2022-04-09 18:50:38.679323]Total energy: 17726635.247020505
[2022-04-09 18:52:25.243708]Total energy: 17682460.934684493
[2022-04-09 18:53:49.088180]Total energy: 17676855.819795035
[2022-04-09 18:55:06.234861]Total energy: 17670605.741131257
[2022-04-09 18:56:24.082826]Total energy: 17691336.477939337
[2022-04-09 18:57:41.944631]Total energy: 17682715.94015997
[2022-04-09 18:58:59.706712]Total energy: 17699136.35254725
[2022-04-09 19:00:16.346518]Total energy: 17734224.81060919
[2022-04-09 19:01:54.513883]Total energy: 17682129.85918896
[2022-04-09 19:03:22.963504]Total energy: 17692696.477555692
[2022-04-09 19:04:56.083855]Total energy: 17672404.076661836
[2022-04-09 19:06:22.598188]Total energy: 17698541.07571225
[2022-04-09 19:07:40.037847]Total energy: 17654011.427659553
[2022-04-09 19:08:57.972383]Total energy: 17658277.83096965
[2022-04-09 19:10:14.885538]Total energy: 17650050.472427364
[2022-04-09 19:11:38.155797]Total energy: 17653627.7338744
[2022-04-09 19:13:05.816685]Total energy: 17716312.525649413
[2022-04-09 19:14:32.831958]Total energy: 17640657.433323793
[2022-04-09 19:15:50.119182]Total energy: 17663632.81023587
[2022-04-09 19:17:58.076927]Total energy: 17740588.950269293
[2022-04-09 19:20:19.069679]Total energy: 17664400.46499651
[2022-04-09 19:21:46.770660]Total energy: 17720401.022123504
[2022-04-09 19:23:05.953468]Total energy: 17686817.987426654
[2022-04-09 19:24:23.009406]Total energy: 17728862.774998818
[2022-04-09 19:25:39.677945]Total energy: 17666254.495249745
[2022-04-09 19:26:56.685277]Total energy: 17709400.034124807
[2022-04-09 19:28:13.791813]Total energy: 17665605.42737514
[2022-04-09 19:29:32.159578]Total energy: 17718397.38824918
[2022-04-09 19:31:18.347923]Total energy: 17705559.38365446
[2022-04-09 19:32:52.386360]Total energy: 17656923.88173324
[2022-04-09 19:34:23.176349]Total energy: 17655023.31889177
[2022-04-09 19:35:45.027737]Total energy: 17725181.779461637
[2022-04-09 19:37:02.329788]Total energy: 17674367.186002847
[2022-04-09 19:38:20.837885]Total energy: 17739119.20002901
