initial: 115 - diverse_no_blind_seed
[2022-04-09 15:43:05.770112]Total energy: 26637581.761667848
[2022-04-09 15:44:26.789455]Total energy: 27245550.63559655
[2022-04-09 15:45:45.854684]Total energy: 27374924.143030703
[2022-04-09 15:47:04.274514]Total energy: 27398917.267544214
[2022-04-09 15:48:23.417401]Total energy: 27334607.61316742
[2022-04-09 15:49:39.766816]Total energy: 27498398.864479203
[2022-04-09 15:51:17.642124]Total energy: 27313087.58318338
[2022-04-09 15:52:43.681858]Total energy: 27398990.47489318
[2022-04-09 15:54:03.903826]Total energy: 27332088.05102541
[2022-04-09 15:55:25.278589]Total energy: 27363835.731218126
[2022-04-09 15:56:45.032837]Total energy: 27359143.533343546
[2022-04-09 15:58:03.925636]Total energy: 27376984.83194856
[2022-04-09 15:59:22.211209]Total energy: 27396769.754833903
[2022-04-09 16:01:08.578346]Total energy: 27295562.00842985
[2022-04-09 16:02:52.165205]Total energy: 27412026.844008446
[2022-04-09 16:04:15.531545]Total energy: 27354799.973729376
[2022-04-09 16:05:34.880401]Total energy: 27343781.84473774
[2022-04-09 16:06:55.451389]Total energy: 27343302.01130262
[2022-04-09 16:08:12.448180]Total energy: 27352975.955656942
[2022-04-09 16:09:32.223612]Total energy: 27381264.38794663
[2022-04-09 16:11:20.022761]Total energy: 27378274.227702197
[2022-04-09 16:12:55.980297]Total energy: 27446638.254740898
[2022-04-09 16:14:24.600878]Total energy: 27383613.363789514
[2022-04-09 16:15:49.127021]Total energy: 27497771.82808148
[2022-04-09 16:17:06.803875]Total energy: 27448824.256699484
[2022-04-09 16:18:26.835829]Total energy: 27451113.99740492
[2022-04-09 16:19:47.081648]Total energy: 27377162.199784756
[2022-04-09 16:21:24.328681]Total energy: 27313802.17637245
[2022-04-09 16:23:01.218964]Total energy: 27434261.936828006
[2022-04-09 16:24:22.410652]Total energy: 27507045.87420682
[2022-04-09 16:25:41.647793]Total energy: 27568519.32767854
[2022-04-09 16:26:59.756956]Total energy: 27605347.784829013
[2022-04-09 16:28:19.363284]Total energy: 27436866.00354893
[2022-04-09 16:29:37.856416]Total energy: 27392900.27049086
[2022-04-09 16:31:10.957117]Total energy: 27346421.96702312
[2022-04-09 16:32:43.823377]Total energy: 27476391.83963801
[2022-04-09 16:34:10.477190]Total energy: 27431380.661758114
[2022-04-09 16:35:29.172829]Total energy: 27590512.149139322
[2022-04-09 16:36:48.462389]Total energy: 27411845.132355306
[2022-04-09 16:38:06.966335]Total energy: 27391562.39298241
[2022-04-09 16:39:25.324637]Total energy: 27451131.611251194
[2022-04-09 16:41:05.775397]Total energy: 27412879.482964184
