initial: 118 - diverse_seed
[2022-04-08 00:05:29.680766]Total energy: 37173919.42435348
[2022-04-08 00:06:27.765922]Total energy: 38281633.87503492
[2022-04-08 00:07:24.356525]Total energy: 38249369.82677883
[2022-04-08 00:08:21.093618]Total energy: 38329586.02614083
[2022-04-08 00:09:19.930439]Total energy: 38320404.05049609
[2022-04-08 00:10:16.751305]Total energy: 38319732.79384187
[2022-04-08 00:11:13.356698]Total energy: 38246734.48858876
[2022-04-08 00:12:10.565210]Total energy: 38347050.746361636
[2022-04-08 00:13:07.777821]Total energy: 38290736.39140731
[2022-04-08 00:14:04.089039]Total energy: 38172805.67854076
[2022-04-08 00:15:02.326784]Total energy: 38231193.06569564
[2022-04-08 00:15:59.626863]Total energy: 38324150.48837069
[2022-04-08 00:16:56.284967]Total energy: 38350038.40334706
[2022-04-08 00:17:53.395829]Total energy: 38251721.37013956
[2022-04-08 00:18:50.359258]Total energy: 38335188.476657055
[2022-04-08 00:19:47.756015]Total energy: 38391949.11279778
[2022-04-08 00:21:12.601937]Total energy: 38156425.4185593
[2022-04-08 00:22:18.287459]Total energy: 38081202.220279776
[2022-04-08 00:23:15.374465]Total energy: 38260074.83361669
[2022-04-08 00:24:13.912771]Total energy: 38154469.044417694
[2022-04-08 00:25:11.921371]Total energy: 38183039.70879852
[2022-04-08 00:26:08.619020]Total energy: 38109839.18823569
[2022-04-08 00:27:07.029277]Total energy: 38394693.782797344
[2022-04-08 00:28:03.932353]Total energy: 38357723.51268646
[2022-04-08 00:29:00.593386]Total energy: 38495880.974513814
[2022-04-08 00:29:58.587758]Total energy: 38261198.461794496
[2022-04-08 00:31:15.969230]Total energy: 38223342.66219645
[2022-04-08 00:32:17.412471]Total energy: 38357943.23150909
[2022-04-08 00:33:10.899359]Total energy: 38176625.795679994
[2022-04-08 00:34:06.915796]Total energy: 38281850.577881634
[2022-04-08 00:34:59.040646]Total energy: 38198624.69953736
[2022-04-08 00:35:52.007310]Total energy: 38223545.37786295
[2022-04-08 00:36:44.772787]Total energy: 38292041.12713482
[2022-04-08 00:37:37.079536]Total energy: 38357782.46988893
[2022-04-08 00:38:29.485038]Total energy: 38180921.840882376
[2022-04-08 00:39:22.547683]Total energy: 38363608.541837335
[2022-04-08 00:40:15.168058]Total energy: 38408647.7447411
[2022-04-08 00:41:15.607642]Total energy: 38271974.17924576
[2022-04-08 00:42:10.292012]Total energy: 38096352.45576078
[2022-04-08 00:43:03.145281]Total energy: 38203839.0645478
[2022-04-08 00:43:55.564315]Total energy: 38332317.83328334
[2022-04-08 00:44:48.292759]Total energy: 38256327.4105208
[2022-04-08 00:45:40.225349]Total energy: 38353844.65005403
[2022-04-08 00:46:33.706621]Total energy: 38149400.87447881
[2022-04-08 00:47:27.704875]Total energy: 38178213.9595732
[2022-04-08 00:48:20.385076]Total energy: 38229585.62125574
[2022-04-08 00:49:12.455881]Total energy: 38385456.792924315
[2022-04-08 00:50:06.300553]Total energy: 38435773.25637306
[2022-04-08 00:51:05.169285]Total energy: 38318617.712152004
[2022-04-08 00:52:04.546239]Total energy: 38389489.02734121
[2022-04-08 00:53:01.667497]Total energy: 38302408.262178004
[2022-04-08 00:54:00.819452]Total energy: 38157151.99066676
[2022-04-08 00:54:57.489233]Total energy: 38234095.422937214
[2022-04-08 00:55:54.160334]Total energy: 38326403.13436836
[2022-04-08 00:56:50.365100]Total energy: 38257891.43030847
[2022-04-08 00:57:46.627953]Total energy: 38245991.53671648
[2022-04-08 00:58:43.894654]Total energy: 38411623.17876187
[2022-04-08 00:59:39.437742]Total energy: 38361990.80740326
[2022-04-08 01:00:48.941834]Total energy: 38207278.494122
[2022-04-08 01:01:48.254174]Total energy: 38326801.64347057
[2022-04-08 01:02:44.245537]Total energy: 38377858.979111716
[2022-04-08 01:03:40.611118]Total energy: 38424714.76982918
[2022-04-08 01:04:37.410284]Total energy: 38149603.69530108
[2022-04-08 01:05:34.098039]Total energy: 38366378.53326131
[2022-04-08 01:06:31.041844]Total energy: 38208973.81268594
[2022-04-08 01:07:27.544416]Total energy: 38269871.41363404
[2022-04-08 01:08:24.106685]Total energy: 38273345.47461376
[2022-04-08 01:09:22.866847]Total energy: 38220195.61076597
[2022-04-08 01:10:19.434030]Total energy: 38490001.61650957
[2022-04-08 01:11:15.834199]Total energy: 38240322.216431305
[2022-04-08 01:12:12.793568]Total energy: 38260985.45158142
[2022-04-08 01:13:09.417055]Total energy: 38202568.19056869
[2022-04-08 01:14:08.498312]Total energy: 38256835.48849001
[2022-04-08 01:15:06.145495]Total energy: 38190293.29556267
[2022-04-08 01:16:02.295464]Total energy: 38324891.13783713
[2022-04-08 01:16:59.539732]Total energy: 38315334.13309911
[2022-04-08 01:17:57.546687]Total energy: 38340758.14036118
[2022-04-08 01:18:54.688305]Total energy: 38352225.501682185
[2022-04-08 01:19:51.614221]Total energy: 38318027.99266256
[2022-04-08 01:20:59.543418]Total energy: 38401011.36071164
[2022-04-08 01:21:58.537010]Total energy: 38221878.01874735
[2022-04-08 01:22:55.029140]Total energy: 38358843.54154766
[2022-04-08 01:23:50.462104]Total energy: 38347597.743866146
[2022-04-08 01:24:46.616914]Total energy: 38334443.259980455
[2022-04-08 01:25:42.570027]Total energy: 38244304.846726805
[2022-04-08 01:26:38.740670]Total energy: 38387638.14754571
[2022-04-08 01:27:33.931375]Total energy: 38080595.141088255
[2022-04-08 01:28:29.476285]Total energy: 38291038.24485516
[2022-04-08 01:29:26.584914]Total energy: 38423270.23596405
[2022-04-08 01:30:29.664234]Total energy: 38062742.03872835
[2022-04-08 01:31:32.978586]Total energy: 38255415.17492308
[2022-04-08 01:32:32.994979]Total energy: 38235703.52304054
[2022-04-08 01:33:28.097322]Total energy: 38328317.669690266
[2022-04-08 01:34:22.538479]Total energy: 38339800.30073906
[2022-04-08 01:35:19.290190]Total energy: 38286409.8840706
[2022-04-08 01:36:26.951679]Total energy: 38372026.76472712
[2022-04-08 01:37:21.296502]Total energy: 38384081.26398453
[2022-04-08 01:38:15.012353]Total energy: 38473629.61040654
[2022-04-08 01:39:07.204167]Total energy: 38212157.464055195
[2022-04-08 01:40:02.552119]Total energy: 38354583.862102374
[2022-04-08 01:41:14.384102]Total energy: 38229241.31563018
[2022-04-08 01:42:11.335239]Total energy: 38086933.38181774
[2022-04-08 01:43:08.218300]Total energy: 38283847.97352733
[2022-04-08 01:44:01.851537]Total energy: 38138895.94619583
[2022-04-08 01:44:56.274131]Total energy: 38220421.76263483
[2022-04-08 01:45:52.941922]Total energy: 38221766.481489256
[2022-04-08 01:46:47.204940]Total energy: 38177003.54476108
[2022-04-08 01:47:41.633957]Total energy: 38153185.99094391
[2022-04-08 01:48:38.414041]Total energy: 37958993.17514887
[2022-04-08 01:49:36.032796]Total energy: 38072148.50585701
[2022-04-08 01:50:48.324963]Total energy: 38007551.208803296
[2022-04-08 01:51:53.839426]Total energy: 38165219.82315525
[2022-04-08 01:52:59.857315]Total energy: 38043147.878183216
[2022-04-08 01:53:56.062030]Total energy: 38384827.75314132
[2022-04-08 01:54:50.627474]Total energy: 37990433.078629926
[2022-04-08 01:55:46.783526]Total energy: 38211448.78331327
[2022-04-08 01:56:41.115698]Total energy: 38022869.049557544
[2022-04-08 01:57:34.271352]Total energy: 38128397.08844816
[2022-04-08 01:58:28.214609]Total energy: 38093976.11747695
[2022-04-08 01:59:24.703753]Total energy: 38078029.782171145
[2022-04-08 02:00:18.813966]Total energy: 38122460.735608734
[2022-04-08 02:01:21.128054]Total energy: 38221577.86013877
[2022-04-08 02:02:21.569541]Total energy: 38369325.59599743
[2022-04-08 02:03:15.211344]Total energy: 38131459.53096422
[2022-04-08 02:04:07.538398]Total energy: 38110765.41157282
[2022-04-08 02:05:01.601020]Total energy: 38118186.2213428
[2022-04-08 02:05:55.967868]Total energy: 38203409.16255718
[2022-04-08 02:06:48.556792]Total energy: 37917136.05672197
[2022-04-08 02:07:41.736055]Total energy: 38108462.21776021
[2022-04-08 02:08:37.396830]Total energy: 38133840.3610706
