initial: 114 - diverse_no_blind_seed
[2022-04-09 15:43:00.061264]Total energy: 18777265.41439948
[2022-04-09 15:44:19.954956]Total energy: 18703311.818792265
[2022-04-09 15:45:38.370277]Total energy: 18739396.240210284
[2022-04-09 15:46:58.814147]Total energy: 18751715.30674326
[2022-04-09 15:48:17.820872]Total energy: 18694846.09200295
[2022-04-09 15:49:36.886137]Total energy: 18785215.842692476
[2022-04-09 15:51:02.552625]Total energy: 18683355.752930984
[2022-04-09 15:52:24.708509]Total energy: 18727421.55904897
[2022-04-09 15:53:44.179149]Total energy: 18744110.68556053
[2022-04-09 15:55:02.906322]Total energy: 18718159.267431278
[2022-04-09 15:56:23.484272]Total energy: 18758894.418457188
[2022-04-09 15:57:43.419453]Total energy: 18783203.38701829
[2022-04-09 15:59:03.311126]Total energy: 18723687.800499436
[2022-04-09 16:00:30.273310]Total energy: 18768618.47526799
[2022-04-09 16:02:04.091147]Total energy: 18707831.796898622
[2022-04-09 16:03:23.952277]Total energy: 18740615.202484276
[2022-04-09 16:04:43.035802]Total energy: 18750183.236798804
[2022-04-09 16:06:01.914749]Total energy: 18758309.73608274
[2022-04-09 16:07:19.225397]Total energy: 18719846.727368046
[2022-04-09 16:08:36.861159]Total energy: 18721713.3973628
[2022-04-09 16:09:53.948700]Total energy: 18764936.073901296
[2022-04-09 16:11:37.511633]Total energy: 18748628.93916186
[2022-04-09 16:13:05.984174]Total energy: 18761336.492981344
[2022-04-09 16:14:32.069689]Total energy: 18806517.238483366
[2022-04-09 16:15:53.673895]Total energy: 18745009.64855841
[2022-04-09 16:17:11.567598]Total energy: 18773512.11632616
[2022-04-09 16:18:29.711808]Total energy: 18719849.067086905
[2022-04-09 16:19:48.008841]Total energy: 18740899.462214213
[2022-04-09 16:21:22.163676]Total energy: 18719860.808701314
[2022-04-09 16:23:01.009240]Total energy: 18791883.803335145
[2022-04-09 16:24:19.479546]Total energy: 18780712.04029246
[2022-04-09 16:25:37.889973]Total energy: 18751572.356665805
[2022-04-09 16:26:55.710907]Total energy: 18739226.00775863
[2022-04-09 16:28:15.699640]Total energy: 18727163.871874098
[2022-04-09 16:29:34.115932]Total energy: 18803335.17666761
[2022-04-09 16:31:09.944156]Total energy: 18729429.485880423
[2022-04-09 16:32:35.306271]Total energy: 18784359.27366955
[2022-04-09 16:33:59.459184]Total energy: 18760683.63532497
[2022-04-09 16:35:16.534104]Total energy: 18721653.220270514
[2022-04-09 16:36:35.015480]Total energy: 18749527.58868025
[2022-04-09 16:37:52.620962]Total energy: 18721260.773885503
[2022-04-09 16:39:11.275018]Total energy: 18775694.000875074
