initial: all - diverse_no_blind_all
[2022-04-09 15:43:09.845906]Total energy: 16901012.757117197
[2022-04-09 15:44:37.078257]Total energy: 16957026.445477262
[2022-04-09 15:46:04.062743]Total energy: 16954729.19268409
[2022-04-09 15:47:30.330721]Total energy: 16945925.976417016
[2022-04-09 15:48:55.947926]Total energy: 16901899.9086553
[2022-04-09 15:50:36.471696]Total energy: 16908163.989631888
[2022-04-09 15:52:24.139943]Total energy: 16921934.80932636
[2022-04-09 15:53:51.088937]Total energy: 16882436.505870063
[2022-04-09 15:55:17.436688]Total energy: 16897570.369798634
[2022-04-09 15:56:41.934064]Total energy: 16888766.065669175
[2022-04-09 15:58:09.604281]Total energy: 16931448.106454868
[2022-04-09 15:59:36.635018]Total energy: 16910562.216366477
[2022-04-09 16:01:23.864046]Total energy: 16941756.629504368
[2022-04-09 16:03:12.920501]Total energy: 16938964.807838295
[2022-04-09 16:04:40.083663]Total energy: 16922880.594577216
[2022-04-09 16:06:05.951504]Total energy: 16892309.40685529
[2022-04-09 16:07:31.845049]Total energy: 16910258.961495202
[2022-04-09 16:08:57.435475]Total energy: 16901895.176241364
[2022-04-09 16:10:21.522344]Total energy: 16884044.157395434
[2022-04-09 16:12:30.441775]Total energy: 16908208.4155048
[2022-04-09 16:14:23.018203]Total energy: 16906399.973828983
[2022-04-09 16:15:56.161353]Total energy: 16899665.60605342
[2022-04-09 16:17:21.043026]Total energy: 16890392.587359887
[2022-04-09 16:18:46.587257]Total energy: 16898721.617702115
[2022-04-09 16:20:12.408199]Total energy: 16882958.692129713
[2022-04-09 16:21:53.380219]Total energy: 16903625.577120006
[2022-04-09 16:23:35.641516]Total energy: 16885137.48936277
[2022-04-09 16:25:09.794456]Total energy: 16862488.3820865
[2022-04-09 16:26:35.772234]Total energy: 16913476.54857217
[2022-04-09 16:28:02.792818]Total energy: 16921139.30933207
[2022-04-09 16:29:29.530097]Total energy: 16880489.82052007
[2022-04-09 16:31:11.352828]Total energy: 16922844.814945005
[2022-04-09 16:33:00.713462]Total energy: 16919741.361821905
[2022-04-09 16:34:29.324269]Total energy: 16913325.17651796
[2022-04-09 16:35:57.763774]Total energy: 16926078.6962794
[2022-04-09 16:37:23.905002]Total energy: 16904806.87080733
[2022-04-09 16:38:50.340932]Total energy: 16939975.167586252
[2022-04-09 16:40:18.447440]Total energy: 16858919.105199456
[2022-04-09 16:41:54.283845]Total energy: 16863981.286525957
[2022-04-09 16:43:29.834261]Total energy: 16842936.94554161
[2022-04-09 16:45:08.555794]Total energy: 16907380.630232647
[2022-04-09 16:46:41.626924]Total energy: 16901079.03319211
[2022-04-09 16:48:08.271670]Total energy: 16887686.42375626
[2022-04-09 16:49:35.500313]Total energy: 16891987.481318243
[2022-04-09 16:51:14.742632]Total energy: 16879103.130733497
[2022-04-09 16:52:44.343690]Total energy: 16869113.252272736
[2022-04-09 16:54:11.057601]Total energy: 16877378.738023214
[2022-04-09 16:55:38.830464]Total energy: 16882400.469147284
[2022-04-09 16:57:04.771800]Total energy: 16865326.33599731
[2022-04-09 16:58:32.166465]Total energy: 16888904.369980164
[2022-04-09 16:59:59.571363]Total energy: 16894072.235813815
[2022-04-09 17:01:38.951313]Total energy: 16873272.931157175
[2022-04-09 17:03:23.180931]Total energy: 16869493.878494874
[2022-04-09 17:04:51.720135]Total energy: 16923430.358296525
[2022-04-09 17:06:19.826039]Total energy: 16878104.057091944
[2022-04-09 17:07:46.177224]Total energy: 16892502.113354273
[2022-04-09 17:09:13.437979]Total energy: 16917841.87765707
[2022-04-09 17:10:56.964006]Total energy: 16863957.304291777
[2022-04-09 17:12:46.175885]Total energy: 16885333.56024826
[2022-04-09 17:14:23.648788]Total energy: 16878361.098549545
[2022-04-09 17:15:51.492557]Total energy: 16875201.195476793
[2022-04-09 17:17:17.698834]Total energy: 16905274.588172704
[2022-04-09 17:18:46.496357]Total energy: 16845415.14811421
[2022-04-09 17:20:12.571869]Total energy: 16853614.47181376
[2022-04-09 17:21:49.369681]Total energy: 16879580.610137988
[2022-04-09 17:23:25.068238]Total energy: 16869433.006404378
[2022-04-09 17:24:57.407557]Total energy: 16900873.424000144
[2022-04-09 17:26:24.533713]Total energy: 16947209.51035054
[2022-04-09 17:27:52.788168]Total energy: 16894273.086169943
[2022-04-09 17:29:20.072603]Total energy: 16844345.5407508
[2022-04-09 17:30:55.636490]Total energy: 16900617.860637832
[2022-04-09 17:32:32.288424]Total energy: 16864289.100325454
[2022-04-09 17:34:05.530336]Total energy: 16893733.898434687
[2022-04-09 17:35:32.862810]Total energy: 16900511.56599115
[2022-04-09 17:36:58.812811]Total energy: 16907771.19533101
[2022-04-09 17:38:25.597214]Total energy: 16906369.343921997
[2022-04-09 17:39:53.603620]Total energy: 16897466.95309302
[2022-04-09 17:41:31.824470]Total energy: 16881196.042481273
[2022-04-09 17:43:06.569717]Total energy: 16904972.107790545
[2022-04-09 17:44:35.192200]Total energy: 16869419.558551706
[2022-04-09 17:46:05.315165]Total energy: 16888302.402134474
[2022-04-09 17:47:38.097553]Total energy: 16896727.3408222
[2022-04-09 17:49:06.666220]Total energy: 16878488.495152183
[2022-04-09 17:51:08.915589]Total energy: 16851978.89752842
[2022-04-09 17:52:59.865404]Total energy: 16915239.260278907
[2022-04-09 17:54:36.014246]Total energy: 16907338.60735656
[2022-04-09 17:56:04.325204]Total energy: 16927013.29166888
[2022-04-09 17:57:31.813376]Total energy: 16858048.799718186
[2022-04-09 17:58:58.185177]Total energy: 16879761.267443568
[2022-04-09 18:00:39.801687]Total energy: 16875464.360385444
[2022-04-09 18:02:19.077383]Total energy: 16862014.66284668
[2022-04-09 18:03:47.300571]Total energy: 16895518.062905483
[2022-04-09 18:05:13.865384]Total energy: 16907938.531465452
[2022-04-09 18:06:39.818877]Total energy: 16907892.97965599
[2022-04-09 18:08:06.897647]Total energy: 16859939.454771396
[2022-04-09 18:09:35.376363]Total energy: 16889444.005293254
[2022-04-09 18:11:07.122837]Total energy: 16907269.4357525
[2022-04-09 18:12:34.410634]Total energy: 16895620.7541571
[2022-04-09 18:14:01.370198]Total energy: 16888878.9744668
[2022-04-09 18:15:31.154648]Total energy: 16867660.61437829
[2022-04-09 18:16:58.430159]Total energy: 16845245.548860442
[2022-04-09 18:18:26.725956]Total energy: 16839105.950231582
[2022-04-09 18:19:53.923851]Total energy: 16831509.328529574
[2022-04-09 18:21:42.765365]Total energy: 16905794.353521198
[2022-04-09 18:23:34.955142]Total energy: 16850773.5553204
[2022-04-09 18:25:06.480727]Total energy: 16882052.8114016
[2022-04-09 18:26:33.700831]Total energy: 16905635.679476887
[2022-04-09 18:27:59.944693]Total energy: 16898863.433512166
[2022-04-09 18:29:38.166217]Total energy: 16876131.23169171
[2022-04-09 18:31:26.628306]Total energy: 16881916.35502035
[2022-04-09 18:33:19.275262]Total energy: 16904449.811218563
[2022-04-09 18:34:52.459611]Total energy: 16882801.397120114
[2022-04-09 18:36:20.684947]Total energy: 16879916.17777817
[2022-04-09 18:37:47.415912]Total energy: 16929626.788087502
[2022-04-09 18:39:15.566938]Total energy: 16911590.2452399
[2022-04-09 18:41:12.889768]Total energy: 16906245.993857898
[2022-04-09 18:42:50.587139]Total energy: 16874303.811774928
[2022-04-09 18:44:17.146131]Total energy: 16849326.676909067
[2022-04-09 18:45:43.621094]Total energy: 16884442.0146839
[2022-04-09 18:47:10.623257]Total energy: 16872909.45566296
[2022-04-09 18:48:37.195382]Total energy: 16884621.787497777
[2022-04-09 18:50:04.851946]Total energy: 16885785.996692974
[2022-04-09 18:51:58.171942]Total energy: 16897461.78514377
[2022-04-09 18:53:32.501704]Total energy: 16889640.00551977
[2022-04-09 18:54:59.160031]Total energy: 16902947.28313864
[2022-04-09 18:56:27.028376]Total energy: 16887477.95148067
[2022-04-09 18:57:53.002782]Total energy: 16870735.431804363
[2022-04-09 18:59:18.933317]Total energy: 16897689.3134195
[2022-04-09 19:01:19.750977]Total energy: 16873601.793285895
[2022-04-09 19:03:09.652722]Total energy: 16846587.77983331
[2022-04-09 19:04:55.461551]Total energy: 16893803.39649627
[2022-04-09 19:06:33.466549]Total energy: 16877554.510850392
[2022-04-09 19:08:01.801575]Total energy: 16889421.06161321
[2022-04-09 19:09:29.521170]Total energy: 16904595.75085855
[2022-04-09 19:11:25.023990]Total energy: 16876061.72698735
[2022-04-09 19:13:01.333034]Total energy: 16917312.48960778
[2022-04-09 19:14:35.252923]Total energy: 16894805.655981693
[2022-04-09 19:16:03.254549]Total energy: 16873494.289253
[2022-04-09 19:19:00.275712]Total energy: 16916200.282406498
[2022-04-09 19:21:16.775098]Total energy: 16915606.990447365
[2022-04-09 19:22:51.772613]Total energy: 16859059.146219436
[2022-04-09 19:24:18.537129]Total energy: 16889427.529649083
[2022-04-09 19:25:45.566973]Total energy: 16900124.99134501
[2022-04-09 19:27:12.197252]Total energy: 16903099.161928393
[2022-04-09 19:28:38.703308]Total energy: 16863922.19771212
[2022-04-09 19:30:08.943350]Total energy: 16916508.83627843
[2022-04-09 19:31:36.480701]Total energy: 16931639.86558089
[2022-04-09 19:33:14.587403]Total energy: 16886847.89244952
[2022-04-09 19:34:58.421150]Total energy: 16865976.14275874
[2022-04-09 19:36:35.482371]Total energy: 16842077.889356807
[2022-04-09 19:38:01.720050]Total energy: 16851963.080938194
[2022-04-09 19:39:29.642341]Total energy: 16887987.455756135
[2022-04-09 19:41:03.720644]Total energy: 16889980.275415417
[2022-04-09 19:42:31.508795]Total energy: 16882243.864060502
[2022-04-09 19:43:59.711869]Total energy: 16892505.949601762
[2022-04-09 19:45:27.883661]Total energy: 16886365.50694837
[2022-04-09 19:46:54.413481]Total energy: 16855122.81125213
[2022-04-09 19:48:20.789324]Total energy: 16893243.15756479
[2022-04-09 19:49:47.086020]Total energy: 16872217.22919734
[2022-04-09 19:51:40.680016]Total energy: 16896138.869769998
[2022-04-09 19:53:28.442882]Total energy: 16914589.435510866
[2022-04-09 19:54:59.434985]Total energy: 16901154.803723983
[2022-04-09 19:56:26.961784]Total energy: 16875640.442371786
[2022-04-09 19:57:52.794916]Total energy: 16885925.334157895
[2022-04-09 19:59:21.518875]Total energy: 16860164.729155384
[2022-04-09 20:00:59.957845]Total energy: 16912801.954405416
[2022-04-09 20:02:30.174959]Total energy: 16910889.18936969
[2022-04-09 20:03:56.316288]Total energy: 16891952.355397977
[2022-04-09 20:05:23.376527]Total energy: 16914874.993445188
[2022-04-09 20:06:50.153724]Total energy: 16908075.4699826
[2022-04-09 20:08:17.454013]Total energy: 16897199.50432112
[2022-04-09 20:09:43.429725]Total energy: 16851619.868999593
[2022-04-09 20:11:32.181892]Total energy: 16884197.13183451
[2022-04-09 20:13:10.714544]Total energy: 16901901.852568
[2022-04-09 20:14:49.548215]Total energy: 16870773.41023281
[2022-04-09 20:16:30.098610]Total energy: 16869051.793599218
[2022-04-09 20:17:55.975880]Total energy: 16872569.652194165
[2022-04-09 20:19:24.286918]Total energy: 16922675.073007695
[2022-04-09 20:21:07.713275]Total energy: 16899963.066428132
[2022-04-09 20:22:59.210970]Total energy: 16890370.508646768
[2022-04-09 20:24:39.508843]Total energy: 16925523.22605611
[2022-04-09 20:26:06.237589]Total energy: 16890022.936940677
[2022-04-09 20:27:33.205759]Total energy: 16865589.58109259
[2022-04-09 20:28:57.973260]Total energy: 16897179.311176695
[2022-04-09 20:30:47.873885]Total energy: 16909970.18079248
[2022-04-09 20:32:23.372350]Total energy: 16893931.275810543
[2022-04-09 20:33:53.805537]Total energy: 16878847.771214794
[2022-04-09 20:35:19.868673]Total energy: 16893681.638394505
[2022-04-09 20:36:48.258615]Total energy: 16922628.51684401
[2022-04-09 20:38:13.750408]Total energy: 16931642.763535842
[2022-04-09 20:39:40.200874]Total energy: 16871606.349549983
[2022-04-09 20:41:30.196019]Total energy: 16928306.942837525
[2022-04-09 20:43:18.610282]Total energy: 16921943.38797802
[2022-04-09 20:45:00.187311]Total energy: 16869056.01837184
[2022-04-09 20:46:28.072004]Total energy: 16873760.033900343
[2022-04-09 20:47:54.870336]Total energy: 16886530.64345689
[2022-04-09 20:49:22.274165]Total energy: 16905386.691111706
[2022-04-09 20:51:05.426562]Total energy: 16899394.09398757
[2022-04-09 20:52:54.977294]Total energy: 16875073.974540766
[2022-04-09 20:54:32.163879]Total energy: 16910638.546914823
[2022-04-09 20:55:59.131549]Total energy: 16854640.19620144
[2022-04-09 20:57:27.397534]Total energy: 16851962.116312195
[2022-04-09 20:58:55.639264]Total energy: 16885474.03015023
[2022-04-09 21:00:57.671142]Total energy: 16867387.33746878
[2022-04-09 21:02:45.513770]Total energy: 16821909.177226316
[2022-04-09 21:04:31.003219]Total energy: 16927656.955085162
[2022-04-09 21:06:16.094429]Total energy: 16905600.464051247
[2022-04-09 21:08:02.753760]Total energy: 16901474.843098015
[2022-04-09 21:09:49.762289]Total energy: 16944193.703119066
[2022-04-09 21:11:24.007272]Total energy: 16921464.647613432
[2022-04-09 21:12:51.117389]Total energy: 16921936.647635195
[2022-04-09 21:14:18.460123]Total energy: 16905317.244641397
[2022-04-09 21:15:46.226205]Total energy: 16920759.970879603
[2022-04-09 21:17:12.140242]Total energy: 16913590.7631935
[2022-04-09 21:18:38.753591]Total energy: 16914501.481068928
[2022-04-09 21:20:04.788700]Total energy: 16930802.247076664
[2022-04-09 21:21:55.952323]Total energy: 16918087.910241403
[2022-04-09 21:23:47.192910]Total energy: 16893913.66622719
[2022-04-09 21:25:17.820980]Total energy: 16881380.543820452
