initial: 106 - diverse_seed
[2022-04-07 20:52:29.451696]Total energy: 20056241.658058308
[2022-04-07 20:53:46.552798]Total energy: 20332424.13320503
[2022-04-07 20:55:01.642453]Total energy: 20324009.832378484
[2022-04-07 20:56:28.280538]Total energy: 20298723.515857447
[2022-04-07 20:57:53.427766]Total energy: 20358290.186642233
[2022-04-07 20:59:07.892352]Total energy: 20375100.107846204
[2022-04-07 21:00:31.359316]Total energy: 20359567.303727254
[2022-04-07 21:01:50.798547]Total energy: 20311586.00484935
[2022-04-07 21:03:05.749914]Total energy: 20278735.38662098
[2022-04-07 21:04:23.728806]Total energy: 20312433.6316918
[2022-04-07 21:05:39.134130]Total energy: 20321170.601767134
[2022-04-07 21:06:57.794274]Total energy: 20294235.226205267
[2022-04-07 21:08:13.031048]Total energy: 20319208.701850742
[2022-04-07 21:09:28.397688]Total energy: 20364686.88097679
[2022-04-07 21:10:49.511206]Total energy: 20370060.54188199
[2022-04-07 21:12:04.841839]Total energy: 20274687.52677277
[2022-04-07 21:13:22.245154]Total energy: 20302037.266051684
[2022-04-07 21:14:37.702853]Total energy: 20346934.443467405
[2022-04-07 21:15:54.383357]Total energy: 20293845.977686517
[2022-04-07 21:17:11.655779]Total energy: 20331799.76051741
[2022-04-07 21:18:26.631302]Total energy: 20300606.766021933
[2022-04-07 21:19:42.030083]Total energy: 20320576.9475
[2022-04-07 21:21:05.402746]Total energy: 20352678.63437369
[2022-04-07 21:22:32.733120]Total energy: 20365281.164553735
[2022-04-07 21:23:52.307087]Total energy: 20352761.604596637
[2022-04-07 21:25:08.410277]Total energy: 20322781.04071013
[2022-04-07 21:26:24.015527]Total energy: 20325278.080011837
[2022-04-07 21:27:39.170701]Total energy: 20389406.580909036
[2022-04-07 21:28:54.692897]Total energy: 20337614.63565646
[2022-04-07 21:30:12.188487]Total energy: 20265775.379167072
[2022-04-07 21:31:30.993646]Total energy: 20374689.583903216
[2022-04-07 21:32:50.053177]Total energy: 20327573.91795882
[2022-04-07 21:34:08.662630]Total energy: 20278731.77590429
[2022-04-07 21:35:26.507435]Total energy: 20358640.201623324
[2022-04-07 21:36:47.046927]Total energy: 20334574.181088775
[2022-04-07 21:38:06.512245]Total energy: 20338093.360942893
[2022-04-07 21:39:26.889567]Total energy: 20372922.6185783
[2022-04-07 21:40:47.785251]Total energy: 20310525.13188312
[2022-04-07 21:42:09.827853]Total energy: 20303488.72378859
[2022-04-07 21:43:30.402861]Total energy: 20303918.342742983
[2022-04-07 21:44:51.029431]Total energy: 20414757.067243353
[2022-04-07 21:46:17.728795]Total energy: 20333042.897895664
[2022-04-07 21:47:36.200477]Total energy: 20369815.94335075
[2022-04-07 21:48:55.207247]Total energy: 20391635.449659284
[2022-04-07 21:50:13.615668]Total energy: 20331419.097155035
[2022-04-07 21:51:34.744402]Total energy: 20322736.60794319
[2022-04-07 21:52:54.140338]Total energy: 20317009.29362002
[2022-04-07 21:54:13.916339]Total energy: 20255079.077149287
[2022-04-07 21:55:33.601623]Total energy: 20329284.683844548
[2022-04-07 21:56:53.352394]Total energy: 20404821.7456361
[2022-04-07 21:58:12.611967]Total energy: 20372158.55911845
[2022-04-07 21:59:29.551819]Total energy: 20358288.624766245
[2022-04-07 22:01:07.456157]Total energy: 20314018.375765275
[2022-04-07 22:02:28.729132]Total energy: 20257689.038227066
[2022-04-07 22:03:47.568182]Total energy: 20358435.40988839
[2022-04-07 22:05:07.912307]Total energy: 20280406.582308978
[2022-04-07 22:06:27.074631]Total energy: 20351232.458188683
[2022-04-07 22:07:44.519757]Total energy: 20361887.42800516
[2022-04-07 22:09:04.145585]Total energy: 20364497.331208277
[2022-04-07 22:10:26.618401]Total energy: 20316824.56744817
[2022-04-07 22:11:49.559109]Total energy: 20332418.01543259
[2022-04-07 22:13:07.129774]Total energy: 20329477.105796546
[2022-04-07 22:14:26.132635]Total energy: 20304216.45797479
[2022-04-07 22:15:45.181213]Total energy: 20338540.436375838
[2022-04-07 22:17:05.043072]Total energy: 20363984.849528573
[2022-04-07 22:18:26.218878]Total energy: 20326808.4127551
[2022-04-07 22:19:43.519168]Total energy: 20360968.323239602
[2022-04-07 22:21:10.336491]Total energy: 20370685.14835464
[2022-04-07 22:22:29.035286]Total energy: 20328648.453222264
[2022-04-07 22:23:48.812091]Total energy: 20334067.17113941
[2022-04-07 22:25:08.728023]Total energy: 20357586.606101464
[2022-04-07 22:26:26.461192]Total energy: 20405728.725414723
[2022-04-07 22:27:44.636039]Total energy: 20321393.656234387
[2022-04-07 22:29:02.760647]Total energy: 20352371.622432422
[2022-04-07 22:30:22.425821]Total energy: 20369331.039434776
[2022-04-07 22:31:44.713633]Total energy: 20345796.24301723
[2022-04-07 22:33:03.394697]Total energy: 20328784.172580816
[2022-04-07 22:34:22.407800]Total energy: 20299808.539337106
[2022-04-07 22:35:40.716426]Total energy: 20296458.56838168
[2022-04-07 22:36:59.482225]Total energy: 20381950.385793403
[2022-04-07 22:38:16.695708]Total energy: 20297986.140343852
[2022-04-07 22:39:37.274927]Total energy: 20295301.112569515
[2022-04-07 22:41:12.242427]Total energy: 20359980.9491732
[2022-04-07 22:42:43.242195]Total energy: 20355667.65867925
[2022-04-07 22:44:01.242716]Total energy: 20367865.538738817
[2022-04-07 22:45:21.303386]Total energy: 20417594.33223904
[2022-04-07 22:46:40.081016]Total energy: 20266267.615055103
[2022-04-07 22:47:57.449414]Total energy: 20370281.823814876
[2022-04-07 22:49:15.227995]Total energy: 20331293.588595506
[2022-04-07 22:50:44.728171]Total energy: 20329728.13039905
[2022-04-07 22:52:14.144162]Total energy: 20330321.05340973
[2022-04-07 22:53:34.384114]Total energy: 20279458.37473432
[2022-04-07 22:54:54.555548]Total energy: 20352085.065824155
[2022-04-07 22:56:14.125620]Total energy: 20358670.765071787
[2022-04-07 22:57:31.362708]Total energy: 20327062.796838883
[2022-04-07 22:58:48.694254]Total energy: 20338132.80995088
[2022-04-07 23:00:14.220952]Total energy: 20365092.358644173
[2022-04-07 23:01:41.565424]Total energy: 20374986.622549202
[2022-04-07 23:03:07.642000]Total energy: 20336115.26176324
[2022-04-07 23:04:27.594487]Total energy: 20372938.129990097
[2022-04-07 23:05:45.685320]Total energy: 20262242.76248426
[2022-04-07 23:07:03.740681]Total energy: 20285107.73831605
[2022-04-07 23:08:21.144576]Total energy: 20286993.85648628
[2022-04-07 23:09:41.580719]Total energy: 20282838.02689764
[2022-04-07 23:11:20.071449]Total energy: 20262364.383498695
[2022-04-07 23:12:41.218647]Total energy: 20274667.22770474
[2022-04-07 23:14:00.095460]Total energy: 20283575.527492188
[2022-04-07 23:15:20.838777]Total energy: 20295937.138115685
[2022-04-07 23:16:54.821983]Total energy: 20282198.81815395
[2022-04-07 23:18:13.096363]Total energy: 20278217.016003497
[2022-04-07 23:19:31.489888]Total energy: 20320991.69008232
[2022-04-07 23:21:08.234270]Total energy: 20207431.235791653
[2022-04-07 23:22:33.367082]Total energy: 20261965.17428667
[2022-04-07 23:23:52.012562]Total energy: 20265391.676425073
[2022-04-07 23:25:09.953930]Total energy: 20244510.63857799
[2022-04-07 23:26:29.413931]Total energy: 20312101.47755521
[2022-04-07 23:27:45.586002]Total energy: 20288011.75853214
[2022-04-07 23:29:03.497631]Total energy: 20318674.958027214
[2022-04-07 23:30:36.760121]Total energy: 20338748.247520287
[2022-04-07 23:32:08.716308]Total energy: 20267488.519829594
[2022-04-07 23:33:28.714563]Total energy: 20280195.76335458
[2022-04-07 23:34:47.673346]Total energy: 20280946.865595713
[2022-04-07 23:36:09.539814]Total energy: 20242033.68688623
[2022-04-07 23:37:28.230824]Total energy: 20295821.73146238
[2022-04-07 23:38:45.159867]Total energy: 20352551.49546162
[2022-04-07 23:40:07.073161]Total energy: 20254358.02690073
[2022-04-07 23:41:27.579305]Total energy: 20185678.77225615
[2022-04-07 23:42:50.223110]Total energy: 20289036.445193943
[2022-04-07 23:44:08.340906]Total energy: 20255429.1683445
[2022-04-07 23:45:26.566819]Total energy: 20313270.585029405
[2022-04-07 23:46:43.696164]Total energy: 20274006.882117707
[2022-04-07 23:48:01.170570]Total energy: 20300906.629584
[2022-04-07 23:49:21.285473]Total energy: 20300819.078227397
[2022-04-07 23:51:06.396803]Total energy: 20244777.910098832
[2022-04-07 23:52:41.804721]Total energy: 20270235.550877612
[2022-04-07 23:54:02.546451]Total energy: 20224547.308754053
[2022-04-07 23:55:24.042770]Total energy: 20324425.812992215
[2022-04-07 23:56:41.588422]Total energy: 20297058.947199628
[2022-04-07 23:58:00.702998]Total energy: 20245610.086018015
[2022-04-07 23:59:20.394280]Total energy: 20325391.259027075
[2022-04-08 00:00:39.835046]Total energy: 20258877.75298559
[2022-04-08 00:02:00.575025]Total energy: 20334558.150896896
[2022-04-08 00:03:19.766657]Total energy: 20277334.748231407
[2022-04-08 00:04:38.690477]Total energy: 20316246.784630783
[2022-04-08 00:06:13.233309]Total energy: 20310002.89870529
[2022-04-08 00:07:30.563013]Total energy: 20348745.886586986
[2022-04-08 00:08:49.141104]Total energy: 20319553.88723701
[2022-04-08 00:10:06.588665]Total energy: 20295655.959869977
[2022-04-08 00:11:23.630276]Total energy: 20302118.565540995
[2022-04-08 00:12:41.774646]Total energy: 20240819.816666495
[2022-04-08 00:13:59.730511]Total energy: 20353538.416656885
[2022-04-08 00:15:23.588636]Total energy: 20333671.9836799
[2022-04-08 00:16:41.590325]Total energy: 20265217.479612008
[2022-04-08 00:17:59.994568]Total energy: 20326572.6852209
[2022-04-08 00:19:20.903015]Total energy: 20272523.015686266
[2022-04-08 00:21:09.773756]Total energy: 20300059.463148296
[2022-04-08 00:22:34.628284]Total energy: 20314040.38133357
[2022-04-08 00:23:53.465788]Total energy: 20284967.401226275
[2022-04-08 00:25:12.855242]Total energy: 20296520.914030816
