initial: 105 - optimal_only_seed
[2022-04-07 19:24:02.157369]Total energy: 35298187.52557138
[2022-04-07 19:25:03.373862]Total energy: 35557482.581127666
[2022-04-07 19:26:04.963450]Total energy: 35531878.85478226
[2022-04-07 19:27:05.910831]Total energy: 35454967.51263697
[2022-04-07 19:28:06.534762]Total energy: 35383156.64281019
[2022-04-07 19:29:07.933052]Total energy: 35572148.712818645
[2022-04-07 19:30:09.345090]Total energy: 35577085.62892732
[2022-04-07 19:31:14.906232]Total energy: 35555690.10288178
[2022-04-07 19:32:21.544346]Total energy: 35422679.37132822
[2022-04-07 19:33:22.515657]Total energy: 35524960.839923196
[2022-04-07 19:34:22.983847]Total energy: 35586453.58201657
[2022-04-07 19:35:23.278010]Total energy: 35622588.69992868
[2022-04-07 19:36:23.464274]Total energy: 35597276.211540855
[2022-04-07 19:37:24.909176]Total energy: 35590751.78263896
[2022-04-07 19:38:25.808081]Total energy: 35512232.747592576
[2022-04-07 19:39:28.443682]Total energy: 35578028.32679458
[2022-04-07 19:40:43.396842]Total energy: 35584325.15336479
[2022-04-07 19:42:05.607569]Total energy: 35529169.66517195
[2022-04-07 19:43:11.202103]Total energy: 35493720.09243742
[2022-04-07 19:44:13.522658]Total energy: 35486582.19605375
[2022-04-07 19:45:16.934260]Total energy: 35523245.12522756
[2022-04-07 19:46:18.290730]Total energy: 35585604.65505123
[2022-04-07 19:47:20.915018]Total energy: 35549562.02617099
[2022-04-07 19:48:23.554091]Total energy: 35394889.44259307
[2022-04-07 19:49:27.033925]Total energy: 35493782.11769549
[2022-04-07 19:50:43.551739]Total energy: 35793302.33392273
[2022-04-07 19:51:51.177104]Total energy: 35448614.41678169
[2022-04-07 19:52:52.950945]Total energy: 35427020.10884403
[2022-04-07 19:53:54.039157]Total energy: 35558514.99984009
[2022-04-07 19:54:58.122259]Total energy: 35558109.700694874
[2022-04-07 19:56:00.217996]Total energy: 35734987.27709878
[2022-04-07 19:57:02.174430]Total energy: 35508506.105394386
[2022-04-07 19:58:06.528072]Total energy: 35494750.12023982
[2022-04-07 19:59:07.451912]Total energy: 35378967.019225225
[2022-04-07 20:00:11.175836]Total energy: 35712496.80145755
[2022-04-07 20:01:21.506969]Total energy: 35529608.552774444
[2022-04-07 20:02:24.929231]Total energy: 35567342.97413688
[2022-04-07 20:03:26.527879]Total energy: 35415749.667392425
[2022-04-07 20:04:28.869847]Total energy: 35483840.76362421
[2022-04-07 20:05:29.208391]Total energy: 35419008.17362075
[2022-04-07 20:06:31.853141]Total energy: 35544239.04544583
[2022-04-07 20:07:33.623198]Total energy: 35585923.03265471
[2022-04-07 20:08:36.917592]Total energy: 35641131.41920487
[2022-04-07 20:09:39.686620]Total energy: 35532557.03753188
[2022-04-07 20:10:59.106807]Total energy: 35396507.48933548
[2022-04-07 20:12:05.016200]Total energy: 35617184.01917428
[2022-04-07 20:13:06.988092]Total energy: 35685614.95652159
[2022-04-07 20:14:09.227910]Total energy: 35443254.28352739
[2022-04-07 20:15:10.848716]Total energy: 35348185.30613897
[2022-04-07 20:16:13.650225]Total energy: 35371373.35646496
[2022-04-07 20:17:17.440157]Total energy: 35473696.42799539
[2022-04-07 20:18:18.901904]Total energy: 35505327.61023683
[2022-04-07 20:19:23.006621]Total energy: 35505787.07838114
[2022-04-07 20:20:40.937458]Total energy: 35543501.44486042
[2022-04-07 20:21:57.637604]Total energy: 35546503.546063155
[2022-04-07 20:23:00.477154]Total energy: 35500091.46575995
[2022-04-07 20:24:03.577647]Total energy: 35456913.44852714
[2022-04-07 20:25:04.988645]Total energy: 35667678.94940892
[2022-04-07 20:26:06.449967]Total energy: 35494751.92102305
[2022-04-07 20:27:09.445745]Total energy: 35539759.958840534
[2022-04-07 20:28:12.059213]Total energy: 35461358.541204855
[2022-04-07 20:29:13.287581]Total energy: 35571339.95316895
[2022-04-07 20:30:15.267983]Total energy: 35469178.81050071
[2022-04-07 20:31:21.501139]Total energy: 35663948.94201717
[2022-04-07 20:32:28.442366]Total energy: 35631614.47487442
[2022-04-07 20:33:30.622612]Total energy: 35497707.767257944
[2022-04-07 20:34:28.835376]Total energy: 35677095.85368745
[2022-04-07 20:35:27.727644]Total energy: 35381549.78705625
[2022-04-07 20:36:26.871529]Total energy: 35469539.46206484
[2022-04-07 20:37:25.766080]Total energy: 35650129.386925
[2022-04-07 20:38:24.313990]Total energy: 35669807.005752444
[2022-04-07 20:39:22.798822]Total energy: 35615175.76727588
[2022-04-07 20:40:22.161839]Total energy: 35601935.42539566
[2022-04-07 20:41:37.344038]Total energy: 35518779.09548624
[2022-04-07 20:42:41.006992]Total energy: 35622330.72058999
[2022-04-07 20:43:40.096559]Total energy: 35478731.439317286
[2022-04-07 20:44:38.207733]Total energy: 35381633.7612797
[2022-04-07 20:45:39.970724]Total energy: 35528984.15608142
[2022-04-07 20:46:38.204683]Total energy: 35624933.475497164
[2022-04-07 20:47:36.674804]Total energy: 35578816.070788175
[2022-04-07 20:48:35.551433]Total energy: 35545083.21506857
[2022-04-07 20:49:34.729357]Total energy: 35547727.99322496
[2022-04-07 20:50:50.810117]Total energy: 35492230.97121835
[2022-04-07 20:52:00.921302]Total energy: 35597794.02325984
[2022-04-07 20:53:04.022925]Total energy: 35716460.40172778
[2022-04-07 20:54:03.173861]Total energy: 35638021.3743648
[2022-04-07 20:55:01.977715]Total energy: 35644533.10767252
[2022-04-07 20:56:12.217620]Total energy: 35695277.62571372
[2022-04-07 20:57:26.178481]Total energy: 35573042.35916212
[2022-04-07 20:58:25.108203]Total energy: 35530866.11535868
[2022-04-07 20:59:23.635469]Total energy: 35541797.01990751
