initial: 107 - diverse_no_blind_seed
[2022-04-09 13:08:03.722055]Total energy: 17101490.36913321
[2022-04-09 13:09:18.190741]Total energy: 17180152.124846213
[2022-04-09 13:11:08.203736]Total energy: 17187403.0277405
[2022-04-09 13:12:51.222987]Total energy: 17150919.14851224
[2022-04-09 13:14:18.199514]Total energy: 17151082.079319507
[2022-04-09 13:15:39.036574]Total energy: 17162849.136881202
[2022-04-09 13:16:57.554573]Total energy: 17214841.638903275
[2022-04-09 13:18:18.761844]Total energy: 17252031.668467358
[2022-04-09 13:19:34.514850]Total energy: 17198726.10452821
[2022-04-09 13:20:54.007793]Total energy: 17156723.351359773
[2022-04-09 13:22:13.828465]Total energy: 17195408.464969456
[2022-04-09 13:23:29.714054]Total energy: 17222813.82545097
[2022-04-09 13:24:47.071493]Total energy: 17157454.14491181
[2022-04-09 13:26:05.245173]Total energy: 17225005.862694096
[2022-04-09 13:27:29.579717]Total energy: 17204036.29715561
[2022-04-09 13:28:49.461999]Total energy: 17132658.74984464
[2022-04-09 13:30:10.167825]Total energy: 17244506.57811174
[2022-04-09 13:31:28.831908]Total energy: 17193367.389601566
[2022-04-09 13:32:44.046861]Total energy: 17157820.25280241
[2022-04-09 13:34:06.918750]Total energy: 17251678.11379747
[2022-04-09 13:35:27.248820]Total energy: 17169112.76873013
[2022-04-09 13:36:45.851988]Total energy: 17176999.958832383
[2022-04-09 13:38:07.459327]Total energy: 17241718.81203889
[2022-04-09 13:39:26.642131]Total energy: 17233679.26843779
[2022-04-09 13:40:53.421807]Total energy: 17140936.45349399
[2022-04-09 13:42:23.672892]Total energy: 17190931.20936178
[2022-04-09 13:43:40.267531]Total energy: 17176806.044280518
[2022-04-09 13:44:56.584030]Total energy: 17169725.18099524
[2022-04-09 13:46:14.578085]Total energy: 17176207.039297994
[2022-04-09 13:47:29.115342]Total energy: 17229418.758509215
[2022-04-09 13:48:44.257535]Total energy: 17200117.44520742
[2022-04-09 13:50:04.370537]Total energy: 17216142.05584658
[2022-04-09 13:51:27.148447]Total energy: 17174383.0242132
[2022-04-09 13:53:20.793228]Total energy: 17178629.045260485
[2022-04-09 13:55:24.276731]Total energy: 17216889.77230353
[2022-04-09 13:57:37.944478]Total energy: 17218334.583984133
[2022-04-09 13:59:55.267301]Total energy: 17210306.990302578
[2022-04-09 14:02:07.690553]Total energy: 17219134.378834955
[2022-04-09 14:04:19.947051]Total energy: 17226288.212175544
[2022-04-09 14:06:18.779761]Total energy: 17232675.90061374
[2022-04-09 14:08:25.717195]Total energy: 17197148.103147354
[2022-04-09 14:10:54.789016]Total energy: 17156029.393093176
[2022-04-09 14:13:07.198894]Total energy: 17159416.738069423
[2022-04-09 14:15:11.612496]Total energy: 17157062.323571358
[2022-04-09 14:17:12.476599]Total energy: 17176413.597874496
[2022-04-09 14:19:17.216432]Total energy: 17157924.831199385
[2022-04-09 14:20:34.641285]Total energy: 17214192.072307374
[2022-04-09 14:21:55.294114]Total energy: 17229773.76874754
