initial: 116 - diverse_no_blind_seed
[2022-04-09 15:43:00.441102]Total energy: 17114725.924947813
[2022-04-09 15:44:17.721725]Total energy: 17132369.10156256
[2022-04-09 15:45:34.289387]Total energy: 17115997.08074652
[2022-04-09 15:46:51.236562]Total energy: 17124788.045746647
[2022-04-09 15:48:07.491217]Total energy: 17155017.434306238
[2022-04-09 15:49:24.419901]Total energy: 17162751.454693656
[2022-04-09 15:50:45.797494]Total energy: 17064340.603461485
[2022-04-09 15:52:08.062954]Total energy: 17179003.685902987
[2022-04-09 15:53:23.668070]Total energy: 17148406.905022677
[2022-04-09 15:54:40.690839]Total energy: 17144889.425668556
[2022-04-09 15:55:57.957088]Total energy: 17141493.35590036
[2022-04-09 15:57:14.751711]Total energy: 17143230.31591314
[2022-04-09 15:58:30.951357]Total energy: 17194667.148128793
[2022-04-09 15:59:47.273617]Total energy: 17174291.49176815
[2022-04-09 16:01:19.122968]Total energy: 17092852.460645806
[2022-04-09 16:02:52.070505]Total energy: 17198167.460502155
[2022-04-09 16:04:13.945345]Total energy: 17154731.493404433
[2022-04-09 16:05:30.241408]Total energy: 17182944.5051384
[2022-04-09 16:06:47.322971]Total energy: 17130901.285979386
[2022-04-09 16:08:03.615185]Total energy: 17120128.405773457
[2022-04-09 16:09:20.641823]Total energy: 17188042.48004444
[2022-04-09 16:11:14.258799]Total energy: 17155994.176515087
[2022-04-09 16:12:58.661568]Total energy: 17143833.63879207
[2022-04-09 16:14:30.497813]Total energy: 17157434.773502026
[2022-04-09 16:15:55.040865]Total energy: 17134288.88543378
[2022-04-09 16:17:11.189848]Total energy: 17198064.244003393
[2022-04-09 16:18:27.422080]Total energy: 17190836.122736104
[2022-04-09 16:19:43.343443]Total energy: 17149210.610430356
[2022-04-09 16:21:17.905400]Total energy: 17182574.66157939
[2022-04-09 16:23:01.398669]Total energy: 17159856.982023813
[2022-04-09 16:24:22.490387]Total energy: 17188097.795898505
[2022-04-09 16:25:40.210202]Total energy: 17134923.398126185
[2022-04-09 16:26:57.349811]Total energy: 17146913.566522934
[2022-04-09 16:28:15.495781]Total energy: 17213609.278619897
[2022-04-09 16:29:32.287741]Total energy: 17149393.779095266
[2022-04-09 16:31:06.260899]Total energy: 17217721.72045561
[2022-04-09 16:32:34.311995]Total energy: 17164122.310211815
[2022-04-09 16:33:59.107738]Total energy: 17121502.502305705
[2022-04-09 16:35:15.024487]Total energy: 17153312.984076682
[2022-04-09 16:36:31.507036]Total energy: 17196444.769432012
[2022-04-09 16:37:49.320557]Total energy: 17202917.49567234
[2022-04-09 16:39:05.365375]Total energy: 17156968.916354798
[2022-04-09 16:40:22.852420]Total energy: 17143619.5001534
[2022-04-09 16:42:13.065430]Total energy: 17129079.054320727
[2022-04-09 16:43:38.973294]Total energy: 17199105.7777193
[2022-04-09 16:45:04.942764]Total energy: 17159853.441097245
[2022-04-09 16:46:27.131353]Total energy: 17102636.90235833
[2022-04-09 16:47:43.910315]Total energy: 17182695.34905113
[2022-04-09 16:49:01.157012]Total energy: 17145336.793884963
[2022-04-09 16:50:17.897799]Total energy: 17156626.680495095
[2022-04-09 16:51:44.010325]Total energy: 17128167.781547874
[2022-04-09 16:53:08.273190]Total energy: 17171768.25731466
[2022-04-09 16:54:24.814968]Total energy: 17144033.522978414
[2022-04-09 16:55:42.117394]Total energy: 17178173.31819601
[2022-04-09 16:56:58.852986]Total energy: 17163551.131790828
[2022-04-09 16:58:14.843570]Total energy: 17136035.05899288
[2022-04-09 16:59:30.827532]Total energy: 17171613.808637712
[2022-04-09 17:00:53.406747]Total energy: 17141218.73006876
[2022-04-09 17:02:16.536549]Total energy: 17194130.356697932
[2022-04-09 17:03:37.208623]Total energy: 17190029.73033922
[2022-04-09 17:04:54.783564]Total energy: 17170297.538547616
[2022-04-09 17:06:10.892179]Total energy: 17205400.804809608
[2022-04-09 17:07:26.573686]Total energy: 17182951.44457283
[2022-04-09 17:08:43.884279]Total energy: 17198717.52727252
[2022-04-09 17:09:59.477572]Total energy: 17171373.10429441
[2022-04-09 17:11:30.819674]Total energy: 17129374.273253378
[2022-04-09 17:13:00.351873]Total energy: 17144897.136726245
[2022-04-09 17:14:24.428592]Total energy: 17144599.759011775
[2022-04-09 17:15:40.935522]Total energy: 17172310.06033181
[2022-04-09 17:16:57.980893]Total energy: 17132583.341071434
[2022-04-09 17:18:14.673257]Total energy: 17161240.514083546
[2022-04-09 17:19:30.438066]Total energy: 17190404.105069958
[2022-04-09 17:21:02.759071]Total energy: 17153938.89671267
[2022-04-09 17:22:46.358233]Total energy: 17184862.342154108
[2022-04-09 17:24:12.246390]Total energy: 17164715.842241887
[2022-04-09 17:25:29.635459]Total energy: 17243630.74988298
[2022-04-09 17:26:46.558110]Total energy: 17200588.03990478
[2022-04-09 17:28:03.431359]Total energy: 17209321.35473691
[2022-04-09 17:29:18.395346]Total energy: 17139888.63272457
[2022-04-09 17:31:00.127386]Total energy: 17168944.094553914
[2022-04-09 17:32:33.470922]Total energy: 17147518.5347203
[2022-04-09 17:33:56.194585]Total energy: 17139625.730085723
[2022-04-09 17:35:12.084327]Total energy: 17134633.55902761
[2022-04-09 17:36:29.305765]Total energy: 17158203.96985507
[2022-04-09 17:37:45.659389]Total energy: 17197373.21077786
[2022-04-09 17:39:01.715315]Total energy: 17145915.369111232
[2022-04-09 17:40:19.760153]Total energy: 17195058.684680406
[2022-04-09 17:41:59.867240]Total energy: 17211112.08836301
[2022-04-09 17:43:20.594169]Total energy: 17180700.336637296
[2022-04-09 17:44:38.288361]Total energy: 17194102.50970288
[2022-04-09 17:45:58.587573]Total energy: 17201800.949392017
[2022-04-09 17:47:21.033912]Total energy: 17125471.227261566
[2022-04-09 17:48:38.193485]Total energy: 17174722.723387986
[2022-04-09 17:49:55.737723]Total energy: 17152883.30290753
[2022-04-09 17:51:37.106613]Total energy: 17167238.045468543
[2022-04-09 17:53:17.997296]Total energy: 17139908.054785546
[2022-04-09 17:54:42.392485]Total energy: 17202528.191101786
[2022-04-09 17:55:58.532278]Total energy: 17164928.57677279
[2022-04-09 17:57:15.882807]Total energy: 17178944.952065162
[2022-04-09 17:58:34.983885]Total energy: 17112336.597992234
[2022-04-09 17:59:54.248619]Total energy: 17134218.047154073
[2022-04-09 18:01:28.360129]Total energy: 17064212.136092115
[2022-04-09 18:02:54.702284]Total energy: 17165161.33369341
[2022-04-09 18:04:10.637360]Total energy: 17150935.74845997
[2022-04-09 18:05:26.285547]Total energy: 17122392.8440718
[2022-04-09 18:06:43.195754]Total energy: 17153942.32391056
[2022-04-09 18:07:59.452566]Total energy: 17171682.37295655
[2022-04-09 18:09:15.390570]Total energy: 17152124.330163904
[2022-04-09 18:10:54.995430]Total energy: 17144469.040978525
[2022-04-09 18:12:14.270489]Total energy: 17208652.349575985
[2022-04-09 18:13:30.526733]Total energy: 17138819.269288454
[2022-04-09 18:14:47.508313]Total energy: 17194477.741252944
[2022-04-09 18:16:04.132787]Total energy: 17144662.34094777
[2022-04-09 18:17:21.263696]Total energy: 17154086.36841879
[2022-04-09 18:18:38.826694]Total energy: 17138067.010313578
[2022-04-09 18:19:55.345893]Total energy: 17161073.169886217
[2022-04-09 18:21:30.929792]Total energy: 17181276.728916273
[2022-04-09 18:23:15.362128]Total energy: 17134663.55796031
[2022-04-09 18:24:39.167644]Total energy: 17171140.965151884
[2022-04-09 18:25:56.589344]Total energy: 17155137.655818034
[2022-04-09 18:27:15.255394]Total energy: 17165126.478151668
[2022-04-09 18:28:31.591474]Total energy: 17167980.402693395
[2022-04-09 18:29:54.642286]Total energy: 17157015.329126853
[2022-04-09 18:31:33.414102]Total energy: 17148685.825367313
[2022-04-09 18:33:15.583937]Total energy: 17188571.85529707
[2022-04-09 18:34:39.278123]Total energy: 17089979.0821917
[2022-04-09 18:35:56.337172]Total energy: 17173249.947201602
[2022-04-09 18:37:12.219273]Total energy: 17177701.014850274
[2022-04-09 18:38:28.963551]Total energy: 17182080.26665242
[2022-04-09 18:39:45.525475]Total energy: 17172494.850668676
[2022-04-09 18:41:27.253963]Total energy: 17134484.477177598
[2022-04-09 18:42:45.582535]Total energy: 17204554.216097493
[2022-04-09 18:44:02.205140]Total energy: 17169784.255382646
[2022-04-09 18:45:18.892831]Total energy: 17167330.338346414
[2022-04-09 18:46:37.391666]Total energy: 17160867.149536896
[2022-04-09 18:47:55.466232]Total energy: 17189364.280414242
[2022-04-09 18:49:12.257298]Total energy: 17155026.141103465
[2022-04-09 18:51:23.961931]Total energy: 17167970.35099152
[2022-04-09 18:53:11.454317]Total energy: 17185710.67850833
[2022-04-09 18:54:28.298279]Total energy: 17222721.45931052
