initial: 103 - optimal_only_seed
[2022-04-07 19:24:17.673376]Total energy: 38171154.448448405
[2022-04-07 19:25:21.387322]Total energy: 38495855.99181937
[2022-04-07 19:26:24.249364]Total energy: 38520143.622770704
[2022-04-07 19:27:28.460373]Total energy: 38783559.11176329
[2022-04-07 19:28:30.955542]Total energy: 38578993.43114053
[2022-04-07 19:29:34.231003]Total energy: 38682068.007166505
[2022-04-07 19:30:45.312994]Total energy: 38370738.06788291
[2022-04-07 19:31:56.242983]Total energy: 38577906.09878416
[2022-04-07 19:33:02.125812]Total energy: 38490556.5719711
[2022-04-07 19:34:05.204127]Total energy: 38353537.91534836
[2022-04-07 19:35:09.492448]Total energy: 38518987.80498647
[2022-04-07 19:36:13.819648]Total energy: 38633924.543360926
[2022-04-07 19:37:17.778007]Total energy: 38632971.94329689
[2022-04-07 19:38:21.932094]Total energy: 38696714.201353356
[2022-04-07 19:39:26.217293]Total energy: 38519007.81876978
[2022-04-07 19:40:57.418728]Total energy: 38497349.86690257
[2022-04-07 19:42:26.777768]Total energy: 38630206.54923772
[2022-04-07 19:43:29.740679]Total energy: 38486826.21961293
[2022-04-07 19:44:34.882289]Total energy: 38521580.76265981
[2022-04-07 19:45:36.606743]Total energy: 38317504.30820742
[2022-04-07 19:46:33.609633]Total energy: 38688123.775676414
[2022-04-07 19:47:30.555685]Total energy: 38408669.53291118
[2022-04-07 19:48:29.466123]Total energy: 38422364.78353192
[2022-04-07 19:49:23.949719]Total energy: 38523803.33326296
[2022-04-07 19:50:18.818710]Total energy: 38424088.22093703
[2022-04-07 19:51:14.198860]Total energy: 38664450.264460154
[2022-04-07 19:52:14.783770]Total energy: 38514745.345698535
[2022-04-07 19:53:14.467859]Total energy: 38669734.28650777
[2022-04-07 19:54:11.533553]Total energy: 38466423.822787575
[2022-04-07 19:55:13.481955]Total energy: 38516020.79609825
[2022-04-07 19:56:05.989527]Total energy: 38483932.23923001
[2022-04-07 19:56:59.780890]Total energy: 38474575.40503431
[2022-04-07 19:57:54.744389]Total energy: 38602660.90916825
[2022-04-07 19:58:48.854495]Total energy: 38614179.00074114
[2022-04-07 19:59:43.113985]Total energy: 38538449.46586477
[2022-04-07 20:00:49.435958]Total energy: 38671869.19024231
[2022-04-07 20:01:58.447328]Total energy: 38650123.04141976
[2022-04-07 20:03:02.081764]Total energy: 38608965.03142535
[2022-04-07 20:04:02.557131]Total energy: 38588279.62785365
[2022-04-07 20:05:03.974462]Total energy: 38554451.99513446
[2022-04-07 20:06:02.871735]Total energy: 38492061.72427449
[2022-04-07 20:06:54.964076]Total energy: 38638098.212991625
[2022-04-07 20:07:49.442235]Total energy: 38476198.34279077
[2022-04-07 20:08:43.374768]Total energy: 38502172.345223814
[2022-04-07 20:09:44.119097]Total energy: 38590547.6331977
[2022-04-07 20:10:56.157470]Total energy: 38459613.82751765
[2022-04-07 20:11:56.031481]Total energy: 38578507.31658422
[2022-04-07 20:12:51.500293]Total energy: 38501719.873917
[2022-04-07 20:13:54.950116]Total energy: 38504611.46155574
[2022-04-07 20:14:57.220015]Total energy: 38316888.55365241
[2022-04-07 20:16:02.427993]Total energy: 38485745.32357331
[2022-04-07 20:17:10.560226]Total energy: 38416568.88865473
[2022-04-07 20:18:17.737603]Total energy: 38517485.15727101
[2022-04-07 20:19:25.345512]Total energy: 38558671.97142474
[2022-04-07 20:20:40.282810]Total energy: 38507880.23835846
[2022-04-07 20:21:51.398023]Total energy: 38560480.75886781
[2022-04-07 20:22:59.110024]Total energy: 38655315.83728444
[2022-04-07 20:24:06.601855]Total energy: 38344864.18310188
[2022-04-07 20:25:10.817457]Total energy: 38451893.388644695
[2022-04-07 20:26:19.181372]Total energy: 38618373.0994352
[2022-04-07 20:27:28.852847]Total energy: 38716454.899158336
[2022-04-07 20:28:36.088061]Total energy: 38540878.988760784
[2022-04-07 20:29:43.275341]Total energy: 38571330.608230166
[2022-04-07 20:31:04.091731]Total energy: 38609782.52482365
[2022-04-07 20:32:13.375902]Total energy: 38605732.209191844
[2022-04-07 20:33:18.440213]Total energy: 38627144.2736757
[2022-04-07 20:34:22.229141]Total energy: 38552664.16951906
[2022-04-07 20:35:25.488772]Total energy: 38581466.76307925
[2022-04-07 20:36:30.768109]Total energy: 38568931.61539558
[2022-04-07 20:37:36.789853]Total energy: 38496424.535340555
