initial: all - diverse_all
[2022-04-07 21:10:21.214988]Total energy: 16891135.032516908
[2022-04-07 21:11:44.478067]Total energy: 16987534.967620913
[2022-04-07 21:13:06.920087]Total energy: 16986511.863137677
[2022-04-07 21:14:30.599420]Total energy: 17015584.618348558
[2022-04-07 21:15:53.323533]Total energy: 16993675.885933787
[2022-04-07 21:17:17.033366]Total energy: 16988688.19821259
[2022-04-07 21:18:41.313518]Total energy: 16982668.779314335
[2022-04-07 21:20:07.308742]Total energy: 17026131.901876304
[2022-04-07 21:21:35.012324]Total energy: 16997446.257045522
[2022-04-07 21:23:01.602146]Total energy: 16954247.232123233
[2022-04-07 21:24:23.554138]Total energy: 16988554.43565275
[2022-04-07 21:25:45.685728]Total energy: 16997045.237962414
[2022-04-07 21:27:11.884328]Total energy: 16974767.774613783
[2022-04-07 21:28:33.721984]Total energy: 17023312.205367673
[2022-04-07 21:29:59.382175]Total energy: 16953724.626443285
[2022-04-07 21:31:22.277641]Total energy: 16989923.143425472
[2022-04-07 21:32:49.030832]Total energy: 16944695.56517415
[2022-04-07 21:34:10.741000]Total energy: 16973074.425761823
[2022-04-07 21:35:32.847437]Total energy: 16958379.351737063
[2022-04-07 21:36:56.443126]Total energy: 16980444.917881794
[2022-04-07 21:38:21.153826]Total energy: 16958105.134921826
[2022-04-07 21:39:43.167101]Total energy: 17014907.195732325
[2022-04-07 21:41:06.079579]Total energy: 16970277.269510273
[2022-04-07 21:42:28.779267]Total energy: 16965721.7594611
[2022-04-07 21:43:52.727732]Total energy: 16972010.569494884
[2022-04-07 21:45:17.744146]Total energy: 16972071.741541628
[2022-04-07 21:46:52.986081]Total energy: 16929539.121770244
[2022-04-07 21:48:16.017840]Total energy: 17008296.224498108
[2022-04-07 21:49:38.854177]Total energy: 16984891.970713235
[2022-04-07 21:51:06.470639]Total energy: 16958853.18045099
[2022-04-07 21:52:29.340707]Total energy: 17028762.617246345
[2022-04-07 21:53:48.847727]Total energy: 16980087.28989749
[2022-04-07 21:55:10.272885]Total energy: 16965648.545112286
[2022-04-07 21:56:34.402945]Total energy: 16959351.290819753
[2022-04-07 21:58:00.015872]Total energy: 16994095.912900224
[2022-04-07 21:59:21.661682]Total energy: 16964592.11503001
[2022-04-07 22:00:54.355608]Total energy: 17000392.4577786
[2022-04-07 22:02:19.884045]Total energy: 16981550.75794058
[2022-04-07 22:03:42.894828]Total energy: 17007062.333673216
[2022-04-07 22:05:07.081765]Total energy: 17012116.361767787
[2022-04-07 22:06:32.016605]Total energy: 16951364.142567575
[2022-04-07 22:07:52.557980]Total energy: 16981350.83631635
[2022-04-07 22:09:16.374666]Total energy: 16988553.19098904
[2022-04-07 22:10:48.635148]Total energy: 16980386.655726433
[2022-04-07 22:12:15.387204]Total energy: 16979571.515630484
[2022-04-07 22:13:40.977733]Total energy: 16979219.68292256
[2022-04-07 22:15:04.236399]Total energy: 17002319.938774586
[2022-04-07 22:16:29.086548]Total energy: 17015481.612144325
[2022-04-07 22:17:51.713693]Total energy: 16975988.076134726
[2022-04-07 22:19:16.731707]Total energy: 16964216.580595456
[2022-04-07 22:20:47.434564]Total energy: 16952302.786663204
[2022-04-07 22:22:15.972425]Total energy: 17030980.1555878
[2022-04-07 22:23:40.925628]Total energy: 17009292.280985918
[2022-04-07 22:25:03.761882]Total energy: 16961756.759285387
[2022-04-07 22:26:27.587498]Total energy: 16985775.3293402
[2022-04-07 22:27:52.865298]Total energy: 17014431.146464877
[2022-04-07 22:29:16.444439]Total energy: 16988173.076426607
[2022-04-07 22:30:49.913226]Total energy: 17061901.905446623
[2022-04-07 22:32:17.260734]Total energy: 16991065.211579796
[2022-04-07 22:33:40.582486]Total energy: 16962742.908645906
[2022-04-07 22:35:06.109472]Total energy: 16958413.471717175
[2022-04-07 22:36:32.618566]Total energy: 16958983.99688115
[2022-04-07 22:37:55.059265]Total energy: 16969899.031670637
[2022-04-07 22:39:19.673995]Total energy: 16993324.339150354
[2022-04-07 22:40:48.971582]Total energy: 16959829.211363137
[2022-04-07 22:42:13.301593]Total energy: 16981418.073359843
[2022-04-07 22:43:35.251056]Total energy: 16965023.9495578
[2022-04-07 22:44:54.058724]Total energy: 16949711.02331152
[2022-04-07 22:46:17.048228]Total energy: 16988128.86284127
[2022-04-07 22:47:41.547992]Total energy: 16992574.908576127
[2022-04-07 22:49:03.939858]Total energy: 16976635.458207227
[2022-04-07 22:50:31.617004]Total energy: 17018824.527712077
[2022-04-07 22:51:55.499080]Total energy: 16969541.270578753
[2022-04-07 22:53:19.068189]Total energy: 16985169.8389704
[2022-04-07 22:54:43.194428]Total energy: 16985259.651977353
[2022-04-07 22:56:07.428256]Total energy: 17010071.270316303
[2022-04-07 22:57:29.831355]Total energy: 17009770.091589015
