initial: all - optimal_only_all
[2022-04-07 20:12:13.126138]Total energy: 31587055.050907493
[2022-04-07 20:13:07.219437]Total energy: 31619051.984861035
[2022-04-07 20:13:58.706842]Total energy: 31552897.886722945
[2022-04-07 20:14:51.943052]Total energy: 31591652.167645704
[2022-04-07 20:15:44.401222]Total energy: 31564312.916341096
[2022-04-07 20:16:36.931997]Total energy: 31562920.396896333
[2022-04-07 20:17:30.067742]Total energy: 31723293.20572677
[2022-04-07 20:18:22.091069]Total energy: 31828098.10960496
[2022-04-07 20:19:15.888574]Total energy: 31716389.253211997
[2022-04-07 20:20:09.420209]Total energy: 31666605.635968395
[2022-04-07 20:21:07.279088]Total energy: 31630117.788220037
[2022-04-07 20:22:01.151676]Total energy: 31731252.533006992
[2022-04-07 20:22:53.575112]Total energy: 31591774.111394323
[2022-04-07 20:23:46.728825]Total energy: 31579731.70554687
[2022-04-07 20:24:39.290238]Total energy: 31665725.076491263
[2022-04-07 20:25:31.427416]Total energy: 31647926.66923572
[2022-04-07 20:26:23.607889]Total energy: 31660380.94192261
[2022-04-07 20:27:17.009362]Total energy: 31624798.15292906
[2022-04-07 20:28:10.228655]Total energy: 31777999.576655507
[2022-04-07 20:29:01.563721]Total energy: 31588110.729328986
[2022-04-07 20:29:55.183033]Total energy: 31743526.860767134
[2022-04-07 20:30:52.333315]Total energy: 31677564.373961914
[2022-04-07 20:31:49.240839]Total energy: 31625521.98642762
[2022-04-07 20:32:42.607779]Total energy: 31681147.060123045
[2022-04-07 20:33:32.814734]Total energy: 31790637.152334616
[2022-04-07 20:34:23.041316]Total energy: 31645335.79030894
[2022-04-07 20:35:13.277829]Total energy: 31591407.97900344
[2022-04-07 20:36:03.827009]Total energy: 31601911.16319752
[2022-04-07 20:36:54.076831]Total energy: 31704173.002456937
[2022-04-07 20:37:44.754641]Total energy: 31615975.586600296
[2022-04-07 20:38:35.207964]Total energy: 31622692.83462873
[2022-04-07 20:39:25.180443]Total energy: 31606020.262247514
[2022-04-07 20:40:15.425124]Total energy: 31712616.46213161
[2022-04-07 20:41:11.303809]Total energy: 31677328.79175543
[2022-04-07 20:42:06.543438]Total energy: 31588072.43365634
[2022-04-07 20:42:57.299288]Total energy: 31652763.08529496
[2022-04-07 20:43:47.460090]Total energy: 31622942.774200916
[2022-04-07 20:44:37.649975]Total energy: 31674558.237775225
[2022-04-07 20:45:28.106042]Total energy: 31719750.272423323
[2022-04-07 20:46:18.049104]Total energy: 31573585.47949849
[2022-04-07 20:47:08.014883]Total energy: 31811649.10668795
[2022-04-07 20:47:58.683044]Total energy: 31864301.65471856
[2022-04-07 20:48:50.427612]Total energy: 31530940.568898845
[2022-04-07 20:49:41.259819]Total energy: 31692218.0363037
[2022-04-07 20:50:52.598673]Total energy: 31756530.516813446
[2022-04-07 20:51:50.333339]Total energy: 31722754.314110383
[2022-04-07 20:52:40.571309]Total energy: 31663452.61557566
[2022-04-07 20:53:33.629474]Total energy: 31741649.302349668
[2022-04-07 20:54:23.478244]Total energy: 31751881.484252345
[2022-04-07 20:55:13.998465]Total energy: 31635987.805797506
[2022-04-07 20:56:16.390351]Total energy: 31629819.687335122
[2022-04-07 20:57:23.529332]Total energy: 31717780.252130087
[2022-04-07 20:58:13.774420]Total energy: 31862123.539496798
[2022-04-07 20:59:04.191547]Total energy: 31602636.619991418
[2022-04-07 20:59:54.987206]Total energy: 31588447.283465106
[2022-04-07 21:00:57.874180]Total energy: 31793555.487072404
[2022-04-07 21:01:50.467500]Total energy: 31734883.96975698
[2022-04-07 21:02:41.741189]Total energy: 31565002.51044663
[2022-04-07 21:03:33.043949]Total energy: 31640497.67123044
[2022-04-07 21:04:24.008929]Total energy: 31638499.332776118
[2022-04-07 21:05:13.787444]Total energy: 31666424.620896846
[2022-04-07 21:06:04.724386]Total energy: 31709096.526734002
[2022-04-07 21:06:57.217995]Total energy: 31733368.986376066
[2022-04-07 21:07:46.936315]Total energy: 31686954.856411047
[2022-04-07 21:08:38.215799]Total energy: 31753657.79568917
[2022-04-07 21:09:28.481392]Total energy: 31689189.71775087
