initial: all - diverse_all
[2022-04-07 22:04:25.403874]Total energy: 16934183.091353137
[2022-04-07 22:05:28.900269]Total energy: 16693370.358425802
[2022-04-07 22:06:31.675619]Total energy: 16646006.885965561
[2022-04-07 22:07:36.323962]Total energy: 16643024.965637859
[2022-04-07 22:08:41.566059]Total energy: 16592041.119394196
[2022-04-07 22:09:43.736005]Total energy: 16627176.874247685
[2022-04-07 22:11:00.150394]Total energy: 16635258.916689573
[2022-04-07 22:12:10.055488]Total energy: 16657028.882919542
[2022-04-07 22:13:08.034125]Total energy: 16625983.261078335
[2022-04-07 22:14:06.970779]Total energy: 16641926.593722014
[2022-04-07 22:15:06.561635]Total energy: 16617240.187074149
[2022-04-07 22:16:05.288432]Total energy: 16636126.326197337
[2022-04-07 22:17:04.387418]Total energy: 16577252.55404262
[2022-04-07 22:18:02.777739]Total energy: 16630748.017279647
[2022-04-07 22:19:02.992913]Total energy: 16622005.048158655
[2022-04-07 22:20:08.560464]Total energy: 16673622.735944042
[2022-04-07 22:21:15.140400]Total energy: 16660516.110150151
[2022-04-07 22:22:18.349219]Total energy: 16599263.86408462
[2022-04-07 22:23:22.896025]Total energy: 16645633.979728898
[2022-04-07 22:24:29.030516]Total energy: 16649667.067632865
[2022-04-07 22:25:34.045916]Total energy: 16626208.592719283
[2022-04-07 22:26:37.319950]Total energy: 16626267.350844912
[2022-04-07 22:27:36.117504]Total energy: 16640806.260760048
[2022-04-07 22:28:34.818514]Total energy: 16619578.279693315
[2022-04-07 22:29:34.137074]Total energy: 16640155.81147847
[2022-04-07 22:30:52.678701]Total energy: 16628135.190866897
[2022-04-07 22:32:04.183964]Total energy: 16629799.85558298
[2022-04-07 22:33:02.410896]Total energy: 16667547.316583255
[2022-04-07 22:34:00.660424]Total energy: 16693750.27609522
[2022-04-07 22:34:59.528895]Total energy: 16613048.794830628
[2022-04-07 22:35:58.846588]Total energy: 16627590.432139644
[2022-04-07 22:37:03.397970]Total energy: 16678005.595474567
[2022-04-07 22:38:05.740609]Total energy: 16657388.873983001
[2022-04-07 22:39:09.348896]Total energy: 16628979.092132231
[2022-04-07 22:40:15.298276]Total energy: 16647720.077727713
[2022-04-07 22:41:31.573984]Total energy: 16622742.713345025
[2022-04-07 22:42:39.558488]Total energy: 16643735.247389836
[2022-04-07 22:43:42.575253]Total energy: 16634387.65598461
[2022-04-07 22:44:45.168379]Total energy: 16632297.508155042
[2022-04-07 22:45:48.251933]Total energy: 16607669.19533657
[2022-04-07 22:46:48.103768]Total energy: 16647049.285240063
[2022-04-07 22:47:47.493576]Total energy: 16621182.292693544
[2022-04-07 22:48:46.358145]Total energy: 16609585.096809326
[2022-04-07 22:49:44.364131]Total energy: 16633050.146452827
[2022-04-07 22:50:54.212882]Total energy: 16638551.890054721
[2022-04-07 22:52:05.597810]Total energy: 16626433.591669511
[2022-04-07 22:53:09.883551]Total energy: 16602825.31554676
[2022-04-07 22:54:16.180476]Total energy: 16668447.135020163
[2022-04-07 22:55:19.417984]Total energy: 16647277.096950043
[2022-04-07 22:56:22.891471]Total energy: 16629509.541721618
[2022-04-07 22:57:26.826034]Total energy: 16669481.052826464
[2022-04-07 22:58:31.758976]Total energy: 16616102.770549696
[2022-04-07 22:59:45.641159]Total energy: 16622843.310323797
[2022-04-07 23:01:09.335393]Total energy: 16628296.979598962
[2022-04-07 23:02:21.823106]Total energy: 16629935.48204309
[2022-04-07 23:03:19.997514]Total energy: 16654785.328115093
[2022-04-07 23:04:17.673445]Total energy: 16641290.364404662
[2022-04-07 23:05:14.607394]Total energy: 16598697.700409971
[2022-04-07 23:06:12.803820]Total energy: 16610200.261754664
[2022-04-07 23:07:10.698917]Total energy: 16615318.259317022
[2022-04-07 23:08:08.442189]Total energy: 16601467.343624596
[2022-04-07 23:09:07.317266]Total energy: 16612718.274790712
[2022-04-07 23:10:11.401858]Total energy: 16660948.167726872
[2022-04-07 23:11:26.785827]Total energy: 16609161.439936114
[2022-04-07 23:12:33.402536]Total energy: 16642149.290428495
[2022-04-07 23:13:35.490730]Total energy: 16609269.155226288
[2022-04-07 23:14:39.990739]Total energy: 16631654.521368124
[2022-04-07 23:15:46.656380]Total energy: 16628586.051293157
[2022-04-07 23:17:00.578032]Total energy: 16609585.588222178
[2022-04-07 23:18:00.082247]Total energy: 16651124.97258144
[2022-04-07 23:18:58.784789]Total energy: 16619009.767625814
[2022-04-07 23:20:00.282167]Total energy: 16652416.051562695
[2022-04-07 23:21:10.878202]Total energy: 16621819.460662954
[2022-04-07 23:22:26.987828]Total energy: 16648821.026652744
[2022-04-07 23:23:31.533241]Total energy: 16647358.168728754
[2022-04-07 23:24:29.076416]Total energy: 16612803.57900236
[2022-04-07 23:25:25.813600]Total energy: 16609845.012369141
[2022-04-07 23:26:26.285728]Total energy: 16622602.997488435
[2022-04-07 23:27:31.610073]Total energy: 16590896.94684642
[2022-04-07 23:28:35.030923]Total energy: 16649871.078229789
[2022-04-07 23:29:39.681101]Total energy: 16623723.75273719
[2022-04-07 23:31:07.931799]Total energy: 16641223.457918292
[2022-04-07 23:32:31.544998]Total energy: 16687065.436054023
[2022-04-07 23:33:37.076210]Total energy: 16643966.765345277
[2022-04-07 23:34:35.866271]Total energy: 16651998.578082126
[2022-04-07 23:35:33.813250]Total energy: 16632877.314962467
[2022-04-07 23:36:33.128344]Total energy: 16628673.84710601
[2022-04-07 23:37:30.656638]Total energy: 16672073.24081318
[2022-04-07 23:38:28.211909]Total energy: 16655003.493678402
[2022-04-07 23:39:27.283859]Total energy: 16625624.215503845
[2022-04-07 23:40:53.688860]Total energy: 16592869.341249548
[2022-04-07 23:42:07.435832]Total energy: 16667083.14259149
[2022-04-07 23:43:10.467895]Total energy: 16609494.442692785
[2022-04-07 23:44:16.068649]Total energy: 16623964.945178492
[2022-04-07 23:45:20.015573]Total energy: 16594413.280298557
[2022-04-07 23:46:25.781068]Total energy: 16638519.285652721
[2022-04-07 23:47:29.729844]Total energy: 16655661.052691802
[2022-04-07 23:48:36.137433]Total energy: 16641522.531418689
[2022-04-07 23:49:42.220512]Total energy: 16669629.237780228
[2022-04-07 23:51:05.972886]Total energy: 16628827.494949345
[2022-04-07 23:52:34.725345]Total energy: 16654630.932559457
[2022-04-07 23:53:45.649368]Total energy: 16573003.640925447
[2022-04-07 23:54:48.928607]Total energy: 16592633.33246134
[2022-04-07 23:55:50.547398]Total energy: 16613205.786378933
[2022-04-07 23:56:48.973480]Total energy: 16621213.21742226
[2022-04-07 23:57:47.011540]Total energy: 16601445.162031673
[2022-04-07 23:58:45.311790]Total energy: 16603497.998122009
[2022-04-07 23:59:49.999806]Total energy: 16636972.999680573
[2022-04-08 00:00:54.928703]Total energy: 16592525.650540186
[2022-04-08 00:02:00.250677]Total energy: 16597441.105716398
[2022-04-08 00:03:04.441664]Total energy: 16630797.08029397
[2022-04-08 00:04:09.322819]Total energy: 16637134.542284403
[2022-04-08 00:05:22.208276]Total energy: 16597736.958212228
[2022-04-08 00:06:30.963339]Total energy: 16612519.673538914
[2022-04-08 00:07:29.283388]Total energy: 16592497.060349954
[2022-04-08 00:08:26.964123]Total energy: 16615019.919430187
[2022-04-08 00:09:25.572814]Total energy: 16603761.590307197
[2022-04-08 00:10:30.008028]Total energy: 16624730.634213043
[2022-04-08 00:11:30.711595]Total energy: 16624518.547139736
[2022-04-08 00:12:28.962606]Total energy: 16652761.049561936
[2022-04-08 00:13:27.257232]Total energy: 16603378.496741299
[2022-04-08 00:14:25.620900]Total energy: 16611330.075640922
[2022-04-08 00:15:25.548162]Total energy: 16616662.49866869
[2022-04-08 00:16:26.734835]Total energy: 16626660.428411506
[2022-04-08 00:17:32.572505]Total energy: 16644041.826209014
[2022-04-08 00:18:36.247580]Total energy: 16608312.989840075
[2022-04-08 00:19:39.830498]Total energy: 16586868.86346227
[2022-04-08 00:21:18.309450]Total energy: 16584898.916451348
[2022-04-08 00:22:35.754882]Total energy: 16581269.59695043
[2022-04-08 00:23:41.994119]Total energy: 16601676.37353233
[2022-04-08 00:24:43.240947]Total energy: 16642688.882109573
[2022-04-08 00:25:42.124955]Total energy: 16645472.649765508
[2022-04-08 00:26:40.509580]Total energy: 16612020.244943293
[2022-04-08 00:27:40.935200]Total energy: 16600449.896843793
[2022-04-08 00:28:39.706456]Total energy: 16601246.960663935
[2022-04-08 00:29:38.007783]Total energy: 16612349.215471344
[2022-04-08 00:30:59.952636]Total energy: 16617522.170342876
[2022-04-08 00:32:18.606621]Total energy: 16655724.00997374
[2022-04-08 00:33:16.279160]Total energy: 16604958.424417235
[2022-04-08 00:34:25.045348]Total energy: 16601989.578873085
[2022-04-08 00:35:29.554359]Total energy: 16627028.029636415
[2022-04-08 00:36:34.726888]Total energy: 16602184.484549882
[2022-04-08 00:37:40.974765]Total energy: 16619938.584452132
[2022-04-08 00:38:48.354367]Total energy: 16654001.680481268
[2022-04-08 00:39:56.599978]Total energy: 16635291.181603221
[2022-04-08 00:41:15.614595]Total energy: 16629470.159918662
[2022-04-08 00:42:16.907144]Total energy: 16585052.893897923
[2022-04-08 00:43:17.712652]Total energy: 16608490.401777884
[2022-04-08 00:44:18.182047]Total energy: 16604690.490822515
[2022-04-08 00:45:17.862828]Total energy: 16612453.112852076
[2022-04-08 00:46:20.566319]Total energy: 16561055.955783071
[2022-04-08 00:47:23.457024]Total energy: 16647176.240652114
[2022-04-08 00:48:23.527877]Total energy: 16654948.043704012
[2022-04-08 00:49:23.346830]Total energy: 16609704.946031172
[2022-04-08 00:50:41.311023]Total energy: 16650088.85790793
[2022-04-08 00:51:56.819665]Total energy: 16639181.440870743
[2022-04-08 00:53:02.782161]Total energy: 16648397.345567938
[2022-04-08 00:54:09.523666]Total energy: 16661851.62715922
[2022-04-08 00:55:15.984467]Total energy: 16625095.489393929
[2022-04-08 00:56:23.456958]Total energy: 16634375.747217001
[2022-04-08 00:57:31.108830]Total energy: 16622478.746320788
[2022-04-08 00:58:38.736494]Total energy: 16631202.557087481
[2022-04-08 00:59:38.596305]Total energy: 16644264.763532497
[2022-04-08 01:00:54.903518]Total energy: 16617306.6829622
[2022-04-08 01:02:03.421018]Total energy: 16658464.33780153
[2022-04-08 01:03:03.891322]Total energy: 16665454.08754653
[2022-04-08 01:04:03.049016]Total energy: 16644060.204474539
[2022-04-08 01:05:03.159938]Total energy: 16673439.614860995
[2022-04-08 01:06:04.396787]Total energy: 16635885.765153099
[2022-04-08 01:07:05.502722]Total energy: 16663526.480694553
[2022-04-08 01:08:06.799390]Total energy: 16666065.815570693
[2022-04-08 01:09:15.749207]Total energy: 16640061.125044687
[2022-04-08 01:10:20.505142]Total energy: 16632038.570514446
[2022-04-08 01:11:27.458954]Total energy: 16632918.209494675
[2022-04-08 01:12:35.002382]Total energy: 16684210.658295617
[2022-04-08 01:13:44.291185]Total energy: 16647401.25415968
[2022-04-08 01:14:53.718062]Total energy: 16639936.844597243
[2022-04-08 01:15:58.316050]Total energy: 16630803.833488567
[2022-04-08 01:16:56.593750]Total energy: 16651984.191581238
[2022-04-08 01:17:57.566688]Total energy: 16642832.340593195
[2022-04-08 01:18:58.703366]Total energy: 16655203.952225873
[2022-04-08 01:19:57.864330]Total energy: 16635083.40784382
[2022-04-08 01:21:11.543789]Total energy: 16621403.509175133
[2022-04-08 01:22:18.414992]Total energy: 16651020.820612334
[2022-04-08 01:23:18.360564]Total energy: 16651897.320831036
[2022-04-08 01:24:18.367751]Total energy: 16609533.959569553
[2022-04-08 01:25:19.374586]Total energy: 16627511.034314023
[2022-04-08 01:26:26.375619]Total energy: 16613761.844724484
[2022-04-08 01:27:31.091666]Total energy: 16645342.796167104
