initial: 115 - optimal_only_seed
[2022-04-07 22:34:24.466850]Total energy: 51597571.21767966
[2022-04-07 22:35:41.811479]Total energy: 51417160.547381096
[2022-04-07 22:36:57.639712]Total energy: 51585478.99241543
[2022-04-07 22:38:13.756782]Total energy: 51583689.45715836
[2022-04-07 22:39:31.474573]Total energy: 51523605.58896242
[2022-04-07 22:41:03.529494]Total energy: 51827319.735007904
[2022-04-07 22:42:25.440320]Total energy: 51415478.66099728
[2022-04-07 22:43:40.432595]Total energy: 51651260.515492365
[2022-04-07 22:44:54.784739]Total energy: 51468170.3588783
[2022-04-07 22:46:14.093746]Total energy: 51614555.38060052
[2022-04-07 22:47:30.785001]Total energy: 51477616.189019695
[2022-04-07 22:48:47.117090]Total energy: 51672276.514399394
[2022-04-07 22:50:04.133959]Total energy: 51724795.48951459
[2022-04-07 22:51:27.525837]Total energy: 51542465.30908329
[2022-04-07 22:52:52.549669]Total energy: 51620764.492204785
[2022-04-07 22:54:10.111248]Total energy: 51529825.43488802
[2022-04-07 22:55:27.061154]Total energy: 51516637.75569895
[2022-04-07 22:56:45.834472]Total energy: 51512876.6920267
[2022-04-07 22:58:02.765388]Total energy: 51771539.02906588
[2022-04-07 22:59:27.239505]Total energy: 51639559.45662359
[2022-04-07 23:00:59.522000]Total energy: 51712194.870636456
[2022-04-07 23:02:35.504582]Total energy: 51585565.50235611
[2022-04-07 23:03:51.898814]Total energy: 51590849.50719314
[2022-04-07 23:05:08.980774]Total energy: 51794411.04054983
[2022-04-07 23:06:25.598080]Total energy: 51589791.19435184
[2022-04-07 23:07:42.496698]Total energy: 51634334.56949503
[2022-04-07 23:08:59.836760]Total energy: 51663512.794352755
[2022-04-07 23:10:17.045546]Total energy: 51619625.837820075
[2022-04-07 23:11:34.628207]Total energy: 51467029.78855293
[2022-04-07 23:12:52.268903]Total energy: 51735603.964663915
[2022-04-07 23:14:08.761143]Total energy: 51861897.77303875
[2022-04-07 23:15:27.867409]Total energy: 51919882.97512549
[2022-04-07 23:16:57.662183]Total energy: 51644839.298055455
[2022-04-07 23:18:14.446896]Total energy: 51646241.57100552
[2022-04-07 23:19:31.448783]Total energy: 51702523.71968732
[2022-04-07 23:21:04.650080]Total energy: 51760648.09421888
[2022-04-07 23:22:34.088977]Total energy: 51654670.77772567
[2022-04-07 23:23:51.893449]Total energy: 51983096.57384883
[2022-04-07 23:25:09.318735]Total energy: 51706377.26996402
[2022-04-07 23:26:27.503357]Total energy: 51340945.57791355
[2022-04-07 23:27:43.716122]Total energy: 51975031.21558246
[2022-04-07 23:29:00.451128]Total energy: 51871634.30482914
[2022-04-07 23:30:20.293220]Total energy: 51814402.94837454
[2022-04-07 23:31:48.610041]Total energy: 51930772.61265229
[2022-04-07 23:33:07.332384]Total energy: 51887981.84904975
[2022-04-07 23:34:24.592029]Total energy: 52014914.54922627
[2022-04-07 23:35:41.730203]Total energy: 51874353.23981198
[2022-04-07 23:36:58.676263]Total energy: 51979446.822538346
[2022-04-07 23:38:16.820037]Total energy: 51944646.71800665
[2022-04-07 23:39:35.865877]Total energy: 51818516.227025874
[2022-04-07 23:41:11.209615]Total energy: 51817568.080689594
[2022-04-07 23:42:31.958892]Total energy: 52209481.15364071
[2022-04-07 23:43:47.250021]Total energy: 52396520.05444359
[2022-04-07 23:45:05.196032]Total energy: 51863381.18301392
[2022-04-07 23:46:22.714052]Total energy: 52245851.66032317
[2022-04-07 23:47:38.850369]Total energy: 52213901.60819212
[2022-04-07 23:48:58.778491]Total energy: 51971345.02014622
[2022-04-07 23:50:16.765663]Total energy: 52211241.63289425
[2022-04-07 23:51:43.396250]Total energy: 52312577.50368175
[2022-04-07 23:53:11.393180]Total energy: 51946447.29530553
[2022-04-07 23:54:32.448221]Total energy: 52029636.509018406
[2022-04-07 23:55:50.011089]Total energy: 51866584.5279706
[2022-04-07 23:57:06.280839]Total energy: 51642082.00615683
[2022-04-07 23:58:23.622501]Total energy: 52063822.14678199
[2022-04-07 23:59:41.379430]Total energy: 51823065.06961101
[2022-04-08 00:00:59.783835]Total energy: 52113466.90439591
[2022-04-08 00:02:19.639636]Total energy: 52102927.64323843
[2022-04-08 00:03:35.523321]Total energy: 52225647.0073543
[2022-04-08 00:04:51.978961]Total energy: 52021748.809599735
[2022-04-08 00:06:23.241789]Total energy: 51972430.18575977
[2022-04-08 00:07:39.569477]Total energy: 51955445.59244529
[2022-04-08 00:08:57.314127]Total energy: 51966328.59725689
[2022-04-08 00:10:13.921936]Total energy: 52152809.930303514
[2022-04-08 00:11:30.908663]Total energy: 51683236.92146618
[2022-04-08 00:12:46.997665]Total energy: 52069505.27393847
[2022-04-08 00:14:03.515494]Total energy: 51834459.42831687
[2022-04-08 00:15:22.450708]Total energy: 52130332.19853185
[2022-04-08 00:16:39.863015]Total energy: 52042571.82309102
[2022-04-08 00:17:56.192336]Total energy: 51677813.015350096
[2022-04-08 00:19:11.128003]Total energy: 51874696.08160325
