initial: 114 - diverse_seed
[2022-04-07 23:47:35.438347]Total energy: 18777265.41439948
[2022-04-07 23:48:55.358021]Total energy: 18703311.818792265
[2022-04-07 23:50:11.053646]Total energy: 18739396.240210284
[2022-04-07 23:51:34.394896]Total energy: 18751715.30674326
[2022-04-07 23:52:59.713914]Total energy: 18694846.09200295
[2022-04-07 23:54:17.291423]Total energy: 18785215.842692476
[2022-04-07 23:55:35.779305]Total energy: 18683355.752930984
[2022-04-07 23:56:51.988241]Total energy: 18727421.55904897
[2022-04-07 23:58:08.669618]Total energy: 18744110.68556053
[2022-04-07 23:59:27.438090]Total energy: 18718159.267431278
[2022-04-08 00:00:45.660099]Total energy: 18758894.418457188
[2022-04-08 00:02:04.862961]Total energy: 18783203.38701829
[2022-04-08 00:03:22.285665]Total energy: 18723687.800499436
[2022-04-08 00:04:38.353061]Total energy: 18768618.47526799
[2022-04-08 00:06:08.118233]Total energy: 18707831.796898622
[2022-04-08 00:07:24.251783]Total energy: 18740615.202484276
[2022-04-08 00:08:41.564865]Total energy: 18750183.236798804
[2022-04-08 00:09:57.397543]Total energy: 18758309.73608274
[2022-04-08 00:11:12.263583]Total energy: 18719846.727368046
[2022-04-08 00:12:27.882010]Total energy: 18721713.3973628
[2022-04-08 00:13:44.606144]Total energy: 18764936.073901296
[2022-04-08 00:15:01.693154]Total energy: 18748628.93916186
[2022-04-08 00:16:18.804205]Total energy: 18761336.492981344
[2022-04-08 00:17:35.892296]Total energy: 18806517.238483366
[2022-04-08 00:18:51.229531]Total energy: 18745009.64855841
[2022-04-08 00:20:08.592737]Total energy: 18773512.11632616
[2022-04-08 00:21:35.346532]Total energy: 18719849.067086905
[2022-04-08 00:22:54.116864]Total energy: 18740899.462214213
[2022-04-08 00:24:12.714645]Total energy: 18719860.808701314
[2022-04-08 00:25:29.822247]Total energy: 18791883.803335145
[2022-04-08 00:26:45.671906]Total energy: 18780712.04029246
[2022-04-08 00:28:02.237348]Total energy: 18751572.356665805
[2022-04-08 00:29:19.103054]Total energy: 18739226.00775863
[2022-04-08 00:30:44.226576]Total energy: 18727163.871874098
[2022-04-08 00:32:10.099061]Total energy: 18803335.17666761
[2022-04-08 00:33:27.271039]Total energy: 18729429.485880423
[2022-04-08 00:34:42.582493]Total energy: 18784359.27366955
[2022-04-08 00:35:58.695369]Total energy: 18760683.63532497
[2022-04-08 00:37:13.922407]Total energy: 18721653.220270514
[2022-04-08 00:38:28.263521]Total energy: 18749527.58868025
[2022-04-08 00:39:45.647063]Total energy: 18721260.773885503
[2022-04-08 00:41:11.808595]Total energy: 18775694.000875074
[2022-04-08 00:42:31.596036]Total energy: 18735006.83663785
[2022-04-08 00:43:49.163140]Total energy: 18765413.46290422
[2022-04-08 00:45:04.938936]Total energy: 18777667.268783756
[2022-04-08 00:46:19.620405]Total energy: 18717636.262230437
[2022-04-08 00:47:34.447390]Total energy: 18749741.720824692
[2022-04-08 00:48:49.320779]Total energy: 18802973.127927978
[2022-04-08 00:50:04.766399]Total energy: 18689271.218636688
[2022-04-08 00:51:25.397594]Total energy: 18823030.91649535
[2022-04-08 00:52:47.099021]Total energy: 18795888.981512014
[2022-04-08 00:54:06.207523]Total energy: 18741956.490338884
[2022-04-08 00:55:22.113959]Total energy: 18734839.98907479
[2022-04-08 00:56:37.203064]Total energy: 18788786.814716272
[2022-04-08 00:57:53.989294]Total energy: 18705976.152922012
[2022-04-08 00:59:11.550871]Total energy: 18827264.00082642
[2022-04-08 01:00:30.214001]Total energy: 18796405.28478279
[2022-04-08 01:01:49.083759]Total energy: 18719708.461408388
[2022-04-08 01:03:05.384078]Total energy: 18730887.40582547
[2022-04-08 01:04:22.589669]Total energy: 18744992.351371374
[2022-04-08 01:05:40.320050]Total energy: 18709368.303153586
[2022-04-08 01:06:55.632772]Total energy: 18741853.720656466
[2022-04-08 01:08:10.561983]Total energy: 18709205.518190354
[2022-04-08 01:09:28.361547]Total energy: 18729828.726520274
[2022-04-08 01:10:54.216362]Total energy: 18709715.624095745
[2022-04-08 01:12:13.462469]Total energy: 18730981.008518025
[2022-04-08 01:13:28.830798]Total energy: 18752626.529551167
[2022-04-08 01:14:44.616077]Total energy: 18782606.142197236
[2022-04-08 01:15:59.627233]Total energy: 18707853.138167042
[2022-04-08 01:17:16.361290]Total energy: 18681550.953736257
[2022-04-08 01:18:31.195205]Total energy: 18684737.750151716
[2022-04-08 01:19:47.693291]Total energy: 18702406.06934557
[2022-04-08 01:21:13.469852]Total energy: 18776957.79607387
[2022-04-08 01:22:31.931284]Total energy: 18722197.740352344
[2022-04-08 01:23:47.422889]Total energy: 18740490.418151874
[2022-04-08 01:25:04.362092]Total energy: 18718804.553237725
[2022-04-08 01:26:20.060180]Total energy: 18692025.85273276
[2022-04-08 01:27:36.183234]Total energy: 18761289.90087297
[2022-04-08 01:28:51.673543]Total energy: 18770492.48664271
[2022-04-08 01:30:10.303435]Total energy: 18681540.42736782
[2022-04-08 01:31:26.471077]Total energy: 18707546.91613952
[2022-04-08 01:32:41.465258]Total energy: 18700555.680618044
[2022-04-08 01:33:57.446329]Total energy: 18714907.09781599
[2022-04-08 01:35:15.764819]Total energy: 18719024.088205792
[2022-04-08 01:36:43.130115]Total energy: 18658345.23797927
[2022-04-08 01:37:59.461439]Total energy: 18770863.05374362
[2022-04-08 01:39:14.102042]Total energy: 18709130.978021067
[2022-04-08 01:40:51.601931]Total energy: 18679314.355329394
[2022-04-08 01:42:17.603692]Total energy: 18675796.2682834
[2022-04-08 01:43:35.693698]Total energy: 18807953.477948446
[2022-04-08 01:44:51.620927]Total energy: 18711790.946025155
[2022-04-08 01:46:08.668698]Total energy: 18750472.427146394
[2022-04-08 01:47:23.687932]Total energy: 18757543.439810015
[2022-04-08 01:48:42.404324]Total energy: 18711083.975037836
[2022-04-08 01:50:00.238081]Total energy: 18729144.33404822
[2022-04-08 01:51:23.101790]Total energy: 18809763.017790467
[2022-04-08 01:52:49.803558]Total energy: 18764492.892386712
[2022-04-08 01:54:09.468467]Total energy: 18750536.965336137
[2022-04-08 01:55:27.542911]Total energy: 18722592.152378332
[2022-04-08 01:56:45.735747]Total energy: 18824863.74507831
[2022-04-08 01:58:01.550809]Total energy: 18782213.506031476
[2022-04-08 01:59:18.520977]Total energy: 18734965.493616514
[2022-04-08 02:00:55.527257]Total energy: 18753224.069193035
[2022-04-08 02:02:21.920854]Total energy: 18729791.157460093
[2022-04-08 02:03:39.195342]Total energy: 18746565.571317255
[2022-04-08 02:04:57.855938]Total energy: 18733186.15476408
[2022-04-08 02:06:15.874311]Total energy: 18697045.949938428
[2022-04-08 02:07:31.760315]Total energy: 18714719.694660172
[2022-04-08 02:08:49.057369]Total energy: 18706356.409245417
[2022-04-08 02:10:05.298488]Total energy: 18730283.26900455
[2022-04-08 02:11:29.130478]Total energy: 18757633.9433474
[2022-04-08 02:12:48.343325]Total energy: 18712013.134563617
[2022-04-08 02:14:06.024403]Total energy: 18689393.405483253
[2022-04-08 02:15:23.493601]Total energy: 18721806.88511854
[2022-04-08 02:16:39.121007]Total energy: 18762483.755550597
[2022-04-08 02:17:56.463902]Total energy: 18693701.902172934
[2022-04-08 02:19:15.017305]Total energy: 18691452.970741373
[2022-04-08 02:20:47.538800]Total energy: 18742347.25500126
[2022-04-08 02:22:17.601583]Total energy: 18690471.011246823
[2022-04-08 02:23:41.647865]Total energy: 18714658.344333388
[2022-04-08 02:25:04.577002]Total energy: 18722011.827329606
[2022-04-08 02:26:26.886712]Total energy: 18732636.714251466
[2022-04-08 02:27:42.083176]Total energy: 18734340.94915819
[2022-04-08 02:28:56.712934]Total energy: 18723865.05058656
[2022-04-08 02:30:12.212798]Total energy: 18708554.902444996
[2022-04-08 02:31:33.566779]Total energy: 18721566.54424161
[2022-04-08 02:32:51.168715]Total energy: 18717162.204609506
[2022-04-08 02:34:08.352934]Total energy: 18708803.580426726
