initial: all - diverse_no_blind_all
[2022-04-09 14:43:37.322886]Total energy: 16913418.209916707
[2022-04-09 14:45:10.660631]Total energy: 16923769.46382298
[2022-04-09 14:46:42.490982]Total energy: 16953283.298117675
[2022-04-09 14:48:04.722550]Total energy: 16988664.152125034
[2022-04-09 14:49:22.654748]Total energy: 16938510.03695868
[2022-04-09 14:51:06.594339]Total energy: 16951953.527069654
[2022-04-09 14:52:39.499741]Total energy: 16907650.109224033
[2022-04-09 14:53:58.036551]Total energy: 16989213.49361811
[2022-04-09 14:55:15.867256]Total energy: 16970547.11468729
[2022-04-09 14:56:34.297253]Total energy: 16948613.009143576
[2022-04-09 14:57:56.324570]Total energy: 16968912.233665653
[2022-04-09 14:59:16.583260]Total energy: 17004705.81966811
[2022-04-09 15:00:58.381272]Total energy: 17013740.671349734
[2022-04-09 15:02:23.374302]Total energy: 16987810.62581152
[2022-04-09 15:03:42.310209]Total energy: 16951765.90338373
[2022-04-09 15:04:57.139340]Total energy: 16976378.628209107
[2022-04-09 15:06:19.810898]Total energy: 17022215.91173179
[2022-04-09 15:07:37.282483]Total energy: 16942895.996809904
[2022-04-09 15:08:52.580874]Total energy: 16942052.45080179
[2022-04-09 15:10:07.749190]Total energy: 16943973.56193586
[2022-04-09 15:11:39.011242]Total energy: 17014874.03075159
[2022-04-09 15:13:17.340652]Total energy: 16945930.943791598
[2022-04-09 15:14:41.520492]Total energy: 16957749.128379002
[2022-04-09 15:16:00.063012]Total energy: 17002775.95463716
[2022-04-09 15:17:18.391432]Total energy: 16984874.371206976
[2022-04-09 15:18:36.754858]Total energy: 16962361.688005194
[2022-04-09 15:19:53.164526]Total energy: 16989279.226971075
[2022-04-09 15:21:30.780194]Total energy: 16983963.143479813
[2022-04-09 15:22:57.687564]Total energy: 16979956.147006717
[2022-04-09 15:24:13.752973]Total energy: 16973958.9066089
[2022-04-09 15:25:28.922903]Total energy: 16988377.551592395
[2022-04-09 15:26:43.565828]Total energy: 16986087.87188936
[2022-04-09 15:27:58.070296]Total energy: 16982993.542341992
[2022-04-09 15:29:15.518560]Total energy: 17004695.992370747
[2022-04-09 15:30:57.578991]Total energy: 16985466.720639464
[2022-04-09 15:32:29.158149]Total energy: 17019291.06637181
[2022-04-09 15:33:54.494253]Total energy: 16941212.390557032
[2022-04-09 15:35:12.531470]Total energy: 16950793.616226822
[2022-04-09 15:36:29.353655]Total energy: 16986718.23847162
[2022-04-09 15:37:43.086093]Total energy: 17031414.940475225
[2022-04-09 15:38:57.641157]Total energy: 16978919.222255114
[2022-04-09 15:40:12.928935]Total energy: 16994928.463198006
[2022-04-09 15:41:41.943277]Total energy: 17000373.937677246
[2022-04-09 15:42:59.450910]Total energy: 16962939.274289973
[2022-04-09 15:44:14.079525]Total energy: 17000606.742253445
[2022-04-09 15:45:29.411658]Total energy: 16981254.866730712
[2022-04-09 15:46:44.883396]Total energy: 17001887.757114805
[2022-04-09 15:48:01.409640]Total energy: 16972529.78989233
[2022-04-09 15:49:16.894108]Total energy: 16949486.224376988
[2022-04-09 15:51:01.336268]Total energy: 16929574.63775247
[2022-04-09 15:52:33.408198]Total energy: 16929380.242969923
[2022-04-09 15:53:49.214336]Total energy: 16983147.60796862
[2022-04-09 15:55:03.801874]Total energy: 16965952.5625132
[2022-04-09 15:56:19.801604]Total energy: 16999337.20245161
[2022-04-09 15:57:35.576822]Total energy: 16963774.48763095
[2022-04-09 15:58:49.849825]Total energy: 16959522.46851496
[2022-04-09 16:00:06.470447]Total energy: 17015576.458734304
[2022-04-09 16:01:42.910628]Total energy: 16969776.07966651
[2022-04-09 16:03:13.313616]Total energy: 16967369.91849741
[2022-04-09 16:04:29.609695]Total energy: 16984224.15666208
[2022-04-09 16:05:46.721643]Total energy: 16968567.159881134
[2022-04-09 16:07:01.600025]Total energy: 16960778.256043397
[2022-04-09 16:08:16.514834]Total energy: 16996826.5546766
[2022-04-09 16:09:32.018860]Total energy: 17005642.51301088
[2022-04-09 16:11:17.241216]Total energy: 17011917.58950329
[2022-04-09 16:12:54.825857]Total energy: 16953628.079935666
[2022-04-09 16:14:24.349480]Total energy: 16939320.894119427
[2022-04-09 16:15:44.103023]Total energy: 17026334.307156228
[2022-04-09 16:16:58.664704]Total energy: 17008857.22956013
[2022-04-09 16:18:13.798512]Total energy: 16970576.75829265
[2022-04-09 16:19:29.494821]Total energy: 16972420.545924544
[2022-04-09 16:21:10.235536]Total energy: 16981406.723005954
[2022-04-09 16:22:46.043447]Total energy: 16960645.680527803
[2022-04-09 16:24:06.815435]Total energy: 16981256.87833096
[2022-04-09 16:25:22.391306]Total energy: 16996645.841072734
[2022-04-09 16:26:36.514040]Total energy: 16952295.055818174
[2022-04-09 16:27:52.749699]Total energy: 16966984.298589297
[2022-04-09 16:29:08.109113]Total energy: 16953585.74883422
[2022-04-09 16:30:51.428887]Total energy: 16975126.625126157
[2022-04-09 16:32:28.092888]Total energy: 16933302.210630868
[2022-04-09 16:33:53.175419]Total energy: 16982176.036450464
[2022-04-09 16:35:09.446735]Total energy: 17011925.935881462
[2022-04-09 16:36:26.731613]Total energy: 16965987.6439206
