initial: 119 - diverse_seed
[2022-04-08 00:05:29.293691]Total energy: 19690446.41647211
[2022-04-08 00:06:25.791438]Total energy: 19684379.608364075
[2022-04-08 00:07:21.605808]Total energy: 19653247.075066935
[2022-04-08 00:08:17.601370]Total energy: 19711897.26793387
[2022-04-08 00:09:14.599934]Total energy: 19722703.6779031
[2022-04-08 00:10:10.675926]Total energy: 19707253.40730547
[2022-04-08 00:11:10.021494]Total energy: 19672743.35749248
[2022-04-08 00:12:05.913472]Total energy: 19707714.15654581
[2022-04-08 00:13:01.586906]Total energy: 19751046.199649893
[2022-04-08 00:13:57.028249]Total energy: 19741439.418622155
[2022-04-08 00:14:56.625151]Total energy: 19752889.392340068
[2022-04-08 00:15:52.362555]Total energy: 19742425.80637747
[2022-04-08 00:16:47.815527]Total energy: 19777662.83506808
[2022-04-08 00:17:44.221060]Total energy: 19665580.396457847
[2022-04-08 00:18:40.162216]Total energy: 19714265.377137996
[2022-04-08 00:19:36.148399]Total energy: 19712239.892559063
[2022-04-08 00:21:05.138413]Total energy: 19700464.82530162
[2022-04-08 00:22:16.181247]Total energy: 19752826.0706858
[2022-04-08 00:23:12.154564]Total energy: 19761112.14763734
[2022-04-08 00:24:09.350757]Total energy: 19784514.882147145
[2022-04-08 00:25:06.586088]Total energy: 19805374.20049829
[2022-04-08 00:26:02.548264]Total energy: 19698551.367404994
[2022-04-08 00:26:58.404163]Total energy: 19782910.52715219
[2022-04-08 00:27:54.119332]Total energy: 19792689.0540125
[2022-04-08 00:28:50.218557]Total energy: 19753458.871840745
[2022-04-08 00:29:46.263093]Total energy: 19675582.693256002
[2022-04-08 00:30:59.395685]Total energy: 19728072.146764018
[2022-04-08 00:32:11.378872]Total energy: 19755452.181512434
[2022-04-08 00:33:05.584650]Total energy: 19676008.17618449
[2022-04-08 00:34:00.852928]Total energy: 19720668.437895086
[2022-04-08 00:34:52.508570]Total energy: 19738044.94380531
[2022-04-08 00:35:44.522473]Total energy: 19761682.0714798
[2022-04-08 00:36:36.098574]Total energy: 19699751.24625976
[2022-04-08 00:37:26.690888]Total energy: 19745074.270865373
[2022-04-08 00:38:18.011973]Total energy: 19742541.162854847
[2022-04-08 00:39:09.845673]Total energy: 19757170.299521416
[2022-04-08 00:40:03.141002]Total energy: 19736113.26930223
[2022-04-08 00:41:07.979470]Total energy: 19674128.46046834
[2022-04-08 00:42:04.785998]Total energy: 19651656.9423497
[2022-04-08 00:42:56.168592]Total energy: 19714913.442950636
[2022-04-08 00:43:47.900304]Total energy: 19745899.89907015
[2022-04-08 00:44:39.363607]Total energy: 19832409.64083091
[2022-04-08 00:45:30.465817]Total energy: 19790072.528148737
[2022-04-08 00:46:22.034165]Total energy: 19786228.796218332
[2022-04-08 00:47:15.109923]Total energy: 19862954.871579
[2022-04-08 00:48:06.144027]Total energy: 19781296.656930145
[2022-04-08 00:48:56.759341]Total energy: 19826295.963937227
[2022-04-08 00:49:48.636370]Total energy: 19835094.657014832
[2022-04-08 00:50:46.995428]Total energy: 19761591.606180456
[2022-04-08 00:51:41.711208]Total energy: 19786565.688735615
[2022-04-08 00:52:43.602825]Total energy: 19757013.3135831
[2022-04-08 00:53:42.222044]Total energy: 19783498.810667142
[2022-04-08 00:54:37.463032]Total energy: 19715858.358424377
[2022-04-08 00:55:33.801191]Total energy: 19754149.04249537
[2022-04-08 00:56:30.692617]Total energy: 19818326.07327752
[2022-04-08 00:57:26.113387]Total energy: 19851546.680991843
[2022-04-08 00:58:21.377028]Total energy: 19822706.502098978
[2022-04-08 00:59:17.465982]Total energy: 19804627.058856346
[2022-04-08 01:00:12.625411]Total energy: 19782296.39039264
[2022-04-08 01:01:21.176304]Total energy: 19757655.13765043
[2022-04-08 01:02:17.619611]Total energy: 19812436.665452052
[2022-04-08 01:03:13.815107]Total energy: 19813778.027279273
[2022-04-08 01:04:08.735716]Total energy: 19856101.39040585
[2022-04-08 01:05:04.606468]Total energy: 19751915.592433847
[2022-04-08 01:06:00.250802]Total energy: 19726544.07688969
[2022-04-08 01:06:57.102236]Total energy: 19799677.003100596
[2022-04-08 01:07:52.245879]Total energy: 19730747.562721424
[2022-04-08 01:08:46.601954]Total energy: 19803344.00285607
[2022-04-08 01:09:43.794732]Total energy: 19865227.69814909
[2022-04-08 01:10:48.404720]Total energy: 19744891.30352355
[2022-04-08 01:11:46.321103]Total energy: 19879343.36279416
[2022-04-08 01:12:42.785400]Total energy: 19771790.07425051
[2022-04-08 01:13:39.592880]Total energy: 19863651.790702328
[2022-04-08 01:14:36.389525]Total energy: 19848303.355557665
[2022-04-08 01:15:31.682819]Total energy: 19802969.13914573
[2022-04-08 01:16:26.938691]Total energy: 19849364.01391713
[2022-04-08 01:17:23.731267]Total energy: 19763166.054359954
[2022-04-08 01:18:20.483481]Total energy: 19800869.325819902
[2022-04-08 01:19:16.277137]Total energy: 19782061.135313705
[2022-04-08 01:20:12.828949]Total energy: 19745844.17093861
[2022-04-08 01:21:18.324265]Total energy: 19776894.685997736
[2022-04-08 01:22:15.794755]Total energy: 19817555.235476714
[2022-04-08 01:23:11.818202]Total energy: 19772150.525776874
[2022-04-08 01:24:06.506385]Total energy: 19759112.356145065
[2022-04-08 01:25:00.949339]Total energy: 19738017.117701616
[2022-04-08 01:25:54.824656]Total energy: 19756152.711629804
[2022-04-08 01:26:49.712889]Total energy: 19749075.992516894
[2022-04-08 01:27:43.681079]Total energy: 19816354.612142965
[2022-04-08 01:28:37.528248]Total energy: 19790260.31750272
[2022-04-08 01:29:34.020478]Total energy: 19841228.024163548
[2022-04-08 01:30:35.811761]Total energy: 19750612.047163602
[2022-04-08 01:31:37.862349]Total energy: 19763311.293376446
[2022-04-08 01:32:35.201511]Total energy: 19815221.5105917
[2022-04-08 01:33:29.977253]Total energy: 19855088.395897474
[2022-04-08 01:34:24.073032]Total energy: 19825713.049345046
[2022-04-08 01:35:19.852177]Total energy: 19770966.611641616
[2022-04-08 01:36:26.867917]Total energy: 19781525.201215036
[2022-04-08 01:37:19.783823]Total energy: 19786690.55449767
[2022-04-08 01:38:12.366902]Total energy: 19895343.975317642
[2022-04-08 01:39:03.523652]Total energy: 19818762.725421336
[2022-04-08 01:39:59.529686]Total energy: 19703355.445054293
[2022-04-08 01:41:10.926626]Total energy: 19726709.502549924
[2022-04-08 01:42:08.254317]Total energy: 19703967.08269325
[2022-04-08 01:43:02.980064]Total energy: 19729831.69291359
[2022-04-08 01:43:55.254119]Total energy: 19718201.025317345
[2022-04-08 01:44:48.254592]Total energy: 19730501.749385685
[2022-04-08 01:45:41.745239]Total energy: 19646714.105336394
[2022-04-08 01:46:38.525465]Total energy: 19724867.56201351
[2022-04-08 01:47:31.644077]Total energy: 19711486.26273701
[2022-04-08 01:48:27.006039]Total energy: 19714386.659374975
[2022-04-08 01:49:23.444832]Total energy: 19688950.631672014
[2022-04-08 01:50:17.403665]Total energy: 19652258.098366793
[2022-04-08 01:51:14.883804]Total energy: 19690108.132624052
[2022-04-08 01:52:12.942385]Total energy: 19787153.9028699
[2022-04-08 01:53:06.070446]Total energy: 19766385.61218882
[2022-04-08 01:53:59.935608]Total energy: 19680637.247353684
[2022-04-08 01:54:54.457202]Total energy: 19814154.782882128
[2022-04-08 01:55:49.567238]Total energy: 19760136.761685837
[2022-04-08 01:56:43.958831]Total energy: 19777329.85653243
[2022-04-08 01:57:36.105784]Total energy: 19717667.774197884
[2022-04-08 01:58:29.380183]Total energy: 19756178.734065577
[2022-04-08 01:59:24.948278]Total energy: 19765814.407257136
[2022-04-08 02:00:17.803538]Total energy: 19774465.76550488
[2022-04-08 02:01:19.529638]Total energy: 19755300.756365504
[2022-04-08 02:02:20.666938]Total energy: 19715538.277692918
[2022-04-08 02:03:13.310571]Total energy: 19696947.258437924
[2022-04-08 02:04:04.678994]Total energy: 19727896.664985996
[2022-04-08 02:04:57.855727]Total energy: 19707360.96032641
[2022-04-08 02:05:51.374429]Total energy: 19718729.03849127
[2022-04-08 02:06:43.508065]Total energy: 19688010.97260179
[2022-04-08 02:07:35.524808]Total energy: 19777594.692861576
[2022-04-08 02:08:30.908514]Total energy: 19692565.50163081
[2022-04-08 02:09:22.309876]Total energy: 19727240.334884517
[2022-04-08 02:10:15.252623]Total energy: 19657385.094582137
[2022-04-08 02:11:17.910850]Total energy: 19779983.9794621
[2022-04-08 02:12:14.163114]Total energy: 19718759.92715029
[2022-04-08 02:13:03.094260]Total energy: 19774572.209984507
[2022-04-08 02:13:52.176757]Total energy: 19697657.253476888
[2022-04-08 02:14:40.246448]Total energy: 19720296.2936659
[2022-04-08 02:15:29.812245]Total energy: 19768590.486624416
[2022-04-08 02:16:17.444186]Total energy: 19730041.125119943
[2022-04-08 02:17:06.138536]Total energy: 19752350.9574836
[2022-04-08 02:18:00.871522]Total energy: 19826820.464594774
[2022-04-08 02:19:00.489506]Total energy: 19714817.37950771
[2022-04-08 02:19:56.521286]Total energy: 19710313.44362001
[2022-04-08 02:21:07.208011]Total energy: 19836860.07080034
[2022-04-08 02:22:14.951669]Total energy: 19719844.395818524
[2022-04-08 02:23:16.374503]Total energy: 19781467.716588877
[2022-04-08 02:24:15.618906]Total energy: 19623666.013014898
[2022-04-08 02:25:24.911091]Total energy: 19748751.00883308
[2022-04-08 02:26:22.241520]Total energy: 19768983.718414664
[2022-04-08 02:27:19.846577]Total energy: 19699924.149644617
[2022-04-08 02:28:16.729365]Total energy: 19748132.711185396
[2022-04-08 02:29:12.186930]Total energy: 19786890.804000404
[2022-04-08 02:30:08.266465]Total energy: 19764506.721382532
[2022-04-08 02:31:08.493802]Total energy: 19777099.14336198
[2022-04-08 02:32:06.637727]Total energy: 19697103.85342058
[2022-04-08 02:33:01.932873]Total energy: 19766663.05260169
[2022-04-08 02:33:56.860172]Total energy: 19688794.034753505
[2022-04-08 02:34:52.288796]Total energy: 19741615.874402765
[2022-04-08 02:35:46.116771]Total energy: 19784869.223805927
[2022-04-08 02:36:39.893505]Total energy: 19802409.47279631
[2022-04-08 02:37:34.016177]Total energy: 19706058.480368495
[2022-04-08 02:38:27.852533]Total energy: 19742008.48216389
[2022-04-08 02:39:21.895725]Total energy: 19729490.011070915
[2022-04-08 02:40:16.410514]Total energy: 19696373.099960543
[2022-04-08 02:41:29.966084]Total energy: 19791791.297514416
[2022-04-08 02:42:31.773867]Total energy: 19810300.03152754
[2022-04-08 02:43:24.922744]Total energy: 19805910.15536104
[2022-04-08 02:44:14.542878]Total energy: 19752395.84406291
[2022-04-08 02:45:04.147211]Total energy: 19780469.166364018
[2022-04-08 02:45:53.870699]Total energy: 19687780.219034754
[2022-04-08 02:46:43.164657]Total energy: 19733773.633722745
[2022-04-08 02:47:32.545961]Total energy: 19778675.726871114
[2022-04-08 02:48:22.150052]Total energy: 19716669.939980242
[2022-04-08 02:49:11.194231]Total energy: 19751565.68384264
[2022-04-08 02:50:02.187012]Total energy: 19782119.626451407
[2022-04-08 02:50:58.119393]Total energy: 19749888.02035503
[2022-04-08 02:51:53.396225]Total energy: 19730676.268819813
[2022-04-08 02:52:53.075665]Total energy: 19734588.9022149
[2022-04-08 02:53:44.853996]Total energy: 19702739.296999227
[2022-04-08 02:54:32.958109]Total energy: 19731246.922843207
[2022-04-08 02:55:22.635693]Total energy: 19701693.763756786
[2022-04-08 02:56:12.839872]Total energy: 19865220.896946892
[2022-04-08 02:57:01.640579]Total energy: 19776688.972677022
[2022-04-08 02:57:51.027727]Total energy: 19764585.08169715
[2022-04-08 02:58:39.480280]Total energy: 19778263.161249682
[2022-04-08 02:59:28.609762]Total energy: 19801909.11012062
[2022-04-08 03:00:18.292548]Total energy: 19760718.22656255
[2022-04-08 03:01:22.019541]Total energy: 19736593.887709983
[2022-04-08 03:02:20.919525]Total energy: 19781885.988485735
[2022-04-08 03:03:11.547388]Total energy: 19730551.31156057
[2022-04-08 03:04:00.004429]Total energy: 19774265.932492133
[2022-04-08 03:04:49.895106]Total energy: 19725069.263587046
[2022-04-08 03:05:38.502047]Total energy: 19728194.725168202
[2022-04-08 03:06:29.225458]Total energy: 19810129.118033297
[2022-04-08 03:07:18.516928]Total energy: 19784495.009734143
