initial: 108 - diverse_no_blind_seed
[2022-04-09 13:14:08.479664]Total energy: 17506574.12456708
[2022-04-09 13:15:24.707096]Total energy: 17125892.391508598
[2022-04-09 13:16:42.313966]Total energy: 17066140.16532806
[2022-04-09 13:17:58.002712]Total energy: 17066569.77748805
[2022-04-09 13:19:14.168586]Total energy: 17072968.142922226
[2022-04-09 13:20:42.482644]Total energy: 17055288.98721104
[2022-04-09 13:22:00.848125]Total energy: 17054758.20128202
[2022-04-09 13:23:16.467404]Total energy: 17102979.653239638
[2022-04-09 13:24:33.213636]Total energy: 17101884.375233892
[2022-04-09 13:25:52.777660]Total energy: 17085005.380429648
[2022-04-09 13:27:15.049346]Total energy: 17079472.21715405
[2022-04-09 13:28:34.819466]Total energy: 17086567.753941268
[2022-04-09 13:29:53.084652]Total energy: 17091744.225398812
[2022-04-09 13:31:12.334614]Total energy: 17078480.47042426
[2022-04-09 13:32:29.048907]Total energy: 17092475.974768262
[2022-04-09 13:33:51.119149]Total energy: 17110512.526779216
[2022-04-09 13:35:09.451605]Total energy: 17155158.174521096
[2022-04-09 13:36:29.523450]Total energy: 17051166.238830145
[2022-04-09 13:37:48.478234]Total energy: 17152053.0210044
[2022-04-09 13:39:06.472555]Total energy: 17108844.018701795
[2022-04-09 13:40:43.617670]Total energy: 17132430.64677843
[2022-04-09 13:42:08.624060]Total energy: 17097572.546089146
[2022-04-09 13:43:25.532622]Total energy: 17126679.82833118
[2022-04-09 13:44:39.665374]Total energy: 17129842.726062547
[2022-04-09 13:45:56.808926]Total energy: 17108989.738807525
[2022-04-09 13:47:11.921176]Total energy: 17157374.813662097
[2022-04-09 13:48:26.915473]Total energy: 17123408.742356505
[2022-04-09 13:49:44.020149]Total energy: 17142125.847869918
[2022-04-09 13:51:16.653438]Total energy: 17130118.81796047
[2022-04-09 13:53:03.587289]Total energy: 17126610.60915554
[2022-04-09 13:55:20.091521]Total energy: 17138508.560087252
[2022-04-09 13:57:31.840588]Total energy: 17115820.56109891
[2022-04-09 13:59:44.274571]Total energy: 17108742.50431443
[2022-04-09 14:01:53.782733]Total energy: 17090980.729085345
[2022-04-09 14:04:00.480556]Total energy: 17107606.715456743
[2022-04-09 14:05:50.627787]Total energy: 17091863.90470446
[2022-04-09 14:07:48.500676]Total energy: 17114818.628265068
[2022-04-09 14:09:49.495249]Total energy: 17110938.05770173
[2022-04-09 14:11:55.661484]Total energy: 17116979.528168086
[2022-04-09 14:13:51.670850]Total energy: 17094528.821928814
[2022-04-09 14:15:49.026509]Total energy: 17131449.844844054
[2022-04-09 14:17:46.890056]Total energy: 17122300.609293483
[2022-04-09 14:19:28.180357]Total energy: 17082008.687999625
[2022-04-09 14:20:46.313550]Total energy: 17086613.710512042
[2022-04-09 14:22:06.560981]Total energy: 17134398.4997371
[2022-04-09 14:23:25.190839]Total energy: 17147230.503578287
[2022-04-09 14:24:40.558578]Total energy: 17102374.524076473
[2022-04-09 14:25:56.085128]Total energy: 17186307.586318027
[2022-04-09 14:27:11.232217]Total energy: 17158060.250262294
[2022-04-09 14:28:28.286836]Total energy: 17110391.035869047
[2022-04-09 14:29:42.991966]Total energy: 17135708.72239138
[2022-04-09 14:31:17.389179]Total energy: 17125502.457964115
[2022-04-09 14:32:40.322025]Total energy: 17088560.94477936
[2022-04-09 14:33:57.118864]Total energy: 17127102.573759638
[2022-04-09 14:35:17.520832]Total energy: 17093734.133718017
[2022-04-09 14:36:33.678805]Total energy: 17132903.22930535
[2022-04-09 14:37:50.985134]Total energy: 17102600.947955247
[2022-04-09 14:39:06.896318]Total energy: 17091497.68774166
[2022-04-09 14:40:21.292031]Total energy: 17094518.814307936
[2022-04-09 14:42:20.691327]Total energy: 17098053.845902976
[2022-04-09 14:43:51.722380]Total energy: 17053416.021707352
[2022-04-09 14:45:23.702412]Total energy: 17114459.98614725
[2022-04-09 14:46:50.558424]Total energy: 17140278.031984814
[2022-04-09 14:48:10.315425]Total energy: 17097691.25313312
[2022-04-09 14:49:26.206768]Total energy: 17113670.38631988
[2022-04-09 14:51:04.251096]Total energy: 17091353.35684904
[2022-04-09 14:52:39.195767]Total energy: 17129727.632670954
[2022-04-09 14:53:58.064235]Total energy: 17125243.57859898
[2022-04-09 14:55:19.716028]Total energy: 17109083.85173621
[2022-04-09 14:56:37.141983]Total energy: 17126228.840182286
[2022-04-09 14:57:56.210464]Total energy: 17086734.65371267
[2022-04-09 14:59:12.318569]Total energy: 17127243.001935247
[2022-04-09 15:00:55.238119]Total energy: 17106500.55665392
[2022-04-09 15:02:19.480921]Total energy: 17133445.63191099
[2022-04-09 15:03:35.756285]Total energy: 17096716.817153577
[2022-04-09 15:04:52.666945]Total energy: 17084227.57449239
[2022-04-09 15:06:13.490978]Total energy: 17129670.714880496
[2022-04-09 15:07:29.453776]Total energy: 17096484.415305357
[2022-04-09 15:08:45.643604]Total energy: 17120768.278918214
[2022-04-09 15:10:00.539698]Total energy: 17082313.293488316
[2022-04-09 15:11:33.247623]Total energy: 17103143.869721726
[2022-04-09 15:13:08.643060]Total energy: 17122974.31366629
[2022-04-09 15:14:28.159263]Total energy: 17174826.048167303
[2022-04-09 15:15:42.331578]Total energy: 17136857.243910905
[2022-04-09 15:16:56.789794]Total energy: 17138032.865711287
