initial: all - diverse_all
[2022-04-07 21:40:18.642243]Total energy: 16843514.974217094
[2022-04-07 21:41:36.548033]Total energy: 16869347.32178434
[2022-04-07 21:42:55.419879]Total energy: 16860533.62070827
[2022-04-07 21:44:12.276260]Total energy: 16859642.32591926
[2022-04-07 21:45:31.678600]Total energy: 16854607.32677171
[2022-04-07 21:47:00.915115]Total energy: 16831777.5692795
[2022-04-07 21:48:18.209170]Total energy: 16842520.77810145
[2022-04-07 21:49:35.565605]Total energy: 16901992.008354627
[2022-04-07 21:51:01.937694]Total energy: 16881584.07470696
[2022-04-07 21:52:22.144465]Total energy: 16830060.88667667
[2022-04-07 21:53:39.610186]Total energy: 16868720.905924175
[2022-04-07 21:54:55.491858]Total energy: 16837534.992648806
[2022-04-07 21:56:12.261077]Total energy: 16835746.821902797
[2022-04-07 21:57:30.077347]Total energy: 16873099.3185971
[2022-04-07 21:58:48.828944]Total energy: 16854594.892057553
[2022-04-07 22:00:09.071645]Total energy: 16816924.820746657
[2022-04-07 22:01:30.462384]Total energy: 16834873.51252505
[2022-04-07 22:02:48.505167]Total energy: 16827627.092321202
[2022-04-07 22:04:07.227061]Total energy: 16848544.688965943
[2022-04-07 22:05:24.779997]Total energy: 16865257.82214907
[2022-04-07 22:06:42.273383]Total energy: 16839256.76447186
[2022-04-07 22:07:58.984561]Total energy: 16836194.13599222
[2022-04-07 22:09:16.428431]Total energy: 16862984.39733222
[2022-04-07 22:10:53.118622]Total energy: 16854641.908354126
[2022-04-07 22:12:26.312356]Total energy: 16856107.252317503
[2022-04-07 22:13:44.823419]Total energy: 16816962.759291183
[2022-04-07 22:15:02.352634]Total energy: 16874315.093400802
[2022-04-07 22:16:20.824931]Total energy: 16818939.663560104
[2022-04-07 22:17:38.918431]Total energy: 16862895.363199048
[2022-04-07 22:18:57.749993]Total energy: 16838541.381591447
[2022-04-07 22:20:17.385156]Total energy: 16867030.70862818
[2022-04-07 22:21:36.144515]Total energy: 16823053.703338373
[2022-04-07 22:22:55.082534]Total energy: 16849205.53901207
[2022-04-07 22:24:13.606381]Total energy: 16870943.392623577
[2022-04-07 22:25:30.177239]Total energy: 16858623.1965714
[2022-04-07 22:26:47.657392]Total energy: 16855816.829261526
[2022-04-07 22:28:04.491724]Total energy: 16865007.74818473
[2022-04-07 22:29:24.098175]Total energy: 16877174.09265877
[2022-04-07 22:31:02.098239]Total energy: 16854892.335359942
[2022-04-07 22:32:36.256688]Total energy: 16869385.41558985
[2022-04-07 22:33:53.279093]Total energy: 16877494.349184565
[2022-04-07 22:35:10.636202]Total energy: 16855939.49193866
[2022-04-07 22:36:27.729018]Total energy: 16836534.074829925
[2022-04-07 22:37:44.856217]Total energy: 16850753.316439584
[2022-04-07 22:39:02.408835]Total energy: 16828074.511607986
[2022-04-07 22:40:21.817974]Total energy: 16845108.582098197
[2022-04-07 22:41:51.786426]Total energy: 16845060.9959507
[2022-04-07 22:43:10.274542]Total energy: 16851082.38701742
[2022-04-07 22:44:27.734180]Total energy: 16847863.213935666
[2022-04-07 22:45:46.171753]Total energy: 16833003.66357427
[2022-04-07 22:47:03.752739]Total energy: 16793972.50503047
[2022-04-07 22:48:20.569433]Total energy: 16897173.029434137
[2022-04-07 22:49:38.619918]Total energy: 16827949.945047818
[2022-04-07 22:51:07.847920]Total energy: 16847946.31511665
[2022-04-07 22:52:44.281233]Total energy: 16867738.825596247
[2022-04-07 22:54:06.524670]Total energy: 16844883.171948645
[2022-04-07 22:55:25.536424]Total energy: 16782897.58307481
[2022-04-07 22:56:44.900541]Total energy: 16835025.33288773
[2022-04-07 22:58:02.705267]Total energy: 16874401.6458166
[2022-04-07 22:59:26.306933]Total energy: 16884603.835719313
[2022-04-07 23:01:04.164954]Total energy: 16840819.260771386
[2022-04-07 23:02:37.835597]Total energy: 16870567.101797152
[2022-04-07 23:03:56.720986]Total energy: 16840045.141396657
[2022-04-07 23:05:13.415820]Total energy: 16838280.617350444
[2022-04-07 23:06:31.912153]Total energy: 16834299.918900177
[2022-04-07 23:07:49.471869]Total energy: 16860114.016564988
[2022-04-07 23:09:07.847028]Total energy: 16819423.187880035
[2022-04-07 23:10:50.606988]Total energy: 16861790.676707093
[2022-04-07 23:12:25.571089]Total energy: 16870972.01661739
[2022-04-07 23:13:43.087513]Total energy: 16879262.091660056
[2022-04-07 23:14:59.854615]Total energy: 16841649.75368604
[2022-04-07 23:16:27.746468]Total energy: 16858701.62417322
[2022-04-07 23:17:46.235077]Total energy: 16853541.690984532
[2022-04-07 23:19:03.645483]Total energy: 16876546.70056428
[2022-04-07 23:20:22.438657]Total energy: 16827538.514033765
[2022-04-07 23:22:02.800442]Total energy: 16816778.013839975
[2022-04-07 23:23:28.229227]Total energy: 16876392.316930134
[2022-04-07 23:24:47.612974]Total energy: 16833439.893406156
