initial: 113 - diverse_no_blind_seed
[2022-04-09 15:43:00.528009]Total energy: 19109403.994959544
[2022-04-09 15:44:19.495164]Total energy: 19394460.42023874
[2022-04-09 15:45:37.468214]Total energy: 19295732.677677844
[2022-04-09 15:46:55.183319]Total energy: 19337408.381869454
[2022-04-09 15:48:12.909995]Total energy: 19329193.199851237
[2022-04-09 15:49:31.207215]Total energy: 19321503.473960694
[2022-04-09 15:50:55.853169]Total energy: 19278698.21637247
[2022-04-09 15:52:20.411088]Total energy: 19394958.323212318
[2022-04-09 15:53:38.443511]Total energy: 19253069.32679093
[2022-04-09 15:54:56.490363]Total energy: 19322177.08637765
[2022-04-09 15:56:13.452049]Total energy: 19305707.023494333
[2022-04-09 15:57:31.127037]Total energy: 19277301.11648504
[2022-04-09 15:58:49.036626]Total energy: 19364293.6074647
[2022-04-09 16:00:07.688286]Total energy: 19291765.61802522
[2022-04-09 16:01:33.749723]Total energy: 19305992.35128491
[2022-04-09 16:02:59.495092]Total energy: 19257177.58296377
[2022-04-09 16:04:18.339756]Total energy: 19330905.38307237
[2022-04-09 16:05:34.923371]Total energy: 19288488.94881338
[2022-04-09 16:06:51.498732]Total energy: 19327248.761355583
[2022-04-09 16:08:08.448614]Total energy: 19341433.56071425
[2022-04-09 16:09:24.054942]Total energy: 19371727.461785406
[2022-04-09 16:11:08.319074]Total energy: 19321732.239538677
[2022-04-09 16:12:54.223595]Total energy: 19312123.741509188
[2022-04-09 16:14:22.950275]Total energy: 19289257.601860866
[2022-04-09 16:15:45.901136]Total energy: 19323874.740072954
[2022-04-09 16:17:02.084078]Total energy: 19300788.9173165
[2022-04-09 16:18:18.657109]Total energy: 19367399.890266683
[2022-04-09 16:19:35.252550]Total energy: 19324984.04513363
[2022-04-09 16:21:03.849497]Total energy: 19387417.401088182
[2022-04-09 16:22:47.019698]Total energy: 19361073.41074538
[2022-04-09 16:24:15.525167]Total energy: 19355259.882946953
[2022-04-09 16:25:31.816416]Total energy: 19317905.516883727
[2022-04-09 16:26:48.347823]Total energy: 19347151.245249663
[2022-04-09 16:28:05.972039]Total energy: 19324500.86021272
[2022-04-09 16:29:23.251685]Total energy: 19344161.386720516
[2022-04-09 16:30:56.331111]Total energy: 19349164.699723314
[2022-04-09 16:32:27.736746]Total energy: 19330875.76297294
[2022-04-09 16:33:53.343796]Total energy: 19310852.672651082
[2022-04-09 16:35:10.653875]Total energy: 19258782.929178506
[2022-04-09 16:36:28.708215]Total energy: 19315368.85569481
[2022-04-09 16:37:46.487171]Total energy: 19307583.84724051
[2022-04-09 16:39:02.950115]Total energy: 19368338.955688033
[2022-04-09 16:40:20.167998]Total energy: 19317972.28259911
[2022-04-09 16:41:58.073331]Total energy: 19341685.954005703
[2022-04-09 16:43:26.815305]Total energy: 19308353.63164892
[2022-04-09 16:44:46.600341]Total energy: 19360125.21869564
[2022-04-09 16:46:05.981457]Total energy: 19364409.41601344
[2022-04-09 16:47:23.601959]Total energy: 19325517.265354287
[2022-04-09 16:48:40.522298]Total energy: 19323121.11273039
[2022-04-09 16:49:57.811773]Total energy: 19260003.56470259
[2022-04-09 16:51:20.486532]Total energy: 19279345.40952873
[2022-04-09 16:52:38.804447]Total energy: 19321849.043522507
[2022-04-09 16:53:55.176832]Total energy: 19376329.560474128
[2022-04-09 16:55:11.629413]Total energy: 19381391.049836595
[2022-04-09 16:56:28.372201]Total energy: 19331041.708715167
[2022-04-09 16:57:45.929331]Total energy: 19345513.69435789
[2022-04-09 16:59:03.252294]Total energy: 19384573.56729835
[2022-04-09 17:00:21.183450]Total energy: 19303353.58332693
[2022-04-09 17:01:44.767567]Total energy: 19375352.24275433
[2022-04-09 17:03:09.271049]Total energy: 19350055.749680568
[2022-04-09 17:04:28.411630]Total energy: 19333477.3898992
[2022-04-09 17:05:45.600497]Total energy: 19313789.171508417
[2022-04-09 17:07:03.773116]Total energy: 19260521.108352873
[2022-04-09 17:08:21.370778]Total energy: 19365228.442350145
[2022-04-09 17:09:37.608324]Total energy: 19348935.11969536
[2022-04-09 17:11:07.464625]Total energy: 19328756.20351457
[2022-04-09 17:12:33.298751]Total energy: 19301829.86685664
[2022-04-09 17:13:52.739311]Total energy: 19357390.343755756
[2022-04-09 17:15:10.275158]Total energy: 19399816.33260251
[2022-04-09 17:16:29.165619]Total energy: 19391192.46500925
[2022-04-09 17:17:46.653660]Total energy: 19413379.16300707
[2022-04-09 17:19:05.656850]Total energy: 19372736.480251875
[2022-04-09 17:20:21.317874]Total energy: 19337102.49237735
[2022-04-09 17:21:50.540745]Total energy: 19334705.11825916
[2022-04-09 17:23:15.138401]Total energy: 19360196.704933368
[2022-04-09 17:24:34.965176]Total energy: 19335895.540829815
[2022-04-09 17:25:52.064306]Total energy: 19369599.56493672
