initial: 100 - diverse_no_blind_seed
[2022-04-09 12:50:49.820836]Total energy: 18753828.687134255
[2022-04-09 12:52:15.465364]Total energy: 18815560.792235814
[2022-04-09 12:53:34.665729]Total energy: 18808900.12050606
[2022-04-09 12:54:53.731914]Total energy: 18784666.33786105
[2022-04-09 12:56:14.066857]Total energy: 18873934.264978
[2022-04-09 12:57:33.239265]Total energy: 18788044.552182805
[2022-04-09 12:58:52.069046]Total energy: 18782986.625288974
[2022-04-09 13:00:12.033555]Total energy: 18805388.958693407
[2022-04-09 13:01:50.500358]Total energy: 18849595.929165464
[2022-04-09 13:03:17.452217]Total energy: 18809787.284246776
[2022-04-09 13:04:58.259433]Total energy: 18859039.08531001
[2022-04-09 13:06:24.835064]Total energy: 18797673.531721912
[2022-04-09 13:07:43.998420]Total energy: 18790863.528801695
[2022-04-09 13:09:02.790811]Total energy: 18797655.819342405
[2022-04-09 13:10:45.197516]Total energy: 18806551.609198168
[2022-04-09 13:12:28.164602]Total energy: 18867846.367261015
[2022-04-09 13:14:02.888544]Total energy: 18850112.04851335
[2022-04-09 13:15:27.697051]Total energy: 18794546.53465359
[2022-04-09 13:16:48.074388]Total energy: 18796603.374339476
[2022-04-09 13:18:09.204836]Total energy: 18794923.07620462
[2022-04-09 13:19:29.229146]Total energy: 18791934.474285856
[2022-04-09 13:20:51.163911]Total energy: 18807646.064084444
[2022-04-09 13:22:13.392917]Total energy: 18794815.858863465
[2022-04-09 13:23:35.200157]Total energy: 18828611.03398128
[2022-04-09 13:24:56.508209]Total energy: 18761136.82346118
[2022-04-09 13:26:16.794357]Total energy: 18832247.201662607
[2022-04-09 13:27:39.291210]Total energy: 18817406.457648166
[2022-04-09 13:28:58.938640]Total energy: 18842549.489414208
[2022-04-09 13:30:19.518729]Total energy: 18802610.67347414
[2022-04-09 13:31:54.233999]Total energy: 18799824.830704585
[2022-04-09 13:33:20.633927]Total energy: 18874321.83069821
[2022-04-09 13:34:41.247515]Total energy: 18789074.85378113
[2022-04-09 13:36:01.646624]Total energy: 18850469.06525901
[2022-04-09 13:37:22.227460]Total energy: 18820863.39609866
[2022-04-09 13:38:44.298566]Total energy: 18762799.364717487
[2022-04-09 13:40:03.840665]Total energy: 18838480.717961118
[2022-04-09 13:41:31.374571]Total energy: 18799117.856363516
