initial: 102 - optimal_only_seed
[2022-04-07 19:24:43.802031]Total energy: 42262033.6017879
[2022-04-07 19:26:16.862545]Total energy: 42602462.470424905
[2022-04-07 19:27:52.095077]Total energy: 42696723.86106855
[2022-04-07 19:29:27.220713]Total energy: 42494112.2924076
[2022-04-07 19:31:07.312398]Total energy: 42617923.51646855
[2022-04-07 19:32:46.048489]Total energy: 42650297.10379433
[2022-04-07 19:34:22.209060]Total energy: 42651655.80990327
[2022-04-07 19:35:56.912741]Total energy: 42677072.0850731
[2022-04-07 19:37:32.083600]Total energy: 42706694.12413909
[2022-04-07 19:39:09.486033]Total energy: 42638522.33532984
[2022-04-07 19:41:10.210622]Total energy: 42557356.485916935
[2022-04-07 19:43:03.366293]Total energy: 42746945.319903634
[2022-04-07 19:44:41.192351]Total energy: 42651179.905565456
[2022-04-07 19:46:17.641465]Total energy: 42779718.08525259
[2022-04-07 19:47:53.780135]Total energy: 42605726.3764739
[2022-04-07 19:49:30.443190]Total energy: 42782222.24057856
[2022-04-07 19:51:10.304002]Total energy: 43011595.19432826
[2022-04-07 19:52:48.401071]Total energy: 42692009.19257652
[2022-04-07 19:54:24.158204]Total energy: 42650916.49407944
[2022-04-07 19:56:00.724433]Total energy: 42602954.85856888
[2022-04-07 19:57:34.424627]Total energy: 42657896.670223825
[2022-04-07 19:59:07.590780]Total energy: 42517985.679885305
[2022-04-07 20:00:51.898655]Total energy: 42646120.24844165
[2022-04-07 20:02:31.589172]Total energy: 42744589.50391146
[2022-04-07 20:04:08.017526]Total energy: 42394603.93632826
[2022-04-07 20:05:43.701310]Total energy: 42583920.363770545
[2022-04-07 20:07:18.761932]Total energy: 42680895.68213266
[2022-04-07 20:08:56.756409]Total energy: 42647281.81241348
[2022-04-07 20:10:54.282718]Total energy: 42846421.105514996
[2022-04-07 20:12:35.274499]Total energy: 42576094.92950563
[2022-04-07 20:14:08.923046]Total energy: 42788467.87883245
[2022-04-07 20:15:43.247041]Total energy: 42629366.269387834
[2022-04-07 20:17:18.515549]Total energy: 42686673.51148366
[2022-04-07 20:18:52.889558]Total energy: 42681704.29421738
[2022-04-07 20:20:33.806897]Total energy: 42636790.671837345
[2022-04-07 20:22:15.417795]Total energy: 42735774.67110499
[2022-04-07 20:23:49.639540]Total energy: 42587756.96377145
[2022-04-07 20:25:24.205732]Total energy: 42605392.656501584
[2022-04-07 20:26:58.713561]Total energy: 42719403.621580385
[2022-04-07 20:28:32.595423]Total energy: 42521887.24336854
[2022-04-07 20:30:07.947244]Total energy: 42799454.92769883
[2022-04-07 20:31:43.293272]Total energy: 42926581.19618012
[2022-04-07 20:33:18.914710]Total energy: 42626195.98318935
[2022-04-07 20:34:50.576675]Total energy: 42767698.325623915
[2022-04-07 20:36:23.915452]Total energy: 42667171.4388719
[2022-04-07 20:37:57.825386]Total energy: 42710662.36074346
[2022-04-07 20:39:30.212238]Total energy: 42717694.734962754
[2022-04-07 20:41:07.912278]Total energy: 42800575.91590914
[2022-04-07 20:42:47.124955]Total energy: 42691138.92701399
[2022-04-07 20:44:20.550987]Total energy: 42752976.66853844
[2022-04-07 20:45:57.577910]Total energy: 42736940.72077661
[2022-04-07 20:47:31.389487]Total energy: 42602162.9043647
[2022-04-07 20:49:04.519566]Total energy: 42641678.98722011
[2022-04-07 20:50:49.993351]Total energy: 42847658.01177954
[2022-04-07 20:52:31.181763]Total energy: 42737160.03311986
[2022-04-07 20:54:09.074251]Total energy: 42680294.818300985
[2022-04-07 20:55:42.503591]Total energy: 42573766.45075869
[2022-04-07 20:57:38.881207]Total energy: 42786690.76386655
[2022-04-07 20:59:11.759917]Total energy: 42858572.80605068
[2022-04-07 21:00:50.470931]Total energy: 42401941.76392498
[2022-04-07 21:02:24.504586]Total energy: 42614771.169675164
[2022-04-07 21:03:59.024707]Total energy: 42712739.20844998
[2022-04-07 21:05:32.097892]Total energy: 42573150.85747369
[2022-04-07 21:07:08.758297]Total energy: 42633469.65499901
[2022-04-07 21:08:40.169501]Total energy: 42578079.00470092
[2022-04-07 21:10:13.570040]Total energy: 42783884.46506031
[2022-04-07 21:11:47.628433]Total energy: 42838646.406997465
[2022-04-07 21:13:22.953051]Total energy: 42622502.29234078
[2022-04-07 21:14:57.597339]Total energy: 42593022.19169114
[2022-04-07 21:16:32.247402]Total energy: 42659115.20460379
[2022-04-07 21:18:07.234222]Total energy: 42818996.649729885
[2022-04-07 21:19:40.605558]Total energy: 42798070.95830889
[2022-04-07 21:21:23.856841]Total energy: 42504751.46425817
[2022-04-07 21:23:06.052120]Total energy: 42819198.42011459
[2022-04-07 21:24:40.380413]Total energy: 42822508.65371136
[2022-04-07 21:26:14.777238]Total energy: 42734234.1183761
