initial: 112 - diverse_seed
[2022-04-07 23:05:15.970853]Total energy: 17090796.62891611
[2022-04-07 23:06:34.059728]Total energy: 16972957.75598017
[2022-04-07 23:07:50.285962]Total energy: 16906562.629457016
[2022-04-07 23:09:07.920738]Total energy: 16971144.791363057
[2022-04-07 23:10:41.279521]Total energy: 16955097.44177021
[2022-04-07 23:12:14.492638]Total energy: 16996129.579926424
[2022-04-07 23:13:31.873428]Total energy: 16914894.417718127
[2022-04-07 23:14:49.565852]Total energy: 16962856.19577721
[2022-04-07 23:16:12.672534]Total energy: 16961685.98032283
[2022-04-07 23:17:31.769151]Total energy: 16941993.258156452
[2022-04-07 23:18:48.024376]Total energy: 16945410.36494874
[2022-04-07 23:20:07.164956]Total energy: 16961667.692885987
[2022-04-07 23:21:33.080334]Total energy: 16998234.99266928
[2022-04-07 23:22:52.014562]Total energy: 17015704.800717782
[2022-04-07 23:24:09.524957]Total energy: 16935251.959288124
[2022-04-07 23:25:26.237836]Total energy: 16985906.88136048
[2022-04-07 23:26:45.136090]Total energy: 16918435.974342596
[2022-04-07 23:28:02.662129]Total energy: 16936934.118044227
[2022-04-07 23:29:23.079053]Total energy: 17009323.58617662
[2022-04-07 23:31:04.984791]Total energy: 16998624.728377413
[2022-04-07 23:32:42.293731]Total energy: 16983486.168160345
[2022-04-07 23:34:00.302818]Total energy: 16975162.878671914
[2022-04-07 23:35:18.789537]Total energy: 16961711.64844259
[2022-04-07 23:36:37.052243]Total energy: 16957149.900361683
[2022-04-07 23:37:53.835054]Total energy: 16939024.420520946
[2022-04-07 23:39:13.673731]Total energy: 16982179.719471347
[2022-04-07 23:40:58.534753]Total energy: 16923172.740394264
[2022-04-07 23:42:28.289445]Total energy: 17000047.344608497
[2022-04-07 23:43:44.761142]Total energy: 16971133.914657593
[2022-04-07 23:45:02.530852]Total energy: 16985675.326746967
[2022-04-07 23:46:22.073249]Total energy: 16955288.4776007
[2022-04-07 23:47:39.110075]Total energy: 16939292.83634026
[2022-04-07 23:48:57.747626]Total energy: 16988913.415359866
[2022-04-07 23:50:14.692965]Total energy: 16940292.63285461
[2022-04-07 23:51:44.564794]Total energy: 16929126.498292767
[2022-04-07 23:53:12.610629]Total energy: 16990723.20416512
[2022-04-07 23:54:38.256355]Total energy: 16926974.396666758
[2022-04-07 23:55:57.583853]Total energy: 16959693.956960943
[2022-04-07 23:57:14.577449]Total energy: 16927708.197727714
[2022-04-07 23:58:33.296830]Total energy: 16907854.976313088
[2022-04-07 23:59:51.326566]Total energy: 17029040.914492335
[2022-04-08 00:01:10.008335]Total energy: 16999918.091515794
[2022-04-08 00:02:27.860795]Total energy: 16949396.00379657
[2022-04-08 00:03:44.592526]Total energy: 16929135.490615714
[2022-04-08 00:05:02.768832]Total energy: 16967638.881363
[2022-04-08 00:06:25.066946]Total energy: 16971170.081165336
[2022-04-08 00:07:40.964697]Total energy: 16958868.791756675
[2022-04-08 00:08:57.977303]Total energy: 16964828.62063767
[2022-04-08 00:10:14.606345]Total energy: 16949566.455970295
[2022-04-08 00:11:31.454528]Total energy: 16969029.190999594
[2022-04-08 00:12:48.236541]Total energy: 16903960.709945057
[2022-04-08 00:14:05.704488]Total energy: 16969642.379978366
[2022-04-08 00:15:23.919192]Total energy: 17001602.78605874
[2022-04-08 00:16:40.466238]Total energy: 17013406.23054457
[2022-04-08 00:17:58.270889]Total energy: 16962597.371064007
[2022-04-08 00:19:15.704372]Total energy: 17024957.47829352
[2022-04-08 00:21:11.394155]Total energy: 17026025.414631084
[2022-04-08 00:22:42.111195]Total energy: 16976424.47793411
[2022-04-08 00:24:01.773222]Total energy: 16988549.790003322
[2022-04-08 00:25:20.664071]Total energy: 16983467.870281212
[2022-04-08 00:26:38.242321]Total energy: 16995612.353767462
[2022-04-08 00:27:56.816880]Total energy: 16990055.884142257
[2022-04-08 00:29:12.560323]Total energy: 16924566.627144948
[2022-04-08 00:30:54.422830]Total energy: 16927596.485436473
[2022-04-08 00:32:39.816617]Total energy: 16981232.489113376
[2022-04-08 00:34:02.093695]Total energy: 16982194.198231976
[2022-04-08 00:35:21.978667]Total energy: 16993486.265263278
[2022-04-08 00:36:38.515647]Total energy: 16969701.66713598
[2022-04-08 00:37:56.228043]Total energy: 17009191.121820662
[2022-04-08 00:39:12.245262]Total energy: 17010394.416285977
[2022-04-08 00:40:41.912401]Total energy: 17001097.2398294
[2022-04-08 00:42:08.996547]Total energy: 16938124.288279105
[2022-04-08 00:43:27.142127]Total energy: 17024863.43768632
[2022-04-08 00:44:44.381698]Total energy: 17006895.12990068
[2022-04-08 00:46:00.901446]Total energy: 16979387.16064174
[2022-04-08 00:47:19.318271]Total energy: 16995773.049474142
[2022-04-08 00:48:36.402709]Total energy: 16976417.193816137
[2022-04-08 00:49:54.012295]Total energy: 17062800.900905255
[2022-04-08 00:51:17.783480]Total energy: 16945138.93875896
[2022-04-08 00:52:41.072439]Total energy: 16976073.350256756
[2022-04-08 00:53:59.208808]Total energy: 16969910.41191984
[2022-04-08 00:55:15.893654]Total energy: 16968048.84444635
[2022-04-08 00:56:33.117763]Total energy: 16953094.86753229
[2022-04-08 00:57:50.251237]Total energy: 16981416.02270462
[2022-04-08 00:59:07.624243]Total energy: 16998981.359840535
[2022-04-08 01:00:24.257102]Total energy: 16990906.337909862
[2022-04-08 01:01:51.003149]Total energy: 17054804.181215227
[2022-04-08 01:03:09.200145]Total energy: 16993696.220398128
[2022-04-08 01:04:25.235007]Total energy: 17022469.150245387
[2022-04-08 01:05:43.004084]Total energy: 16999879.26696569
[2022-04-08 01:07:00.604104]Total energy: 16980189.470806815
[2022-04-08 01:08:18.700647]Total energy: 17003463.550137557
[2022-04-08 01:09:36.557684]Total energy: 17012067.741476778
[2022-04-08 01:11:01.526522]Total energy: 16983898.49441569
[2022-04-08 01:12:26.230461]Total energy: 17002434.257317476
[2022-04-08 01:13:46.979690]Total energy: 16991531.93648119
[2022-04-08 01:15:06.221171]Total energy: 17058134.480028603
[2022-04-08 01:16:25.352638]Total energy: 16940081.223130066
[2022-04-08 01:17:45.179397]Total energy: 17027284.816541053
[2022-04-08 01:19:05.128948]Total energy: 16987351.461164545
[2022-04-08 01:20:31.444722]Total energy: 16984547.855442494
[2022-04-08 01:21:58.816350]Total energy: 16933611.129294273
[2022-04-08 01:23:16.134925]Total energy: 16961472.058963433
[2022-04-08 01:24:34.605419]Total energy: 16939349.795034453
[2022-04-08 01:25:53.553088]Total energy: 17043592.629137754
[2022-04-08 01:27:11.849764]Total energy: 17010532.964029275
[2022-04-08 01:28:29.997957]Total energy: 16941831.547476105
[2022-04-08 01:29:47.528048]Total energy: 16993415.553363554
[2022-04-08 01:31:15.355619]Total energy: 17023975.439259473
[2022-04-08 01:32:38.314420]Total energy: 16975345.01303482
[2022-04-08 01:33:59.248562]Total energy: 16948730.865916967
[2022-04-08 01:35:19.920434]Total energy: 16928557.884311013
[2022-04-08 01:36:49.527412]Total energy: 16930313.413753513
[2022-04-08 01:38:07.061481]Total energy: 16985284.88559902
[2022-04-08 01:39:27.156414]Total energy: 17006291.397420403
[2022-04-08 01:41:08.160613]Total energy: 16977737.438128177
[2022-04-08 01:42:52.370061]Total energy: 16986016.322042167
[2022-04-08 01:44:08.776600]Total energy: 16983995.428435393
[2022-04-08 01:45:26.024076]Total energy: 16962707.221420392
[2022-04-08 01:46:45.852571]Total energy: 16972821.990448795
[2022-04-08 01:48:03.630707]Total energy: 16996613.81226538
[2022-04-08 01:49:27.123726]Total energy: 16912564.305962455
[2022-04-08 01:51:02.183978]Total energy: 16939552.789659698
[2022-04-08 01:52:36.987324]Total energy: 16954530.98131494
[2022-04-08 01:54:04.300399]Total energy: 16975304.68633567
[2022-04-08 01:55:23.565950]Total energy: 16932950.553337973
[2022-04-08 01:56:45.437632]Total energy: 16986080.848365173
[2022-04-08 01:58:05.137850]Total energy: 16951349.755286526
[2022-04-08 01:59:24.881843]Total energy: 16969575.311112516
[2022-04-08 02:00:53.009899]Total energy: 16977645.94067653
[2022-04-08 02:02:23.120659]Total energy: 17001829.973320156
[2022-04-08 02:03:43.643423]Total energy: 16954487.49649697
[2022-04-08 02:05:03.581841]Total energy: 16991114.0263443
[2022-04-08 02:06:22.866686]Total energy: 16943800.817321587
[2022-04-08 02:07:42.186508]Total energy: 16940939.00859221
[2022-04-08 02:09:02.082441]Total energy: 16954688.93255918
[2022-04-08 02:10:22.386507]Total energy: 16970044.48914975
[2022-04-08 02:12:00.715323]Total energy: 16927030.915467
[2022-04-08 02:13:19.735714]Total energy: 16977712.15490236
[2022-04-08 02:14:38.789462]Total energy: 16938758.854072995
[2022-04-08 02:15:59.371290]Total energy: 16965528.60586118
[2022-04-08 02:17:17.439133]Total energy: 16997849.249989733
[2022-04-08 02:18:39.231309]Total energy: 16940102.565068226
[2022-04-08 02:19:57.133419]Total energy: 16984920.67605883
[2022-04-08 02:21:33.850191]Total energy: 16988933.612502053
[2022-04-08 02:23:02.253848]Total energy: 16986289.75984097
[2022-04-08 02:24:26.313466]Total energy: 16963944.273062807
[2022-04-08 02:25:57.590817]Total energy: 16981260.070973117
[2022-04-08 02:27:17.054151]Total energy: 16989463.863947198
[2022-04-08 02:28:35.212627]Total energy: 16986954.263630792
[2022-04-08 02:29:52.831419]Total energy: 16970313.30395459
[2022-04-08 02:31:23.017694]Total energy: 16922545.04147063
[2022-04-08 02:32:44.741054]Total energy: 16976297.261507574
[2022-04-08 02:34:04.770494]Total energy: 16934048.692392547
[2022-04-08 02:35:23.802074]Total energy: 16999876.962345216
[2022-04-08 02:36:41.684900]Total energy: 16949009.925975498
[2022-04-08 02:37:59.533886]Total energy: 16910764.466679513
[2022-04-08 02:39:16.321273]Total energy: 17013499.286869593
[2022-04-08 02:41:11.116227]Total energy: 16976926.12545307
[2022-04-08 02:42:57.995701]Total energy: 16951904.729469877
[2022-04-08 02:44:25.619532]Total energy: 17023749.60233381
[2022-04-08 02:45:42.667950]Total energy: 16999978.06850559
[2022-04-08 02:47:00.381787]Total energy: 16942247.040551346
[2022-04-08 02:48:17.808576]Total energy: 16967528.252670147
[2022-04-08 02:49:34.355402]Total energy: 16956635.360044856
[2022-04-08 02:51:00.597038]Total energy: 16989167.14361608
[2022-04-08 02:52:38.331260]Total energy: 17007126.485200703
[2022-04-08 02:54:04.557364]Total energy: 17004843.09523595
