initial: 110 - diverse_no_blind_seed
[2022-04-09 15:43:00.779899]Total energy: 52931222.20292462
[2022-04-09 15:44:19.352768]Total energy: 52351306.8723824
[2022-04-09 15:45:37.187757]Total energy: 52319910.2017587
[2022-04-09 15:46:55.357738]Total energy: 52237447.84858802
[2022-04-09 15:48:13.874151]Total energy: 52548882.628895864
[2022-04-09 15:49:31.759584]Total energy: 52242167.86161773
[2022-04-09 15:50:54.989066]Total energy: 52236302.35300435
[2022-04-09 15:52:19.476808]Total energy: 52466579.7481848
[2022-04-09 15:53:37.299125]Total energy: 52739620.96300142
[2022-04-09 15:54:55.001028]Total energy: 52435956.72121954
[2022-04-09 15:56:13.423883]Total energy: 52495755.91043052
[2022-04-09 15:57:31.780033]Total energy: 52532392.53274815
[2022-04-09 15:58:49.606344]Total energy: 52348327.109900676
[2022-04-09 16:00:08.062398]Total energy: 52466341.71273321
[2022-04-09 16:01:35.402003]Total energy: 52546604.22476702
[2022-04-09 16:03:07.973624]Total energy: 52792488.00153578
[2022-04-09 16:04:28.610015]Total energy: 52421814.724640645
[2022-04-09 16:05:47.517026]Total energy: 52661732.47861405
[2022-04-09 16:07:06.584884]Total energy: 52515614.56558512
[2022-04-09 16:08:24.426507]Total energy: 52499171.040766954
[2022-04-09 16:09:41.557239]Total energy: 52502856.10891161
[2022-04-09 16:11:31.547047]Total energy: 52597149.794002585
[2022-04-09 16:13:06.530597]Total energy: 52372866.44198384
[2022-04-09 16:14:36.706846]Total energy: 52455908.13174208
[2022-04-09 16:16:02.136666]Total energy: 52606068.944275424
[2022-04-09 16:17:19.815136]Total energy: 52553260.46754902
[2022-04-09 16:18:37.672681]Total energy: 52442160.407401234
[2022-04-09 16:19:56.560228]Total energy: 52351128.176567756
[2022-04-09 16:21:32.567339]Total energy: 52498032.55728962
[2022-04-09 16:23:04.693697]Total energy: 52593104.82340877
[2022-04-09 16:24:31.247591]Total energy: 52481522.03734852
[2022-04-09 16:25:50.932621]Total energy: 52515495.559103265
[2022-04-09 16:27:10.034452]Total energy: 52660285.13533157
[2022-04-09 16:28:30.006872]Total energy: 52448747.23545279
[2022-04-09 16:29:49.680932]Total energy: 52476437.90212902
[2022-04-09 16:31:18.992378]Total energy: 52424507.42018613
[2022-04-09 16:32:51.239140]Total energy: 52553671.55852833
[2022-04-09 16:34:17.880827]Total energy: 52418571.904379755
[2022-04-09 16:35:38.134218]Total energy: 52594147.15180945
[2022-04-09 16:36:57.816031]Total energy: 52301461.890065394
[2022-04-09 16:38:16.945119]Total energy: 52526762.518802054
[2022-04-09 16:39:36.416749]Total energy: 52526380.84741658
[2022-04-09 16:41:11.541311]Total energy: 52442760.24863968
[2022-04-09 16:42:46.509332]Total energy: 52749662.050314784
[2022-04-09 16:44:13.293338]Total energy: 52487815.93313469
[2022-04-09 16:45:40.307319]Total energy: 52593778.969585
[2022-04-09 16:47:00.056053]Total energy: 52426889.45596954
[2022-04-09 16:48:19.489906]Total energy: 52299245.165343106
[2022-04-09 16:49:39.325897]Total energy: 52420378.83201475
[2022-04-09 16:51:10.106036]Total energy: 52659116.13084141
[2022-04-09 16:52:39.083336]Total energy: 52661289.52870123
[2022-04-09 16:53:58.158622]Total energy: 52498119.740244895
[2022-04-09 16:55:18.915820]Total energy: 52240401.32782297
[2022-04-09 16:56:38.854530]Total energy: 52722309.88788742
[2022-04-09 16:57:57.649132]Total energy: 52367524.93829234
[2022-04-09 16:59:17.005475]Total energy: 52456598.553133704
[2022-04-09 17:00:39.982414]Total energy: 52381382.83031263
[2022-04-09 17:02:06.840537]Total energy: 52316482.99182116
[2022-04-09 17:03:28.387591]Total energy: 52653924.7280969
[2022-04-09 17:04:49.110359]Total energy: 52795951.868154705
[2022-04-09 17:06:08.394651]Total energy: 52685472.08034803
[2022-04-09 17:07:26.780368]Total energy: 52557634.7385419
[2022-04-09 17:08:45.648459]Total energy: 52739881.62978145
[2022-04-09 17:10:04.305584]Total energy: 52379962.595488
[2022-04-09 17:11:33.980021]Total energy: 52527085.697464645
[2022-04-09 17:13:04.356450]Total energy: 52736109.84860128
[2022-04-09 17:14:32.518227]Total energy: 52574638.26562432
[2022-04-09 17:15:52.652861]Total energy: 52384038.93010891
[2022-04-09 17:17:12.082990]Total energy: 52551339.95691546
[2022-04-09 17:18:31.460308]Total energy: 52398641.5211909
[2022-04-09 17:19:49.418204]Total energy: 52631962.5079412
[2022-04-09 17:21:32.402750]Total energy: 52506424.07727114
[2022-04-09 17:23:13.023201]Total energy: 52388265.63421921
[2022-04-09 17:24:38.650611]Total energy: 52413592.00502877
[2022-04-09 17:25:58.470427]Total energy: 52507592.56002014
[2022-04-09 17:27:17.138075]Total energy: 52574497.66475408
[2022-04-09 17:28:35.959455]Total energy: 52400671.577511415
[2022-04-09 17:29:54.444657]Total energy: 52483641.37508611
[2022-04-09 17:31:28.611603]Total energy: 52618694.073440276
[2022-04-09 17:33:13.005680]Total energy: 52347024.48255801
[2022-04-09 17:34:33.944255]Total energy: 52410662.98691089
[2022-04-09 17:35:54.950256]Total energy: 52858112.82877096
[2022-04-09 17:37:14.145095]Total energy: 52541783.34667649
[2022-04-09 17:38:32.287054]Total energy: 52717028.54451699
[2022-04-09 17:39:52.520193]Total energy: 52621506.21144068
