initial: 116 - optimal_only_seed
[2022-04-07 22:34:26.916225]Total energy: 98411860.76859969
[2022-04-07 22:35:41.595177]Total energy: 98740456.59378004
[2022-04-07 22:36:55.324274]Total energy: 98966262.55304249
[2022-04-07 22:38:08.746228]Total energy: 98773854.96280669
[2022-04-07 22:39:23.134039]Total energy: 98744883.87673603
[2022-04-07 22:40:55.516527]Total energy: 98707526.49570246
[2022-04-07 22:42:24.578006]Total energy: 98808402.7593591
[2022-04-07 22:43:37.035328]Total energy: 98650707.29146284
[2022-04-07 22:44:50.986804]Total energy: 98624302.68636262
[2022-04-07 22:46:05.098006]Total energy: 98807439.81344655
[2022-04-07 22:47:19.289641]Total energy: 98832422.26386797
[2022-04-07 22:48:32.076115]Total energy: 98774460.54584715
[2022-04-07 22:49:45.450519]Total energy: 98865887.60836536
[2022-04-07 22:51:08.069207]Total energy: 98978975.82124287
[2022-04-07 22:52:30.113050]Total energy: 99039614.2048367
[2022-04-07 22:53:46.581311]Total energy: 98769957.20476013
[2022-04-07 22:55:01.437413]Total energy: 98856998.0340581
[2022-04-07 22:56:17.850199]Total energy: 98749349.5487984
[2022-04-07 22:57:32.083317]Total energy: 98726758.77621831
[2022-04-07 22:58:45.333906]Total energy: 98711424.1325753
[2022-04-07 23:00:05.396723]Total energy: 98892123.44107215
[2022-04-07 23:01:25.871076]Total energy: 98656878.38042232
[2022-04-07 23:02:42.852477]Total energy: 98931108.07235986
[2022-04-07 23:03:56.021432]Total energy: 98902468.75051384
[2022-04-07 23:05:09.879125]Total energy: 98861346.2476431
[2022-04-07 23:06:23.813773]Total energy: 98667241.30605741
[2022-04-07 23:07:36.708535]Total energy: 98922049.40046078
[2022-04-07 23:08:51.427964]Total energy: 98870111.28289671
[2022-04-07 23:10:05.335967]Total energy: 99093259.95457545
[2022-04-07 23:11:26.699712]Total energy: 98796140.94419096
[2022-04-07 23:12:45.560628]Total energy: 98775945.40493348
[2022-04-07 23:13:59.749515]Total energy: 98953542.81134239
[2022-04-07 23:15:13.310299]Total energy: 98756260.42836645
[2022-04-07 23:16:42.617831]Total energy: 98760793.20300974
[2022-04-07 23:17:56.239462]Total energy: 98907101.61204274
[2022-04-07 23:19:09.744733]Total energy: 98778788.60759
[2022-04-07 23:20:36.854847]Total energy: 98838901.26543464
[2022-04-07 23:22:17.488504]Total energy: 98643687.32413718
[2022-04-07 23:23:39.649779]Total energy: 98988284.26516117
[2022-04-07 23:24:52.591195]Total energy: 98704055.0151303
[2022-04-07 23:26:07.378958]Total energy: 98904924.98386806
[2022-04-07 23:27:21.017783]Total energy: 98720576.70202121
[2022-04-07 23:28:35.590307]Total energy: 98758159.46922907
[2022-04-07 23:29:49.829633]Total energy: 99026046.08246917
[2022-04-07 23:31:23.561022]Total energy: 98724441.4807549
[2022-04-07 23:32:53.665539]Total energy: 98933942.71979243
[2022-04-07 23:34:07.033268]Total energy: 98716721.88575391
[2022-04-07 23:35:21.438297]Total energy: 98473210.68475848
[2022-04-07 23:36:36.601472]Total energy: 98805159.4074462
[2022-04-07 23:37:49.655948]Total energy: 98778240.16843031
[2022-04-07 23:39:05.907788]Total energy: 98955299.63681205
[2022-04-07 23:40:20.812000]Total energy: 98885028.80545337
[2022-04-07 23:41:34.965092]Total energy: 98714038.88733253
[2022-04-07 23:42:51.856352]Total energy: 98904157.86888625
[2022-04-07 23:44:06.492440]Total energy: 98690712.55050097
[2022-04-07 23:45:19.848059]Total energy: 98790185.07477568
[2022-04-07 23:46:34.500308]Total energy: 98701808.84737872
[2022-04-07 23:47:48.001776]Total energy: 98883371.5116201
[2022-04-07 23:49:03.775393]Total energy: 98739839.81146553
[2022-04-07 23:50:17.004924]Total energy: 98996899.86962934
[2022-04-07 23:51:42.601949]Total energy: 99069757.68405779
[2022-04-07 23:53:06.996453]Total energy: 98791297.1973862
[2022-04-07 23:54:21.783049]Total energy: 98941664.22083859
[2022-04-07 23:55:37.449213]Total energy: 98489937.39910409
[2022-04-07 23:56:51.261068]Total energy: 98908175.60754278
[2022-04-07 23:58:05.073813]Total energy: 98763305.76287448
[2022-04-07 23:59:21.127228]Total energy: 99007331.1378915
[2022-04-08 00:00:35.512134]Total energy: 98758132.6251439
[2022-04-08 00:01:49.831355]Total energy: 98693795.04802221
[2022-04-08 00:03:03.681749]Total energy: 99048674.76886383
[2022-04-08 00:04:17.692315]Total energy: 98925162.13311341
[2022-04-08 00:05:43.860236]Total energy: 98852930.86916074
[2022-04-08 00:06:58.235101]Total energy: 98899222.85952426
[2022-04-08 00:08:11.458854]Total energy: 98909899.76907203
[2022-04-08 00:09:26.135033]Total energy: 98815345.41637951
[2022-04-08 00:10:40.189909]Total energy: 99010116.90743066
[2022-04-08 00:11:55.254752]Total energy: 98750700.73356628
[2022-04-08 00:13:09.079114]Total energy: 99017963.41394366
[2022-04-08 00:14:23.022280]Total energy: 98774791.2450956
[2022-04-08 00:15:38.988262]Total energy: 98846916.74156798
[2022-04-08 00:16:51.363373]Total energy: 98752382.52383116
[2022-04-08 00:18:05.412613]Total energy: 98861584.5197356
[2022-04-08 00:19:19.394395]Total energy: 98854640.64242907
[2022-04-08 00:21:11.346742]Total energy: 98704777.13811478
[2022-04-08 00:22:34.646965]Total energy: 98964861.44171031
[2022-04-08 00:23:49.141597]Total energy: 98728874.61667526
[2022-04-08 00:25:02.230807]Total energy: 98780684.02272627
[2022-04-08 00:26:15.426916]Total energy: 98991451.5884153
[2022-04-08 00:27:30.706171]Total energy: 98668863.30266249
[2022-04-08 00:28:43.941503]Total energy: 99173396.4954712
[2022-04-08 00:29:57.356684]Total energy: 98817001.59473778
[2022-04-08 00:31:35.609460]Total energy: 98886100.8912822
[2022-04-08 00:33:04.277735]Total energy: 99016319.19546798
[2022-04-08 00:34:23.602098]Total energy: 98494164.82748432
[2022-04-08 00:35:37.570312]Total energy: 98781055.22834828
[2022-04-08 00:36:51.485756]Total energy: 98985751.69395792
[2022-04-08 00:38:04.633452]Total energy: 98842019.94056067
[2022-04-08 00:39:17.887060]Total energy: 98691877.50286992
[2022-04-08 00:40:42.616464]Total energy: 98991006.49747033
[2022-04-08 00:42:05.671098]Total energy: 98639502.21174966
[2022-04-08 00:43:20.943745]Total energy: 98635454.31615253
[2022-04-08 00:44:34.898252]Total energy: 98922832.45125808
[2022-04-08 00:45:47.651292]Total energy: 99017623.44489735
[2022-04-08 00:47:02.233928]Total energy: 98861915.94328052
[2022-04-08 00:48:14.858952]Total energy: 98604968.74949756
[2022-04-08 00:49:28.571559]Total energy: 98622559.55002119
[2022-04-08 00:50:47.420990]Total energy: 98936166.93369235
[2022-04-08 00:52:06.271446]Total energy: 98692876.84837899
[2022-04-08 00:53:21.082204]Total energy: 98779004.64536914
[2022-04-08 00:54:35.139395]Total energy: 98747129.23079658
[2022-04-08 00:55:47.974884]Total energy: 98782809.99660598
[2022-04-08 00:57:01.635628]Total energy: 99132567.60241124
[2022-04-08 00:58:15.062411]Total energy: 98705731.06639339
[2022-04-08 00:59:30.571383]Total energy: 98780204.90167996
[2022-04-08 01:00:56.594813]Total energy: 98822832.48228507
[2022-04-08 01:02:12.250107]Total energy: 98905080.20762026
[2022-04-08 01:03:25.082030]Total energy: 98788679.90971106
[2022-04-08 01:04:37.866689]Total energy: 98767204.07411423
[2022-04-08 01:05:51.851987]Total energy: 98937096.9791894
[2022-04-08 01:07:06.028132]Total energy: 98661816.71665952
[2022-04-08 01:08:19.753326]Total energy: 98856413.29752238
[2022-04-08 01:09:34.176670]Total energy: 98757457.74662837
[2022-04-08 01:10:54.809379]Total energy: 98797257.41126548
[2022-04-08 01:12:10.460618]Total energy: 98907053.05560644
[2022-04-08 01:13:24.256174]Total energy: 99025239.9580847
[2022-04-08 01:14:38.919862]Total energy: 98875295.68862471
[2022-04-08 01:15:52.886573]Total energy: 98920639.0726256
[2022-04-08 01:17:06.979437]Total energy: 98678611.65811189
[2022-04-08 01:18:21.409599]Total energy: 98847404.79846032
[2022-04-08 01:19:35.417221]Total energy: 98767414.60365224
[2022-04-08 01:21:00.131137]Total energy: 98730966.4724421
[2022-04-08 01:22:16.579590]Total energy: 98788344.0664861
