initial: all - diverse_no_blind_all
[2022-04-09 14:43:22.483200]Total energy: 16895729.50980212
[2022-04-09 14:44:54.609039]Total energy: 16899095.49755061
[2022-04-09 14:46:13.154268]Total energy: 16873695.443221428
[2022-04-09 14:47:30.589323]Total energy: 16883621.71906449
[2022-04-09 14:48:46.237891]Total energy: 16915466.891903076
[2022-04-09 14:50:03.590791]Total energy: 16925031.0482365
[2022-04-09 14:51:28.527910]Total energy: 16880952.89025082
[2022-04-09 14:52:49.174297]Total energy: 16882831.284124356
[2022-04-09 14:54:07.801342]Total energy: 16922935.86328222
[2022-04-09 14:55:25.550138]Total energy: 16875585.592444587
[2022-04-09 14:56:42.862024]Total energy: 16907096.881950457
[2022-04-09 14:58:00.494095]Total energy: 16873536.653017677
[2022-04-09 14:59:18.091797]Total energy: 16903904.58087228
[2022-04-09 15:00:58.183985]Total energy: 16907941.620406974
[2022-04-09 15:02:26.028190]Total energy: 16879018.12612153
[2022-04-09 15:03:40.399411]Total energy: 16898773.350902464
[2022-04-09 15:04:54.192764]Total energy: 16880786.575902354
[2022-04-09 15:06:12.902344]Total energy: 16937468.572756704
[2022-04-09 15:07:27.684693]Total energy: 16910926.297512766
[2022-04-09 15:08:43.343954]Total energy: 16875482.82400763
[2022-04-09 15:09:58.651011]Total energy: 16887846.372031026
[2022-04-09 15:11:19.855649]Total energy: 16863559.165328044
[2022-04-09 15:12:45.143905]Total energy: 16991409.31091538
[2022-04-09 15:14:07.640402]Total energy: 16964195.249869607
[2022-04-09 15:15:21.254923]Total energy: 16898939.004905224
[2022-04-09 15:16:35.395188]Total energy: 16891045.75629224
[2022-04-09 15:17:49.197248]Total energy: 16983401.3762342
[2022-04-09 15:19:04.409362]Total energy: 16988909.344301213
[2022-04-09 15:20:18.774570]Total energy: 16933829.548077244
[2022-04-09 15:21:42.578657]Total energy: 16897818.784147978
[2022-04-09 15:23:01.735018]Total energy: 16928884.781634312
[2022-04-09 15:24:15.600125]Total energy: 16940647.79065587
[2022-04-09 15:25:32.659506]Total energy: 16917384.481516007
[2022-04-09 15:26:46.555318]Total energy: 16905225.037784632
[2022-04-09 15:28:00.407214]Total energy: 16940266.636415347
[2022-04-09 15:29:14.688018]Total energy: 16942795.8244547
[2022-04-09 15:30:55.487277]Total energy: 16925111.495996688
[2022-04-09 15:32:35.344178]Total energy: 16938378.503482435
[2022-04-09 15:33:55.720586]Total energy: 16945032.722342283
[2022-04-09 15:35:10.057057]Total energy: 16991230.02100526
[2022-04-09 15:36:24.099891]Total energy: 16923567.503629934
[2022-04-09 15:37:38.680024]Total energy: 16934418.19746077
[2022-04-09 15:38:54.805636]Total energy: 16940803.822993863
[2022-04-09 15:40:11.306381]Total energy: 16958936.500545528
[2022-04-09 15:41:38.803573]Total energy: 16899365.03660954
[2022-04-09 15:42:58.132502]Total energy: 16979744.842475597
[2022-04-09 15:44:12.253832]Total energy: 16931878.971326
[2022-04-09 15:45:27.642082]Total energy: 16931943.695403755
[2022-04-09 15:46:41.945486]Total energy: 16982123.77790467
[2022-04-09 15:47:55.973607]Total energy: 16991072.178468082
[2022-04-09 15:49:10.363913]Total energy: 16972442.21135688
[2022-04-09 15:50:41.962781]Total energy: 16913589.066197384
[2022-04-09 15:52:06.861042]Total energy: 16941902.36394368
[2022-04-09 15:53:22.028216]Total energy: 16946479.462249678
[2022-04-09 15:54:37.832427]Total energy: 16976691.86283718
[2022-04-09 15:55:56.048944]Total energy: 16945556.280965388
[2022-04-09 15:57:09.977424]Total energy: 16944575.200676136
[2022-04-09 15:58:25.335292]Total energy: 16960114.519673057
[2022-04-09 15:59:41.451332]Total energy: 16956203.406854413
[2022-04-09 16:01:15.054654]Total energy: 16935135.018471096
[2022-04-09 16:02:46.416142]Total energy: 16930664.54048329
[2022-04-09 16:04:05.910769]Total energy: 16939964.170546893
[2022-04-09 16:05:19.878769]Total energy: 16930360.1580026
[2022-04-09 16:06:34.673715]Total energy: 16910466.11462
[2022-04-09 16:07:48.821163]Total energy: 16914789.025956612
[2022-04-09 16:09:02.185432]Total energy: 16950778.70430498
[2022-04-09 16:10:16.562132]Total energy: 16954683.49910333
[2022-04-09 16:11:44.487946]Total energy: 17000695.83621059
[2022-04-09 16:13:16.358243]Total energy: 16918493.323534478
[2022-04-09 16:14:46.572956]Total energy: 16920481.052565303
[2022-04-09 16:16:01.605138]Total energy: 16954499.661786623
[2022-04-09 16:17:15.848705]Total energy: 16941675.041994542
[2022-04-09 16:18:29.875900]Total energy: 16927724.202834208
[2022-04-09 16:19:43.600461]Total energy: 16934602.70163228
[2022-04-09 16:21:11.770261]Total energy: 16942422.73730054
[2022-04-09 16:22:57.090017]Total energy: 16966884.00941258
[2022-04-09 16:24:14.070493]Total energy: 16966739.305044234
[2022-04-09 16:25:27.443298]Total energy: 16944953.4177101
[2022-04-09 16:26:41.619224]Total energy: 16891659.15820474
[2022-04-09 16:27:57.141743]Total energy: 16936392.6485722
[2022-04-09 16:29:11.755779]Total energy: 16911204.9275556
[2022-04-09 16:30:43.632979]Total energy: 16930141.23793779
[2022-04-09 16:32:19.309308]Total energy: 16960505.445674308
[2022-04-09 16:33:42.594115]Total energy: 16956003.789778225
[2022-04-09 16:34:57.339394]Total energy: 16934849.212364037
[2022-04-09 16:36:11.668530]Total energy: 16972901.23780802
[2022-04-09 16:37:26.575743]Total energy: 16993507.94596317
[2022-04-09 16:38:40.315479]Total energy: 16908046.897446167
[2022-04-09 16:39:54.048726]Total energy: 16955727.212640878
[2022-04-09 16:41:22.239065]Total energy: 16921050.20048834
[2022-04-09 16:42:55.531842]Total energy: 16930326.139365364
[2022-04-09 16:44:23.363967]Total energy: 16934514.28378333
[2022-04-09 16:45:42.153594]Total energy: 16924979.10825795
[2022-04-09 16:46:56.631093]Total energy: 16947417.349970542
[2022-04-09 16:48:10.599099]Total energy: 16920802.1130069
