initial: all - diverse_no_blind_all
[2022-04-09 15:42:58.878160]Total energy: 16934183.105140347
[2022-04-09 15:44:14.520788]Total energy: 16693464.033053352
[2022-04-09 15:45:28.683455]Total energy: 16645403.874285685
[2022-04-09 15:46:45.149585]Total energy: 16633699.264316874
[2022-04-09 15:48:00.122444]Total energy: 16602022.068117045
[2022-04-09 15:49:13.853567]Total energy: 16628264.028547063
[2022-04-09 15:50:58.148184]Total energy: 16647416.668154543
[2022-04-09 15:52:29.513575]Total energy: 16657040.86121145
[2022-04-09 15:53:44.023052]Total energy: 16637097.476600273
[2022-04-09 15:55:00.158580]Total energy: 16641451.077569112
[2022-04-09 15:56:16.040939]Total energy: 16621285.724544648
[2022-04-09 15:57:31.618542]Total energy: 16621407.48398685
[2022-04-09 15:58:47.225790]Total energy: 16575705.438813968
[2022-04-09 16:00:02.193071]Total energy: 16628814.129136378
[2022-04-09 16:01:40.254796]Total energy: 16643296.877981484
[2022-04-09 16:03:12.257669]Total energy: 16641310.728316825
[2022-04-09 16:04:26.765831]Total energy: 16673794.517420461
[2022-04-09 16:05:42.470803]Total energy: 16603028.983919865
[2022-04-09 16:06:57.888827]Total energy: 16631382.88634354
[2022-04-09 16:08:13.698321]Total energy: 16649613.312937928
[2022-04-09 16:09:28.662442]Total energy: 16643321.226105884
[2022-04-09 16:11:14.959542]Total energy: 16638843.186129505
[2022-04-09 16:12:54.771523]Total energy: 16622801.542677598
[2022-04-09 16:14:24.652801]Total energy: 16613879.6040896
[2022-04-09 16:15:45.100058]Total energy: 16659418.998730987
[2022-04-09 16:17:01.211267]Total energy: 16618359.23938396
[2022-04-09 16:18:16.151029]Total energy: 16620650.952135995
[2022-04-09 16:19:30.528304]Total energy: 16653754.872114575
[2022-04-09 16:21:10.748727]Total energy: 16694022.681750955
[2022-04-09 16:22:45.999345]Total energy: 16616392.603512533
[2022-04-09 16:24:05.647019]Total energy: 16634662.923977803
[2022-04-09 16:25:21.505323]Total energy: 16676404.009751722
[2022-04-09 16:26:39.911141]Total energy: 16646719.37027407
[2022-04-09 16:27:56.602823]Total energy: 16602366.953752434
[2022-04-09 16:29:12.739929]Total energy: 16643203.964367274
[2022-04-09 16:30:57.468215]Total energy: 16605925.169956015
[2022-04-09 16:32:30.249705]Total energy: 16637612.322412351
[2022-04-09 16:33:52.769272]Total energy: 16634539.63825355
[2022-04-09 16:35:07.380615]Total energy: 16629988.707212808
[2022-04-09 16:36:25.235634]Total energy: 16614692.094752638
[2022-04-09 16:37:40.126918]Total energy: 16670156.915559098
[2022-04-09 16:38:55.276195]Total energy: 16619279.912756864
[2022-04-09 16:40:09.407098]Total energy: 16622729.505936256
[2022-04-09 16:41:34.667352]Total energy: 16627936.34085511
[2022-04-09 16:43:04.180956]Total energy: 16653066.620128768
[2022-04-09 16:44:33.438555]Total energy: 16620660.023654047
[2022-04-09 16:45:53.728446]Total energy: 16603667.969218954
[2022-04-09 16:47:09.530192]Total energy: 16676009.879516734
[2022-04-09 16:48:23.639156]Total energy: 16636523.274754144
[2022-04-09 16:49:38.380670]Total energy: 16624344.525027413
