initial: 119 - diverse_no_blind_seed
[2022-04-09 16:47:53.420765]Total energy: 19854439.29061281
[2022-04-09 16:49:16.989426]Total energy: 19809484.387769654
[2022-04-09 16:51:00.742507]Total energy: 19810493.25081264
[2022-04-09 16:52:36.258939]Total energy: 19893164.113152772
[2022-04-09 16:53:58.090295]Total energy: 19813068.511148863
[2022-04-09 16:55:20.649544]Total energy: 19852221.099792875
[2022-04-09 16:56:40.779731]Total energy: 19861400.611963782
[2022-04-09 16:58:03.177311]Total energy: 19793442.35964261
[2022-04-09 16:59:27.950123]Total energy: 19811763.274160244
[2022-04-09 17:00:54.719911]Total energy: 19791982.376163058
[2022-04-09 17:02:26.310074]Total energy: 19813590.64820267
[2022-04-09 17:03:55.315885]Total energy: 19745551.15777194
[2022-04-09 17:05:17.143567]Total energy: 19781932.753976155
[2022-04-09 17:06:38.712159]Total energy: 19849389.695839576
[2022-04-09 17:08:01.342690]Total energy: 19882400.60159097
[2022-04-09 17:09:24.879859]Total energy: 19847488.665830366
[2022-04-09 17:11:06.582968]Total energy: 19835636.206914857
[2022-04-09 17:12:49.617792]Total energy: 19796824.808526523
[2022-04-09 17:14:19.487291]Total energy: 19783059.86024226
[2022-04-09 17:15:42.818926]Total energy: 19839525.24592956
[2022-04-09 17:17:04.622683]Total energy: 19841544.035067737
[2022-04-09 17:18:27.758012]Total energy: 19886495.554783676
[2022-04-09 17:19:50.118061]Total energy: 19777567.69970128
[2022-04-09 17:21:36.722436]Total energy: 19755315.1996388
[2022-04-09 17:23:18.902259]Total energy: 19821904.463546526
[2022-04-09 17:24:47.483160]Total energy: 19764776.76718031
[2022-04-09 17:26:11.526577]Total energy: 19833492.47708122
[2022-04-09 17:27:34.371882]Total energy: 19874448.19481563
[2022-04-09 17:28:57.711647]Total energy: 19775963.688977823
[2022-04-09 17:30:22.410078]Total energy: 19908707.218724865
[2022-04-09 17:32:03.427664]Total energy: 19801967.838547137
[2022-04-09 17:33:38.868491]Total energy: 19895190.834418632
[2022-04-09 17:35:06.296873]Total energy: 19885526.650782626
[2022-04-09 17:36:29.277835]Total energy: 19829398.481772635
[2022-04-09 17:37:52.644403]Total energy: 19876074.068669595
[2022-04-09 17:39:15.964462]Total energy: 19800489.391691856
[2022-04-09 17:41:15.605035]Total energy: 19831027.470708426
[2022-04-09 17:43:03.367063]Total energy: 19801864.64748866
[2022-04-09 17:44:35.568830]Total energy: 19775488.56460875
[2022-04-09 17:46:02.799583]Total energy: 19806955.861923438
[2022-04-09 17:47:33.713644]Total energy: 19848404.48178138
[2022-04-09 17:48:58.026501]Total energy: 19797825.56497887
[2022-04-09 17:50:18.182781]Total energy: 19790738.215163086
[2022-04-09 17:51:56.691126]Total energy: 19756650.045914028
[2022-04-09 17:53:34.156621]Total energy: 19786882.317438394
[2022-04-09 17:55:02.419359]Total energy: 19784057.23134957
[2022-04-09 17:56:24.422860]Total energy: 19840205.475475777
[2022-04-09 17:57:45.043974]Total energy: 19814557.729300644
[2022-04-09 17:59:06.314005]Total energy: 19879285.20794043
[2022-04-09 18:01:03.347438]Total energy: 19782703.869068157
[2022-04-09 18:02:44.424089]Total energy: 19787542.168128397
[2022-04-09 18:04:06.247478]Total energy: 19834421.145630755
[2022-04-09 18:05:28.002583]Total energy: 19884785.797629535
[2022-04-09 18:06:49.576056]Total energy: 19849589.05645007
[2022-04-09 18:08:11.306097]Total energy: 19795807.865104202
[2022-04-09 18:09:32.817932]Total energy: 19811762.519848123
[2022-04-09 18:11:01.370067]Total energy: 19808741.62545
[2022-04-09 18:12:28.630008]Total energy: 19923098.013135966
[2022-04-09 18:13:52.130006]Total energy: 19850199.186268248
[2022-04-09 18:15:16.533835]Total energy: 19728892.31477094
[2022-04-09 18:16:40.531316]Total energy: 19756585.598166
[2022-04-09 18:18:06.007167]Total energy: 19728554.592936434
[2022-04-09 18:19:31.405267]Total energy: 19746439.163483344
[2022-04-09 18:21:14.282582]Total energy: 19738388.37615904
[2022-04-09 18:22:58.354857]Total energy: 19757416.676073004
[2022-04-09 18:24:26.834079]Total energy: 19677313.061919376
[2022-04-09 18:25:50.603172]Total energy: 19739314.709732864
[2022-04-09 18:27:14.416309]Total energy: 19730884.902697198
[2022-04-09 18:28:37.253317]Total energy: 19735214.675409243
[2022-04-09 18:30:07.574212]Total energy: 19707687.694219694
[2022-04-09 18:31:52.832259]Total energy: 19678677.40143295
[2022-04-09 18:33:29.470800]Total energy: 19692941.907178584
[2022-04-09 18:35:00.216286]Total energy: 19790359.754877605
[2022-04-09 18:36:22.176732]Total energy: 19773814.24388117
[2022-04-09 18:37:44.245724]Total energy: 19694582.47662703
[2022-04-09 18:39:06.373979]Total energy: 19829302.236839984
[2022-04-09 18:40:51.762432]Total energy: 19772151.389749654
[2022-04-09 18:42:41.270793]Total energy: 19785128.445676226
[2022-04-09 18:44:04.706537]Total energy: 19730368.969606385
[2022-04-09 18:45:26.638005]Total energy: 19775004.160863165
[2022-04-09 18:46:49.155438]Total energy: 19784906.317155365
[2022-04-09 18:48:11.941924]Total energy: 19790266.434070557
[2022-04-09 18:49:33.606718]Total energy: 19783341.9205416
[2022-04-09 18:51:46.451899]Total energy: 19736059.52852329
[2022-04-09 18:53:29.883117]Total energy: 19702656.104167312
[2022-04-09 18:54:52.237155]Total energy: 19750319.983624462
[2022-04-09 18:56:13.902672]Total energy: 19743218.354479082
[2022-04-09 18:57:37.578414]Total energy: 19714114.199900478
[2022-04-09 18:59:00.256559]Total energy: 19712165.48962145
[2022-04-09 19:00:55.926518]Total energy: 19792371.63882703
[2022-04-09 19:02:46.818812]Total energy: 19710417.318993498
[2022-04-09 19:04:27.245771]Total energy: 19745258.243871707
[2022-04-09 19:05:57.909569]Total energy: 19678288.40438648
[2022-04-09 19:07:22.650219]Total energy: 19796122.095649544
[2022-04-09 19:08:45.470794]Total energy: 19749156.32133771
[2022-04-09 19:10:11.119191]Total energy: 19778634.17913281
[2022-04-09 19:11:45.429494]Total energy: 19704100.515383836
[2022-04-09 19:13:16.107377]Total energy: 19734517.769025136
[2022-04-09 19:14:41.959255]Total energy: 19771672.637290638
[2022-04-09 19:16:03.947609]Total energy: 19754269.88344408
[2022-04-09 19:18:51.435745]Total energy: 19765418.697432697
[2022-04-09 19:21:11.844928]Total energy: 19842021.061982952
[2022-04-09 19:22:54.441967]Total energy: 19734195.06364162
[2022-04-09 19:24:15.797132]Total energy: 19731370.367586978
[2022-04-09 19:25:38.537919]Total energy: 19832343.464464482
[2022-04-09 19:27:00.285022]Total energy: 19730954.761775043
[2022-04-09 19:28:21.812044]Total energy: 19798005.09599182
[2022-04-09 19:29:45.420701]Total energy: 19633333.856700912
[2022-04-09 19:31:30.733285]Total energy: 19784659.600469016
[2022-04-09 19:33:04.995381]Total energy: 19785428.3744869
[2022-04-09 19:34:47.976522]Total energy: 19740413.907688502
[2022-04-09 19:36:18.092292]Total energy: 19760763.869702287
[2022-04-09 19:37:39.563681]Total energy: 19809995.20659054
[2022-04-09 19:39:01.682616]Total energy: 19778009.10428869
[2022-04-09 19:40:35.236418]Total energy: 19807777.871963356
[2022-04-09 19:42:06.354533]Total energy: 19722411.236001853
[2022-04-09 19:43:28.702873]Total energy: 19789165.950297087
[2022-04-09 19:44:47.203850]Total energy: 19718073.20615759
[2022-04-09 19:46:09.305153]Total energy: 19778851.18003937
[2022-04-09 19:47:28.966784]Total energy: 19804410.55403713
[2022-04-09 19:48:49.243555]Total energy: 19841477.580076642
[2022-04-09 19:50:09.964914]Total energy: 19725756.77186104
[2022-04-09 19:51:54.920397]Total energy: 19768417.984286554
[2022-04-09 19:53:38.674663]Total energy: 19744924.42012192
[2022-04-09 19:55:02.788242]Total energy: 19747015.2280437
[2022-04-09 19:56:23.143765]Total energy: 19823797.30409478
[2022-04-09 19:57:43.177006]Total energy: 19851511.868355706
[2022-04-09 19:59:03.252083]Total energy: 19813578.8789951
[2022-04-09 20:00:58.509864]Total energy: 19775447.671511065
[2022-04-09 20:02:27.078545]Total energy: 19803943.958164528
[2022-04-09 20:03:49.145280]Total energy: 19730629.541371785
[2022-04-09 20:05:12.851955]Total energy: 19777995.19949742
[2022-04-09 20:06:34.372000]Total energy: 19797725.25839459
[2022-04-09 20:07:55.604798]Total energy: 19749294.11664003
[2022-04-09 20:09:19.943855]Total energy: 19766721.569246486
[2022-04-09 20:11:20.199420]Total energy: 19811124.17111977
[2022-04-09 20:13:20.015571]Total energy: 19771552.029791836
[2022-04-09 20:15:06.015243]Total energy: 19749357.620953627
[2022-04-09 20:16:35.017221]Total energy: 19768639.741582032
[2022-04-09 20:17:55.617534]Total energy: 19739001.243988384
[2022-04-09 20:19:16.183799]Total energy: 19769946.427146345
[2022-04-09 20:20:59.325180]Total energy: 19715741.389718767
[2022-04-09 20:22:48.647947]Total energy: 19907300.252547663
[2022-04-09 20:24:18.477228]Total energy: 19811441.276717532
[2022-04-09 20:25:38.839669]Total energy: 19793759.0252673
[2022-04-09 20:26:59.198251]Total energy: 19805578.829152614
[2022-04-09 20:28:20.672549]Total energy: 19819365.188583616
[2022-04-09 20:29:40.153249]Total energy: 19785494.484187037
[2022-04-09 20:31:12.697420]Total energy: 19758252.12638632
[2022-04-09 20:32:38.756118]Total energy: 19806997.603962187
[2022-04-09 20:34:05.869444]Total energy: 19720196.909830414
[2022-04-09 20:35:27.637411]Total energy: 19789363.039392542
[2022-04-09 20:36:52.542579]Total energy: 19760416.157870267
[2022-04-09 20:38:18.521250]Total energy: 19775703.964500222
[2022-04-09 20:39:42.359926]Total energy: 19828678.946326196
[2022-04-09 20:41:25.005759]Total energy: 19808275.0696896
[2022-04-09 20:43:11.740930]Total energy: 19770525.66497152
[2022-04-09 20:44:38.336820]Total energy: 19764155.79818642
[2022-04-09 20:46:14.186452]Total energy: 19887177.320613768
[2022-04-09 20:47:34.322411]Total energy: 19729074.24151078
[2022-04-09 20:48:54.805062]Total energy: 19736231.979000706
[2022-04-09 20:50:18.798690]Total energy: 19730104.072017998
[2022-04-09 20:51:46.706858]Total energy: 19739162.433183912
[2022-04-09 20:53:22.395890]Total energy: 19708275.91965984
[2022-04-09 20:54:50.388585]Total energy: 19790329.218984906
[2022-04-09 20:56:11.157466]Total energy: 19695401.869160175
[2022-04-09 20:57:31.566323]Total energy: 19744064.10256697
[2022-04-09 20:58:52.447201]Total energy: 19733430.785846077
[2022-04-09 21:00:19.071478]Total energy: 19666468.14560038
[2022-04-09 21:02:06.431761]Total energy: 19653543.32738133
[2022-04-09 21:03:41.699783]Total energy: 19774182.907381073
[2022-04-09 21:05:18.322837]Total energy: 19737040.0983614
[2022-04-09 21:06:56.660122]Total energy: 19670319.1416304
[2022-04-09 21:08:33.696048]Total energy: 19720625.403961986
[2022-04-09 21:10:09.376803]Total energy: 19689777.230241723
[2022-04-09 21:11:31.091588]Total energy: 19779729.75175158
[2022-04-09 21:12:51.873538]Total energy: 19708346.46976337
[2022-04-09 21:14:12.953115]Total energy: 19709735.923407517
[2022-04-09 21:15:35.511517]Total energy: 19700469.871337093
[2022-04-09 21:16:57.529858]Total energy: 19731274.26651465
[2022-04-09 21:18:19.983909]Total energy: 19729297.74451098
[2022-04-09 21:19:42.422700]Total energy: 19710216.979814798
[2022-04-09 21:21:40.918871]Total energy: 19692486.536904495
[2022-04-09 21:23:30.572917]Total energy: 19686013.92820387
[2022-04-09 21:25:01.267484]Total energy: 19770502.929183293
[2022-04-09 21:26:21.987596]Total energy: 19685906.332475547
[2022-04-09 21:27:42.573603]Total energy: 19786098.71022556
[2022-04-09 21:29:03.778171]Total energy: 19789485.225271966
[2022-04-09 21:30:41.012954]Total energy: 19731164.81917219
[2022-04-09 21:32:40.339143]Total energy: 19784702.534396887
[2022-04-09 21:34:16.783705]Total energy: 19726881.751722433
[2022-04-09 21:35:57.421687]Total energy: 19688502.91146224
[2022-04-09 21:37:27.443585]Total energy: 19728612.765918862
[2022-04-09 21:38:47.944609]Total energy: 19708938.396198526
[2022-04-09 21:40:09.337355]Total energy: 19715851.314047895
[2022-04-09 21:41:40.646775]Total energy: 19718064.870746017
[2022-04-09 21:43:17.792054]Total energy: 19719649.33313062
[2022-04-09 21:44:47.652668]Total energy: 19742056.074133687
[2022-04-09 21:46:08.965869]Total energy: 19730160.846188914
[2022-04-09 21:47:29.890861]Total energy: 19736965.13037895
[2022-04-09 21:48:52.274167]Total energy: 19680309.924528573
[2022-04-09 21:50:14.427988]Total energy: 19692835.352644596
[2022-04-09 21:51:51.041875]Total energy: 19717836.799532533
[2022-04-09 21:53:35.136028]Total energy: 19756030.325070668
[2022-04-09 21:55:04.385811]Total energy: 19710202.475994032
[2022-04-09 21:56:26.909452]Total energy: 19713998.68602789
[2022-04-09 21:57:44.784725]Total energy: 19738634.439918026
[2022-04-09 21:59:04.074337]Total energy: 19746258.463727523
[2022-04-09 22:00:32.644959]Total energy: 19730541.876649473
[2022-04-09 22:02:07.413204]Total energy: 19709417.184293836
[2022-04-09 22:03:40.076094]Total energy: 19714578.847424448
[2022-04-09 22:05:19.043325]Total energy: 19687023.892525285
[2022-04-09 22:06:53.265579]Total energy: 19734529.983732074
[2022-04-09 22:08:14.886788]Total energy: 19760368.117463253
[2022-04-09 22:09:36.930180]Total energy: 19708271.6887152
[2022-04-09 22:11:22.438265]Total energy: 19769716.1741196
[2022-04-09 22:13:13.314387]Total energy: 19673950.9648411
[2022-04-09 22:14:45.629905]Total energy: 19692546.312904127
[2022-04-09 22:16:08.286540]Total energy: 19727486.624218266
[2022-04-09 22:17:32.742427]Total energy: 19800695.908322304
[2022-04-09 22:18:58.380042]Total energy: 19705962.234377805
[2022-04-09 22:20:20.308932]Total energy: 19777153.078462403
[2022-04-09 22:22:22.425154]Total energy: 19702580.303699378
[2022-04-09 22:24:04.778463]Total energy: 19797488.923703123
[2022-04-09 22:25:39.386780]Total energy: 19751229.41395771
[2022-04-09 22:27:08.306952]Total energy: 19749004.923412304
[2022-04-09 22:28:34.331902]Total energy: 19761859.702899992
[2022-04-09 22:29:54.080576]Total energy: 19777555.478850164
[2022-04-09 22:31:35.111601]Total energy: 19691698.288863834
[2022-04-09 22:33:13.376355]Total energy: 19727033.41874801
[2022-04-09 22:34:40.425846]Total energy: 19724351.76908159
[2022-04-09 22:36:08.142870]Total energy: 19736767.668888304
[2022-04-09 22:37:35.082255]Total energy: 19709494.39207813
[2022-04-09 22:38:58.563747]Total energy: 19722605.354602776
[2022-04-09 22:40:20.717800]Total energy: 19710418.320006408
[2022-04-09 22:42:10.073246]Total energy: 19785345.248034988
[2022-04-09 22:43:45.775293]Total energy: 19755151.614926968
[2022-04-09 22:45:09.929489]Total energy: 19715905.124818657
[2022-04-09 22:46:38.187861]Total energy: 19697597.016796235
[2022-04-09 22:48:06.859161]Total energy: 19741203.967215527
[2022-04-09 22:49:34.780251]Total energy: 19655812.036240082
[2022-04-09 22:51:11.386372]Total energy: 19707401.776649732
[2022-04-09 22:52:45.572717]Total energy: 19716734.575531665
[2022-04-09 22:54:13.045812]Total energy: 19731790.31196143
[2022-04-09 22:55:40.053241]Total energy: 19732177.79291257
[2022-04-09 22:57:08.689750]Total energy: 19680897.450946826
[2022-04-09 22:58:34.455426]Total energy: 19702924.652043737
[2022-04-09 23:00:00.834824]Total energy: 19780760.154538058
[2022-04-09 23:01:40.100274]Total energy: 19717526.194904536
[2022-04-09 23:03:25.379266]Total energy: 19747235.095213786
[2022-04-09 23:05:14.612435]Total energy: 19743878.179961
[2022-04-09 23:07:00.443456]Total energy: 19699766.60260244
[2022-04-09 23:08:37.448507]Total energy: 19675572.40876384
[2022-04-09 23:10:02.146591]Total energy: 19707025.400761195
[2022-04-09 23:11:25.229736]Total energy: 19747583.632088676
[2022-04-09 23:12:46.795380]Total energy: 19759947.674932912
[2022-04-09 23:14:17.793068]Total energy: 19694997.4467074
[2022-04-09 23:15:49.286399]Total energy: 19748127.967042144
[2022-04-09 23:17:18.272924]Total energy: 19655316.723314792
[2022-04-09 23:18:42.814540]Total energy: 19641363.266919356
[2022-04-09 23:20:03.563653]Total energy: 19661516.43722168
[2022-04-09 23:21:33.570254]Total energy: 19662276.87006472
[2022-04-09 23:23:14.196555]Total energy: 19702752.439315267
[2022-04-09 23:24:58.022655]Total energy: 19635517.25849939
[2022-04-09 23:26:34.198899]Total energy: 19634968.636407956
[2022-04-09 23:27:58.406477]Total energy: 19733796.213198625
[2022-04-09 23:29:22.766044]Total energy: 19752351.518127788
[2022-04-09 23:31:16.920741]Total energy: 19644967.63858224
[2022-04-09 23:33:03.860035]Total energy: 19632793.263821673
[2022-04-09 23:35:00.695497]Total energy: 19740605.623046685
[2022-04-09 23:36:50.028127]Total energy: 19669195.533986017
[2022-04-09 23:38:38.259942]Total energy: 19682703.429436967
[2022-04-09 23:40:06.628682]Total energy: 19745476.95731792
[2022-04-09 23:41:26.111738]Total energy: 19754228.5458819
[2022-04-09 23:42:44.085694]Total energy: 19725042.27685175
[2022-04-09 23:44:02.904848]Total energy: 19719609.158494096
[2022-04-09 23:45:22.042783]Total energy: 19696879.233235057
[2022-04-09 23:46:40.091647]Total energy: 19750937.635601457
[2022-04-09 23:47:59.952567]Total energy: 19761542.100316636
[2022-04-09 23:49:19.472457]Total energy: 19747334.174228523
[2022-04-09 23:50:45.112963]Total energy: 19692806.544625666
[2022-04-09 23:52:16.121330]Total energy: 19727352.868614543
[2022-04-09 23:53:49.747244]Total energy: 19679523.002271198
[2022-04-09 23:55:18.520457]Total energy: 19695288.822268177
[2022-04-09 23:56:39.188826]Total energy: 19692389.452502232
[2022-04-09 23:58:00.043119]Total energy: 19692474.472816482
[2022-04-09 23:59:20.385481]Total energy: 19704235.857593514
[2022-04-10 00:00:42.860541]Total energy: 19701009.277902365
[2022-04-10 00:02:15.843201]Total energy: 19693992.48947281
[2022-04-10 00:03:46.116504]Total energy: 19752898.11117063
[2022-04-10 00:05:12.989417]Total energy: 19755441.15346982
[2022-04-10 00:06:35.471490]Total energy: 19692385.37850566
[2022-04-10 00:07:58.313563]Total energy: 19728769.239681445
[2022-04-10 00:09:20.317583]Total energy: 19691965.839347333
[2022-04-10 00:11:09.429295]Total energy: 19690864.037453093
[2022-04-10 00:12:47.069270]Total energy: 19743062.07091443
[2022-04-10 00:14:27.036963]Total energy: 19733015.991479244
[2022-04-10 00:15:56.549119]Total energy: 19693614.782799173
[2022-04-10 00:17:15.284255]Total energy: 19720354.768834602
[2022-04-10 00:18:35.066516]Total energy: 19688598.364681512
[2022-04-10 00:19:55.154352]Total energy: 19706763.21427314
[2022-04-10 00:21:44.275090]Total energy: 19750871.97031775
[2022-04-10 00:23:17.086875]Total energy: 19717632.22500989
[2022-04-10 00:24:47.981313]Total energy: 19736066.515485436
[2022-04-10 00:26:16.773241]Total energy: 19683795.065606304
[2022-04-10 00:27:36.415810]Total energy: 19728601.988778487
[2022-04-10 00:28:56.019365]Total energy: 19719584.904986683
[2022-04-10 00:30:15.563301]Total energy: 19725281.89280609
[2022-04-10 00:31:35.030486]Total energy: 19708872.038534727
[2022-04-10 00:32:55.388967]Total energy: 19717674.477895603
[2022-04-10 00:34:15.093825]Total energy: 19676140.04035173
[2022-04-10 00:35:35.618592]Total energy: 19730327.093204655
[2022-04-10 00:36:56.838030]Total energy: 19716602.547944665
[2022-04-10 00:38:20.419512]Total energy: 19716683.400373753
[2022-04-10 00:39:44.084264]Total energy: 19656438.19193345
[2022-04-10 00:41:29.399032]Total energy: 19761520.287797704
[2022-04-10 00:43:17.931194]Total energy: 19730531.36978958
[2022-04-10 00:44:50.519804]Total energy: 19683179.034803838
[2022-04-10 00:46:10.961907]Total energy: 19726891.18128379
[2022-04-10 00:47:32.350630]Total energy: 19681591.565548867
[2022-04-10 00:48:51.019148]Total energy: 19744775.7216117
[2022-04-10 00:50:10.191959]Total energy: 19717980.267795023
[2022-04-10 00:51:51.307696]Total energy: 19668211.564417552
[2022-04-10 00:53:22.357810]Total energy: 19763027.07911735
[2022-04-10 00:54:49.907842]Total energy: 19686221.76080643
[2022-04-10 00:56:24.352285]Total energy: 19708629.498948075
[2022-04-10 00:58:01.559844]Total energy: 19675898.24091394
[2022-04-10 00:59:27.774146]Total energy: 19676484.825722907
[2022-04-10 01:00:48.546808]Total energy: 19632550.262421604
[2022-04-10 01:02:15.238099]Total energy: 19627310.984356567
[2022-04-10 01:03:41.669426]Total energy: 19766830.651020814
[2022-04-10 01:05:03.439005]Total energy: 19792231.038192052
[2022-04-10 01:06:21.158307]Total energy: 19799624.575703066
[2022-04-10 01:07:39.233274]Total energy: 19781099.823015317
[2022-04-10 01:08:57.356894]Total energy: 19785059.797513943
[2022-04-10 01:10:16.013483]Total energy: 19761164.189998448
[2022-04-10 01:11:59.209943]Total energy: 19749041.799477905
[2022-04-10 01:13:57.645273]Total energy: 19717254.42092671
[2022-04-10 01:15:32.937024]Total energy: 19800684.941039868
[2022-04-10 01:17:00.383042]Total energy: 19769304.521306
[2022-04-10 01:18:18.899350]Total energy: 19781142.289063293
[2022-04-10 01:19:38.023628]Total energy: 19742565.612390187
[2022-04-10 01:20:57.476160]Total energy: 19732914.95400103
[2022-04-10 01:22:18.120777]Total energy: 19814775.664364967
[2022-04-10 01:23:37.001220]Total energy: 19715415.872502353
[2022-04-10 01:24:56.217132]Total energy: 19701910.114774667
[2022-04-10 01:26:14.997078]Total energy: 19777763.930720005
[2022-04-10 01:27:35.164081]Total energy: 19714507.2409913
[2022-04-10 01:28:54.402233]Total energy: 19748954.67753328
[2022-04-10 01:30:15.386712]Total energy: 19782083.89673553
[2022-04-10 01:31:54.703832]Total energy: 19806148.89397467
[2022-04-10 01:33:30.296022]Total energy: 19738782.887333933
[2022-04-10 01:34:53.230885]Total energy: 19755468.046188083
[2022-04-10 01:36:12.703044]Total energy: 19791148.373716645
[2022-04-10 01:37:32.318297]Total energy: 19689787.7794422
[2022-04-10 01:38:56.694529]Total energy: 19786034.82966656
[2022-04-10 01:40:17.436630]Total energy: 19738166.818489812
[2022-04-10 01:41:58.128517]Total energy: 19753988.147637907
[2022-04-10 01:43:26.631376]Total energy: 19736854.39166029
[2022-04-10 01:44:46.770348]Total energy: 19666027.878672432
[2022-04-10 01:46:04.587079]Total energy: 19759627.076835636
[2022-04-10 01:47:26.963535]Total energy: 19718421.851539023
[2022-04-10 01:48:45.459880]Total energy: 19695618.078995623
[2022-04-10 01:50:04.174852]Total energy: 19751437.352958508
[2022-04-10 01:51:23.113004]Total energy: 19707860.435542103
[2022-04-10 01:52:41.649242]Total energy: 19649987.975912876
[2022-04-10 01:54:00.670805]Total energy: 19717674.1891516
[2022-04-10 01:55:21.441288]Total energy: 19700083.51192673
[2022-04-10 01:56:41.835020]Total energy: 19717450.58612401
[2022-04-10 01:58:02.001821]Total energy: 19720050.90502208
[2022-04-10 01:59:22.301659]Total energy: 19706582.84172138
[2022-04-10 02:01:04.890672]Total energy: 19688409.302715715
[2022-04-10 02:02:51.209364]Total energy: 19663953.23523338
[2022-04-10 02:04:28.328167]Total energy: 19693150.01299079
[2022-04-10 02:06:10.587693]Total energy: 19740035.309029635
[2022-04-10 02:07:38.326155]Total energy: 19669125.1086978
[2022-04-10 02:08:59.344278]Total energy: 19654880.69717512
[2022-04-10 02:10:21.280529]Total energy: 19681735.541222613
[2022-04-10 02:11:46.891021]Total energy: 19716909.01248892
[2022-04-10 02:13:10.826885]Total energy: 19726771.75098638
[2022-04-10 02:14:31.159942]Total energy: 19722650.472195048
[2022-04-10 02:15:50.705918]Total energy: 19664964.93394702
[2022-04-10 02:17:10.832242]Total energy: 19694106.755160335
[2022-04-10 02:18:31.482515]Total energy: 19667903.118201267
[2022-04-10 02:19:50.973425]Total energy: 19669178.474089134
[2022-04-10 02:21:48.742138]Total energy: 19757019.3583653
[2022-04-10 02:23:34.277691]Total energy: 19726092.711241122
[2022-04-10 02:24:59.461269]Total energy: 19738807.67631042
[2022-04-10 02:26:19.181855]Total energy: 19717325.990310136
[2022-04-10 02:27:38.344778]Total energy: 19706955.962791104
[2022-04-10 02:28:57.429590]Total energy: 19705263.456423607
[2022-04-10 02:30:18.043782]Total energy: 19679295.687945276
[2022-04-10 02:32:17.663757]Total energy: 19710310.43904406
[2022-04-10 02:34:05.770999]Total energy: 19724291.910953127
[2022-04-10 02:35:43.080603]Total energy: 19668910.81463713
[2022-04-10 02:37:11.155793]Total energy: 19699273.469895955
[2022-04-10 02:38:33.681331]Total energy: 19729566.619631052
[2022-04-10 02:39:56.082238]Total energy: 19663926.802448045
[2022-04-10 02:41:16.931078]Total energy: 19673671.754290685
[2022-04-10 02:42:33.359337]Total energy: 19694951.95536107
[2022-04-10 02:43:52.770084]Total energy: 19696675.143214807
[2022-04-10 02:45:11.255522]Total energy: 19654944.95390355
[2022-04-10 02:46:29.409119]Total energy: 19746327.65318571
[2022-04-10 02:47:47.276823]Total energy: 19682846.095571578
[2022-04-10 02:49:05.582703]Total energy: 19710850.0192963
[2022-04-10 02:50:39.893661]Total energy: 19743479.276175193
[2022-04-10 02:52:47.942519]Total energy: 19680091.19457058
[2022-04-10 02:54:26.121912]Total energy: 19694924.448690996
[2022-04-10 02:55:47.326813]Total energy: 19711526.77411901
