initial: 119 - diverse_no_blind_seed
[2022-04-09 15:48:34.140288]Total energy: 19690446.328300536
[2022-04-09 15:49:56.981537]Total energy: 19684311.91198441
[2022-04-09 15:51:24.665118]Total energy: 19653402.805901382
[2022-04-09 15:52:51.939776]Total energy: 19711387.809969593
[2022-04-09 15:54:14.830685]Total energy: 19722182.395203404
[2022-04-09 15:55:39.368779]Total energy: 19706743.296816573
[2022-04-09 15:57:02.250100]Total energy: 19672173.617345013
[2022-04-09 15:58:24.809550]Total energy: 19707266.232230503
[2022-04-09 15:59:46.212293]Total energy: 19750592.887542643
[2022-04-09 16:01:21.287971]Total energy: 19740935.639609296
[2022-04-09 16:02:57.698801]Total energy: 19752494.664392762
[2022-04-09 16:04:24.403665]Total energy: 19741972.221634813
[2022-04-09 16:05:46.916769]Total energy: 19777167.25184759
[2022-04-09 16:07:06.338834]Total energy: 19665095.108839422
[2022-04-09 16:08:26.563105]Total energy: 19713684.33012873
[2022-04-09 16:09:47.795054]Total energy: 19711715.76849187
[2022-04-09 16:11:37.312908]Total energy: 19699981.313142143
[2022-04-09 16:13:12.543834]Total energy: 19752282.848392017
[2022-04-09 16:14:46.909182]Total energy: 19760569.211564217
[2022-04-09 16:16:08.779101]Total energy: 19784038.724358864
[2022-04-09 16:17:28.991715]Total energy: 19804911.703309447
[2022-04-09 16:18:49.114824]Total energy: 19698065.81587287
[2022-04-09 16:20:10.747910]Total energy: 19782564.453311898
[2022-04-09 16:21:43.674397]Total energy: 19792180.66778747
[2022-04-09 16:23:21.250786]Total energy: 19752981.21967391
[2022-04-09 16:24:46.528063]Total energy: 19675071.258237876
[2022-04-09 16:26:06.441431]Total energy: 19727536.78035649
[2022-04-09 16:27:26.910214]Total energy: 19754824.6747914
[2022-04-09 16:28:46.860289]Total energy: 19675619.242147196
[2022-04-09 16:30:08.249005]Total energy: 19720172.28442251
[2022-04-09 16:31:37.176774]Total energy: 19737525.36683314
[2022-04-09 16:33:08.724722]Total energy: 19761154.587588415
[2022-04-09 16:34:29.865854]Total energy: 19699274.941706322
[2022-04-09 16:35:52.148992]Total energy: 19744582.255419336
[2022-04-09 16:37:10.835027]Total energy: 19742049.30958104
[2022-04-09 16:38:37.371802]Total energy: 19756662.128019914
[2022-04-09 16:40:06.251567]Total energy: 19735627.007441573
[2022-04-09 16:42:04.702964]Total energy: 19673641.399064135
[2022-04-09 16:43:36.910565]Total energy: 19651067.09191127
[2022-04-09 16:45:08.733401]Total energy: 19742033.815749574
[2022-04-09 16:46:35.484138]Total energy: 19780593.928944696
