initial: 117 - optimal_only_seed
[2022-04-07 22:34:34.681273]Total energy: 57195816.03024849
[2022-04-07 22:35:54.612719]Total energy: 57411866.42228896
[2022-04-07 22:37:13.006542]Total energy: 57345260.13510338
[2022-04-07 22:38:30.472186]Total energy: 57460935.67468693
[2022-04-07 22:39:48.934966]Total energy: 57399030.3862821
[2022-04-07 22:41:16.729374]Total energy: 57524313.83782185
[2022-04-07 22:42:39.759744]Total energy: 57480702.67211341
[2022-04-07 22:43:59.179329]Total energy: 57338357.34818063
[2022-04-07 22:45:18.436433]Total energy: 57378607.24234003
[2022-04-07 22:46:38.423151]Total energy: 57416141.23490646
[2022-04-07 22:47:57.000815]Total energy: 57277488.79001522
[2022-04-07 22:49:15.846624]Total energy: 57546831.52918541
[2022-04-07 22:50:34.866174]Total energy: 57433512.271597356
[2022-04-07 22:51:54.034322]Total energy: 57346137.22015289
[2022-04-07 22:53:13.238507]Total energy: 57290582.25458248
[2022-04-07 22:54:31.829968]Total energy: 57306961.13670837
[2022-04-07 22:55:52.061491]Total energy: 57397258.32423772
[2022-04-07 22:57:09.573821]Total energy: 57483400.0714419
[2022-04-07 22:58:28.354038]Total energy: 57398397.84310525
[2022-04-07 22:59:55.941113]Total energy: 57415057.70714938
[2022-04-07 23:01:23.660343]Total energy: 57486114.51097346
[2022-04-07 23:02:47.873811]Total energy: 57385149.56139208
[2022-04-07 23:04:06.694640]Total energy: 57333410.891417496
[2022-04-07 23:05:26.041171]Total energy: 57411167.928683005
[2022-04-07 23:06:45.283915]Total energy: 57441915.156359315
[2022-04-07 23:08:04.963124]Total energy: 57377232.59095197
[2022-04-07 23:09:25.068696]Total energy: 57445839.45324091
[2022-04-07 23:10:55.164775]Total energy: 57412144.820820384
[2022-04-07 23:12:21.340533]Total energy: 57425973.41900176
[2022-04-07 23:13:39.117326]Total energy: 57480266.19450618
[2022-04-07 23:14:57.774624]Total energy: 57438736.79711637
[2022-04-07 23:16:25.594942]Total energy: 57587628.29304656
[2022-04-07 23:17:45.880661]Total energy: 57475284.67405737
[2022-04-07 23:19:03.293384]Total energy: 57474701.14796536
[2022-04-07 23:20:38.308266]Total energy: 57440227.50697004
[2022-04-07 23:22:22.811819]Total energy: 57441860.41478033
[2022-04-07 23:23:47.634413]Total energy: 57487532.21737119
[2022-04-07 23:25:08.551012]Total energy: 57501411.79369529
[2022-04-07 23:26:30.453256]Total energy: 57407194.0798673
[2022-04-07 23:27:48.613483]Total energy: 57341539.06512753
[2022-04-07 23:29:07.492716]Total energy: 57511908.30511154
[2022-04-07 23:30:55.294173]Total energy: 57475651.26669825
[2022-04-07 23:32:20.895066]Total energy: 57379157.84140545
[2022-04-07 23:33:41.508440]Total energy: 57489231.69429816
[2022-04-07 23:34:58.973222]Total energy: 57405866.88238002
[2022-04-07 23:36:18.513491]Total energy: 57516939.86012607
[2022-04-07 23:37:36.937142]Total energy: 57459792.40210601
[2022-04-07 23:38:56.022051]Total energy: 57550431.39187238
[2022-04-07 23:40:17.483104]Total energy: 57506990.81674907
