initial: 112 - diverse_no_blind_seed
[2022-04-09 15:43:10.564727]Total energy: 17090796.62891611
[2022-04-09 15:44:35.975192]Total energy: 16972957.75598017
[2022-04-09 15:46:00.652646]Total energy: 16906562.629457016
[2022-04-09 15:47:27.663647]Total energy: 16971144.791363057
[2022-04-09 15:48:51.800273]Total energy: 16955097.44177021
[2022-04-09 15:50:19.061386]Total energy: 16996129.579926424
[2022-04-09 15:51:53.486405]Total energy: 16914894.417718127
[2022-04-09 15:53:23.418205]Total energy: 16962856.19577721
[2022-04-09 15:54:47.628847]Total energy: 16961685.98032283
[2022-04-09 15:56:13.481140]Total energy: 16941993.258156452
[2022-04-09 15:57:37.613700]Total energy: 16945410.36494874
[2022-04-09 15:59:03.899511]Total energy: 16961667.692885987
[2022-04-09 16:01:03.678226]Total energy: 16998234.99266928
[2022-04-09 16:02:52.906113]Total energy: 17015704.800717782
[2022-04-09 16:04:23.693876]Total energy: 16935251.959288124
[2022-04-09 16:05:50.271177]Total energy: 16985906.88136048
[2022-04-09 16:07:15.204125]Total energy: 16918435.974342596
[2022-04-09 16:08:39.343243]Total energy: 16936934.118044227
[2022-04-09 16:10:06.447886]Total energy: 17009323.58617662
[2022-04-09 16:11:45.140591]Total energy: 16998624.728377413
[2022-04-09 16:13:33.678955]Total energy: 16983486.168160345
[2022-04-09 16:15:00.711194]Total energy: 16975162.878671914
[2022-04-09 16:16:24.470461]Total energy: 16961711.64844259
[2022-04-09 16:17:48.197929]Total energy: 16957149.900361683
[2022-04-09 16:19:11.784931]Total energy: 16939024.420520946
[2022-04-09 16:21:03.098822]Total energy: 16982179.719471347
[2022-04-09 16:22:52.068621]Total energy: 16923172.740394264
[2022-04-09 16:24:20.688201]Total energy: 17000047.344608497
[2022-04-09 16:25:44.545969]Total energy: 16971133.914657593
[2022-04-09 16:27:07.713766]Total energy: 16985675.326746967
[2022-04-09 16:28:32.299815]Total energy: 16955288.4776007
[2022-04-09 16:29:56.051962]Total energy: 16939292.83634026
[2022-04-09 16:31:39.256159]Total energy: 16988913.415359866
[2022-04-09 16:33:23.440030]Total energy: 16940292.63285461
[2022-04-09 16:34:46.701032]Total energy: 16929126.498292767
[2022-04-09 16:36:11.699967]Total energy: 16990723.20416512
[2022-04-09 16:37:35.550955]Total energy: 16926974.396666758
[2022-04-09 16:38:57.893870]Total energy: 16959693.956960943
[2022-04-09 16:40:20.666195]Total energy: 16927708.197727714
[2022-04-09 16:41:54.206671]Total energy: 16907854.976313088
[2022-04-09 16:43:31.153063]Total energy: 17029040.914492335
[2022-04-09 16:45:08.771531]Total energy: 16999918.091515794
[2022-04-09 16:46:38.894046]Total energy: 16949396.00379657
[2022-04-09 16:48:03.170862]Total energy: 16929135.490615714
[2022-04-09 16:49:27.180562]Total energy: 16967638.881363
[2022-04-09 16:51:10.066003]Total energy: 16971170.081165336
