initial: all - diverse_no_blind_all
[2022-04-09 15:31:01.421815]Total energy: 16876264.97361727
[2022-04-09 15:32:40.012030]Total energy: 17070664.61885809
[2022-04-09 15:34:04.653265]Total energy: 17058986.946394954
[2022-04-09 15:35:22.057435]Total energy: 17059258.577540938
[2022-04-09 15:36:40.732040]Total energy: 17090724.610589124
[2022-04-09 15:37:58.237597]Total energy: 17090380.299230717
[2022-04-09 15:39:15.360976]Total energy: 17057807.272538446
[2022-04-09 15:40:51.255905]Total energy: 17091997.070508063
[2022-04-09 15:42:26.674693]Total energy: 17070930.55326256
[2022-04-09 15:43:44.755454]Total energy: 17060769.454504445
[2022-04-09 15:45:03.166219]Total energy: 17049140.820763372
[2022-04-09 15:46:21.075135]Total energy: 17077993.849728398
[2022-04-09 15:47:39.612894]Total energy: 17098878.630455542
[2022-04-09 15:48:57.201794]Total energy: 17078638.2393046
[2022-04-09 15:50:16.274822]Total energy: 17087095.246220987
[2022-04-09 15:51:39.878361]Total energy: 17043377.175734054
[2022-04-09 15:52:59.938249]Total energy: 17050124.54436733
[2022-04-09 15:54:19.204532]Total energy: 17118027.85033692
[2022-04-09 15:55:38.896475]Total energy: 17115834.996594153
[2022-04-09 15:56:57.360587]Total energy: 17062172.88504873
[2022-04-09 15:58:14.494930]Total energy: 17093272.09453474
[2022-04-09 15:59:32.708659]Total energy: 17099670.969011888
[2022-04-09 16:01:13.922962]Total energy: 17112192.60363094
[2022-04-09 16:02:45.694374]Total energy: 17090413.36309815
[2022-04-09 16:04:09.927086]Total energy: 17070973.06398134
[2022-04-09 16:05:27.397187]Total energy: 17076048.8345926
[2022-04-09 16:06:46.264830]Total energy: 17106259.474707596
[2022-04-09 16:08:02.887600]Total energy: 17068314.70815533
[2022-04-09 16:09:21.760198]Total energy: 17075636.844960093
[2022-04-09 16:11:08.026738]Total energy: 17076253.38847643
[2022-04-09 16:12:54.244975]Total energy: 17102893.348824315
[2022-04-09 16:14:24.624159]Total energy: 17091589.964434266
[2022-04-09 16:15:46.828726]Total energy: 17074419.787163597
[2022-04-09 16:17:05.792764]Total energy: 17074642.212717354
[2022-04-09 16:18:23.566772]Total energy: 17084373.54827482
[2022-04-09 16:19:41.898248]Total energy: 17141186.742138594
[2022-04-09 16:21:12.964822]Total energy: 17078129.49984631
[2022-04-09 16:22:48.534069]Total energy: 17100043.926322505
[2022-04-09 16:24:10.554999]Total energy: 17060206.282605547
[2022-04-09 16:25:28.131817]Total energy: 17062504.820998944
[2022-04-09 16:26:47.742880]Total energy: 17095970.8271719
[2022-04-09 16:28:07.337480]Total energy: 17068022.652870364
[2022-04-09 16:29:26.120688]Total energy: 17072959.4554727
[2022-04-09 16:31:01.096186]Total energy: 17095856.400673512
[2022-04-09 16:32:31.008311]Total energy: 17059265.816319652
[2022-04-09 16:33:55.737515]Total energy: 17076916.245649844
[2022-04-09 16:35:13.373572]Total energy: 17069272.364050824
[2022-04-09 16:36:33.860373]Total energy: 17063927.1170467
[2022-04-09 16:37:54.224881]Total energy: 17095092.810031354
[2022-04-09 16:39:13.622269]Total energy: 17101152.37441219
[2022-04-09 16:40:49.907933]Total energy: 17104860.2983159
[2022-04-09 16:42:19.703144]Total energy: 17115195.16896345
[2022-04-09 16:43:42.094749]Total energy: 17107221.823160343
[2022-04-09 16:45:08.082653]Total energy: 17057263.521877076
[2022-04-09 16:46:29.632817]Total energy: 17125445.406292118
[2022-04-09 16:47:50.042674]Total energy: 17067955.886168133
[2022-04-09 16:49:10.187331]Total energy: 17113007.248851515
[2022-04-09 16:50:51.487762]Total energy: 17113175.61605623
[2022-04-09 16:52:23.892852]Total energy: 17080697.11590024
[2022-04-09 16:53:45.849908]Total energy: 17092264.460702635
[2022-04-09 16:55:05.433314]Total energy: 17118257.387930293
[2022-04-09 16:56:23.613763]Total energy: 17067941.072067462
[2022-04-09 16:57:41.752621]Total energy: 17063138.217200875
[2022-04-09 16:59:00.497181]Total energy: 17128692.039467633
[2022-04-09 17:00:20.342715]Total energy: 17062420.526986662
[2022-04-09 17:01:45.595823]Total energy: 17067761.868710484
[2022-04-09 17:03:12.778899]Total energy: 17089908.11488208
[2022-04-09 17:04:33.773015]Total energy: 17105718.636039775
[2022-04-09 17:05:52.827415]Total energy: 17051503.384845506
[2022-04-09 17:07:12.534852]Total energy: 17099163.6603434
[2022-04-09 17:08:30.820556]Total energy: 17121395.452631
[2022-04-09 17:09:49.030136]Total energy: 17092223.887232304
[2022-04-09 17:11:24.714594]Total energy: 17062053.295936577
