initial: 118 - diverse_no_blind_seed
[2022-04-09 15:48:46.401422]Total energy: 37173919.167624675
[2022-04-09 15:50:07.730736]Total energy: 38281521.61737411
[2022-04-09 15:51:34.361414]Total energy: 38249350.683549024
[2022-04-09 15:53:01.059699]Total energy: 38329566.608856454
[2022-04-09 15:54:22.104199]Total energy: 38320384.91296246
[2022-04-09 15:55:43.158004]Total energy: 38319713.36539261
[2022-04-09 15:57:04.065104]Total energy: 38246715.76906537
[2022-04-09 15:58:25.348007]Total energy: 38346990.114799574
[2022-04-09 15:59:45.652912]Total energy: 38290717.26009817
[2022-04-09 16:01:28.867683]Total energy: 38172786.23511517
[2022-04-09 16:03:10.923157]Total energy: 38231173.424025334
[2022-04-09 16:04:32.375849]Total energy: 38324130.97293835
[2022-04-09 16:05:54.015994]Total energy: 38350018.801448286
[2022-04-09 16:07:15.184417]Total energy: 38251702.17866529
[2022-04-09 16:08:36.144593]Total energy: 38335169.01669015
[2022-04-09 16:09:56.936096]Total energy: 38391930.13045598
[2022-04-09 16:11:36.678199]Total energy: 38156405.90377194
[2022-04-09 16:13:08.465349]Total energy: 38081183.62715099
[2022-04-09 16:14:44.086648]Total energy: 38260055.62928957
[2022-04-09 16:16:07.195521]Total energy: 38154449.747466475
[2022-04-09 16:17:27.713496]Total energy: 38183020.46854164
[2022-04-09 16:18:47.982323]Total energy: 38109819.39687713
[2022-04-09 16:20:08.792212]Total energy: 38394674.31360379
[2022-04-09 16:21:45.284795]Total energy: 38357704.04596689
[2022-04-09 16:23:22.548525]Total energy: 38495863.142143175
[2022-04-09 16:24:51.740470]Total energy: 38261179.04635085
[2022-04-09 16:26:13.206247]Total energy: 38223254.540965326
[2022-04-09 16:27:33.991775]Total energy: 38357924.02111618
[2022-04-09 16:28:55.693429]Total energy: 38176606.644652225
[2022-04-09 16:30:16.901670]Total energy: 38281831.28929147
[2022-04-09 16:31:57.718118]Total energy: 38198605.719122246
[2022-04-09 16:33:37.101064]Total energy: 38223526.23657961
[2022-04-09 16:34:57.900390]Total energy: 38291935.635940105
[2022-04-09 16:36:19.515424]Total energy: 38357763.380085945
[2022-04-09 16:37:40.704901]Total energy: 38180902.56103509
[2022-04-09 16:39:01.453393]Total energy: 38363589.78118583
[2022-04-09 16:40:22.565819]Total energy: 38408628.04340662
[2022-04-09 16:42:02.253754]Total energy: 38271955.50581544
[2022-04-09 16:43:32.559767]Total energy: 38096333.57927027
[2022-04-09 16:45:06.523532]Total energy: 38203820.113490246
[2022-04-09 16:46:34.768717]Total energy: 38332298.39379794
[2022-04-09 16:47:55.665068]Total energy: 38256310.15662478
[2022-04-09 16:49:17.381434]Total energy: 38353825.400969885
[2022-04-09 16:51:00.069426]Total energy: 38149381.65880069
[2022-04-09 16:52:36.759543]Total energy: 38178196.77822086
[2022-04-09 16:53:57.877599]Total energy: 38229566.43138603
[2022-04-09 16:55:19.642692]Total energy: 38385437.530002914
[2022-04-09 16:56:39.843657]Total energy: 38435801.54719875
[2022-04-09 16:58:01.013225]Total energy: 38318688.67172046
[2022-04-09 16:59:21.807391]Total energy: 38389470.04638131
[2022-04-09 17:01:00.568904]Total energy: 38302389.11345395
[2022-04-09 17:02:45.703281]Total energy: 38157141.57529495
[2022-04-09 17:04:14.955411]Total energy: 38234076.24954207
[2022-04-09 17:05:36.340810]Total energy: 38326383.66384779
[2022-04-09 17:06:57.637284]Total energy: 38257814.755522236
[2022-04-09 17:08:18.482638]Total energy: 38245972.69694525
[2022-04-09 17:09:39.246004]Total energy: 38411596.673489004
[2022-04-09 17:11:18.446593]Total energy: 38361872.41676061
[2022-04-09 17:13:03.217496]Total energy: 38207259.62116162
[2022-04-09 17:14:33.069456]Total energy: 38326782.300070845
[2022-04-09 17:15:54.621589]Total energy: 38377840.00505656
[2022-04-09 17:17:15.521131]Total energy: 38424695.30565968
[2022-04-09 17:18:36.351970]Total energy: 38149584.71888176
[2022-04-09 17:19:57.523015]Total energy: 38366359.03498229
[2022-04-09 17:21:28.607037]Total energy: 38208954.62904257
[2022-04-09 17:23:09.934235]Total energy: 38269852.28720521
[2022-04-09 17:24:38.624109]Total energy: 38273326.370056435
[2022-04-09 17:25:59.401482]Total energy: 38220176.37617244
[2022-04-09 17:27:20.378584]Total energy: 38489982.74416081
[2022-04-09 17:28:40.844100]Total energy: 38240299.927797735
[2022-04-09 17:30:01.658669]Total energy: 38260966.082232706
[2022-04-09 17:31:31.689468]Total energy: 38202548.68658172
[2022-04-09 17:33:06.614431]Total energy: 38256755.532995425
[2022-04-09 17:34:36.073386]Total energy: 38190273.60819839
[2022-04-09 17:35:58.275453]Total energy: 38324833.25954048
[2022-04-09 17:37:19.802325]Total energy: 38315314.92085288
[2022-04-09 17:38:40.036629]Total energy: 38340738.91132113
[2022-04-09 17:40:01.519341]Total energy: 38352206.90415809
[2022-04-09 17:41:31.492059]Total energy: 38317960.749793656
[2022-04-09 17:43:02.195354]Total energy: 38400992.363496654
[2022-04-09 17:44:25.735333]Total energy: 38221858.91233165
[2022-04-09 17:45:49.454996]Total energy: 38358814.505416036
[2022-04-09 17:47:14.411586]Total energy: 38347578.84202809
[2022-04-09 17:48:35.671980]Total energy: 38334423.81764958
[2022-04-09 17:49:57.883708]Total energy: 38244285.64174139
[2022-04-09 17:51:39.520421]Total energy: 38387618.94057155
[2022-04-09 17:53:21.804580]Total energy: 38080583.36658151
[2022-04-09 17:54:49.865515]Total energy: 38290951.386216
[2022-04-09 17:56:11.398749]Total energy: 38423251.26415277
[2022-04-09 17:57:32.570856]Total energy: 38062722.699700125
[2022-04-09 17:58:54.825678]Total energy: 38255358.91597784
[2022-04-09 18:00:17.186757]Total energy: 38235684.63392939
[2022-04-09 18:01:47.750783]Total energy: 38328298.094795495
[2022-04-09 18:03:11.754375]Total energy: 38339781.23256704
[2022-04-09 18:04:32.807342]Total energy: 38286390.869745225
[2022-04-09 18:05:53.874774]Total energy: 38372007.20378696
[2022-04-09 18:07:14.205979]Total energy: 38384062.59457846
[2022-04-09 18:08:34.659656]Total energy: 38473610.378601894
[2022-04-09 18:09:55.774385]Total energy: 38212138.19475306
[2022-04-09 18:11:17.269134]Total energy: 38354564.78262929
[2022-04-09 18:12:37.528976]Total energy: 38229222.08347761
[2022-04-09 18:13:58.749388]Total energy: 38086914.20418752
[2022-04-09 18:15:20.529130]Total energy: 38283829.440615214
[2022-04-09 18:16:40.491870]Total energy: 38138877.09634902
[2022-04-09 18:18:01.174367]Total energy: 38220402.77677004
[2022-04-09 18:19:22.895275]Total energy: 38221746.64021886
[2022-04-09 18:20:59.653313]Total energy: 38176984.583306655
[2022-04-09 18:22:42.611762]Total energy: 38153168.23936043
[2022-04-09 18:24:05.001693]Total energy: 37958973.9925881
[2022-04-09 18:25:25.401261]Total energy: 38072128.778858736
[2022-04-09 18:26:47.635461]Total energy: 38007532.268735126
[2022-04-09 18:28:07.645345]Total energy: 38165200.61324699
[2022-04-09 18:29:36.808138]Total energy: 38043128.72890703
[2022-04-09 18:31:19.695933]Total energy: 38384808.56002886
[2022-04-09 18:33:08.973500]Total energy: 37990452.19395107
[2022-04-09 18:34:36.448492]Total energy: 38211345.43405502
[2022-04-09 18:35:57.460489]Total energy: 38022844.40396674
[2022-04-09 18:37:17.838415]Total energy: 38128271.614799246
[2022-04-09 18:38:39.333480]Total energy: 38093951.31490999
[2022-04-09 18:40:00.200533]Total energy: 38078010.70728465
[2022-04-09 18:41:29.784121]Total energy: 38122441.33284988
[2022-04-09 18:42:54.889588]Total energy: 38221559.07642119
[2022-04-09 18:44:15.948371]Total energy: 38369306.04521475
[2022-04-09 18:45:36.648339]Total energy: 38131440.44410899
[2022-04-09 18:46:57.463946]Total energy: 38110746.201906085
[2022-04-09 18:48:18.709329]Total energy: 38118166.6485256
[2022-04-09 18:49:38.985551]Total energy: 38203389.98918693
[2022-04-09 18:51:23.475644]Total energy: 37917117.12340312
[2022-04-09 18:53:06.096609]Total energy: 38108442.90654525
[2022-04-09 18:54:26.506464]Total energy: 38133822.38485457
[2022-04-09 18:55:48.354809]Total energy: 38060224.104857475
[2022-04-09 18:57:09.236261]Total energy: 38058003.201293945
[2022-04-09 18:58:29.525104]Total energy: 38191511.86658669
[2022-04-09 18:59:50.092117]Total energy: 38184908.805714555
[2022-04-09 19:01:43.855895]Total energy: 38089579.25818195
[2022-04-09 19:03:21.759792]Total energy: 38201908.65565857
[2022-04-09 19:04:56.822382]Total energy: 38107908.499098815
[2022-04-09 19:06:25.214017]Total energy: 38181264.36490364
[2022-04-09 19:07:46.302759]Total energy: 38129544.501668386
[2022-04-09 19:09:07.023442]Total energy: 38051032.66689659
[2022-04-09 19:11:04.535911]Total energy: 38061949.72815351
[2022-04-09 19:12:50.744282]Total energy: 38183487.54965173
[2022-04-09 19:14:21.885789]Total energy: 38101035.875396825
[2022-04-09 19:15:49.712457]Total energy: 38097352.27532374
[2022-04-09 19:17:58.114342]Total energy: 38108721.25989256
[2022-04-09 19:20:13.787878]Total energy: 38237106.56323643
[2022-04-09 19:21:45.554938]Total energy: 38042213.15916218
[2022-04-09 19:23:07.620117]Total energy: 38153709.54901092
[2022-04-09 19:24:28.154199]Total energy: 38064459.035069235
[2022-04-09 19:25:48.898314]Total energy: 38097265.47146927
[2022-04-09 19:27:09.420481]Total energy: 38084043.237872586
[2022-04-09 19:28:30.510646]Total energy: 38163650.87380029
[2022-04-09 19:29:51.250882]Total energy: 38125806.74490483
[2022-04-09 19:31:30.913893]Total energy: 38161733.91294228
[2022-04-09 19:32:59.952895]Total energy: 38150930.47652213
[2022-04-09 19:34:34.038736]Total energy: 38283974.68867807
[2022-04-09 19:36:03.047970]Total energy: 38161029.848846816
[2022-04-09 19:37:23.519458]Total energy: 38140968.09643234
[2022-04-09 19:38:44.537593]Total energy: 38140307.60921396
[2022-04-09 19:40:04.586069]Total energy: 38181763.62321167
[2022-04-09 19:41:32.495538]Total energy: 38128867.70777276
[2022-04-09 19:42:58.290638]Total energy: 38368560.682863936
[2022-04-09 19:44:18.115481]Total energy: 38369433.10676226
[2022-04-09 19:45:40.045959]Total energy: 38081437.57851195
[2022-04-09 19:47:00.888688]Total energy: 38039113.11095795
[2022-04-09 19:48:21.327105]Total energy: 38068483.5789204
[2022-04-09 19:49:41.452724]Total energy: 38379962.99645625
[2022-04-09 19:51:27.546993]Total energy: 38108870.006562464
[2022-04-09 19:53:20.681932]Total energy: 38066818.64606521
[2022-04-09 19:54:49.453665]Total energy: 38064849.47592915
[2022-04-09 19:56:09.861230]Total energy: 38211772.89347513
[2022-04-09 19:57:30.802348]Total energy: 38176151.684535205
[2022-04-09 19:58:50.668500]Total energy: 38253400.83377009
[2022-04-09 20:00:13.094775]Total energy: 38124213.78866905
[2022-04-09 20:01:45.646504]Total energy: 38076911.169781834
[2022-04-09 20:03:07.718691]Total energy: 38232798.926171914
[2022-04-09 20:04:27.683149]Total energy: 38260563.63123031
[2022-04-09 20:05:47.911176]Total energy: 38230719.24971709
[2022-04-09 20:07:08.508293]Total energy: 38145902.26003507
[2022-04-09 20:08:30.331863]Total energy: 38258252.34461125
[2022-04-09 20:09:50.959468]Total energy: 38020220.735810526
[2022-04-09 20:11:33.586969]Total energy: 38078190.426546864
[2022-04-09 20:13:07.424984]Total energy: 37945628.759455554
[2022-04-09 20:14:41.570755]Total energy: 38029222.82996986
[2022-04-09 20:16:20.096416]Total energy: 38074055.92435599
[2022-04-09 20:17:46.620220]Total energy: 38227228.2034754
[2022-04-09 20:19:07.790816]Total energy: 38018630.529149145
[2022-04-09 20:20:54.888188]Total energy: 38190749.98154271
[2022-04-09 20:22:38.974772]Total energy: 38190485.07540275
[2022-04-09 20:24:12.309256]Total energy: 38230393.26868123
[2022-04-09 20:25:32.566290]Total energy: 38099138.38267374
[2022-04-09 20:26:52.900514]Total energy: 37932489.04048833
[2022-04-09 20:28:13.352761]Total energy: 38146593.555119336
[2022-04-09 20:29:33.827886]Total energy: 38074508.52084247
[2022-04-09 20:31:01.523401]Total energy: 38276243.85039774
[2022-04-09 20:32:27.610593]Total energy: 38219995.86996873
[2022-04-09 20:33:51.944397]Total energy: 38115360.886901416
[2022-04-09 20:35:12.664411]Total energy: 38198159.6099877
[2022-04-09 20:36:33.600377]Total energy: 38012373.25739679
[2022-04-09 20:37:54.327026]Total energy: 38207460.09273316
[2022-04-09 20:39:15.084201]Total energy: 38046796.30896098
[2022-04-09 20:41:15.710423]Total energy: 38059508.37065303
[2022-04-09 20:43:04.458235]Total energy: 38149762.972127676
[2022-04-09 20:44:42.791490]Total energy: 37899034.08364442
[2022-04-09 20:46:14.314263]Total energy: 37918058.85430478
[2022-04-09 20:47:34.847872]Total energy: 37883369.86350251
[2022-04-09 20:48:56.276871]Total energy: 38208633.31993311
[2022-04-09 20:50:16.795157]Total energy: 37925033.95478122
[2022-04-09 20:51:58.516736]Total energy: 38204326.4327276
[2022-04-09 20:53:40.128543]Total energy: 38072289.31525206
[2022-04-09 20:55:03.514475]Total energy: 38089378.6430976
[2022-04-09 20:56:24.141031]Total energy: 37891800.15186675
[2022-04-09 20:57:44.116205]Total energy: 38039170.97047762
[2022-04-09 20:59:04.193857]Total energy: 38183213.60663259
[2022-04-09 21:00:57.376102]Total energy: 37990843.5736281
[2022-04-09 21:02:38.119256]Total energy: 38194513.85325358
[2022-04-09 21:04:18.332145]Total energy: 38024414.662422925
[2022-04-09 21:05:59.880785]Total energy: 38020883.905188456
[2022-04-09 21:07:36.646823]Total energy: 38004305.547481254
[2022-04-09 21:09:18.917649]Total energy: 37999736.80757254
[2022-04-09 21:10:48.010353]Total energy: 38056951.22950055
[2022-04-09 21:12:08.668228]Total energy: 37971776.892043434
[2022-04-09 21:13:30.172135]Total energy: 38039542.09407728
[2022-04-09 21:14:50.491898]Total energy: 38021435.92833256
[2022-04-09 21:16:11.277562]Total energy: 38083299.742408246
[2022-04-09 21:17:32.125858]Total energy: 38010060.788015075
[2022-04-09 21:18:51.734622]Total energy: 38066725.02365816
[2022-04-09 21:20:12.693499]Total energy: 37994574.83884884
[2022-04-09 21:21:56.603736]Total energy: 37965828.39209081
[2022-04-09 21:23:42.283880]Total energy: 37973353.59586514
[2022-04-09 21:25:08.611896]Total energy: 37986499.15128797
[2022-04-09 21:26:29.332394]Total energy: 38143030.918368995
[2022-04-09 21:27:49.591567]Total energy: 37907108.864325985
[2022-04-09 21:29:10.466379]Total energy: 37995217.44458516
[2022-04-09 21:31:00.106363]Total energy: 38058787.76857233
[2022-04-09 21:32:49.012476]Total energy: 38014657.54034133
[2022-04-09 21:34:31.186814]Total energy: 38137265.14735407
[2022-04-09 21:36:13.946825]Total energy: 38143718.69528985
[2022-04-09 21:37:42.577940]Total energy: 38039166.469647564
[2022-04-09 21:39:03.595897]Total energy: 37945765.49809343
