initial: all - diverse_all
[2022-04-07 21:22:26.297223]Total energy: 16958475.66908738
[2022-04-07 21:23:40.061203]Total energy: 16777199.196846182
[2022-04-07 21:24:47.234238]Total energy: 16837339.183229983
[2022-04-07 21:25:54.682118]Total energy: 16807219.9339953
[2022-04-07 21:27:02.252398]Total energy: 16812494.365235943
[2022-04-07 21:28:09.503384]Total energy: 16804095.955343235
[2022-04-07 21:29:16.403202]Total energy: 16821420.677807543
[2022-04-07 21:30:28.878574]Total energy: 16815865.10344873
[2022-04-07 21:31:46.784220]Total energy: 16804093.87257323
[2022-04-07 21:32:54.862762]Total energy: 16836621.66318417
[2022-04-07 21:34:02.162164]Total energy: 16832285.869050134
[2022-04-07 21:35:09.660168]Total energy: 16825711.470530942
[2022-04-07 21:36:16.991233]Total energy: 16815071.177100886
[2022-04-07 21:37:23.927884]Total energy: 16802916.91648362
[2022-04-07 21:38:30.446185]Total energy: 16806450.646068
[2022-04-07 21:39:38.626810]Total energy: 16818756.42281629
[2022-04-07 21:40:48.653633]Total energy: 16800541.34506276
[2022-04-07 21:41:55.414085]Total energy: 16808386.650129065
[2022-04-07 21:43:02.547268]Total energy: 16835572.61476829
[2022-04-07 21:44:08.756404]Total energy: 16853050.44813481
[2022-04-07 21:45:15.145095]Total energy: 16794491.997401208
[2022-04-07 21:46:30.099833]Total energy: 16811571.694531806
[2022-04-07 21:47:37.135375]Total energy: 16792081.4541175
[2022-04-07 21:48:45.501959]Total energy: 16770362.929987172
[2022-04-07 21:49:52.497127]Total energy: 16792780.318369187
[2022-04-07 21:51:05.833291]Total energy: 16791670.69532982
[2022-04-07 21:52:13.140731]Total energy: 16779258.701609675
[2022-04-07 21:53:19.811559]Total energy: 16810274.123199373
[2022-04-07 21:54:28.102370]Total energy: 16818059.149350945
[2022-04-07 21:55:37.675591]Total energy: 16743848.997207167
[2022-04-07 21:56:46.691301]Total energy: 16767564.05262053
[2022-04-07 21:57:54.762399]Total energy: 16781709.106570806
[2022-04-07 21:59:02.699933]Total energy: 16774856.774717804
[2022-04-07 22:00:10.191221]Total energy: 16790199.462526783
[2022-04-07 22:01:25.964382]Total energy: 16833345.484012257
[2022-04-07 22:02:34.337774]Total energy: 16775488.466118248
[2022-04-07 22:03:41.208501]Total energy: 16752536.819405518
[2022-04-07 22:04:47.993460]Total energy: 16753939.332227286
[2022-04-07 22:05:54.446370]Total energy: 16768156.846077465
[2022-04-07 22:07:01.643959]Total energy: 16845141.575588364
[2022-04-07 22:08:10.077522]Total energy: 16790811.81768076
[2022-04-07 22:09:18.584053]Total energy: 16803884.48645343
[2022-04-07 22:10:45.420097]Total energy: 16784735.86330229
[2022-04-07 22:12:07.757083]Total energy: 16794167.805060394
[2022-04-07 22:13:15.338425]Total energy: 16763814.468177881
[2022-04-07 22:14:22.053822]Total energy: 16771154.580909053
[2022-04-07 22:15:29.725135]Total energy: 16786628.114688545
[2022-04-07 22:16:37.587144]Total energy: 16732008.326668985
[2022-04-07 22:17:45.115832]Total energy: 16793130.79527505
[2022-04-07 22:18:53.453933]Total energy: 16764894.960705511
[2022-04-07 22:20:01.410095]Total energy: 16774687.772015352
[2022-04-07 22:21:14.293350]Total energy: 16772388.872153765
[2022-04-07 22:22:21.252239]Total energy: 16786183.392981354
[2022-04-07 22:23:27.821910]Total energy: 16765927.25342256
[2022-04-07 22:24:34.151156]Total energy: 16752206.05821485
[2022-04-07 22:25:40.895781]Total energy: 16802225.65540573
[2022-04-07 22:26:47.534526]Total energy: 16771087.116234593
[2022-04-07 22:27:54.107125]Total energy: 16799097.432222083
[2022-04-07 22:29:00.813231]Total energy: 16785549.853754796
[2022-04-07 22:30:08.986415]Total energy: 16774948.54401724
[2022-04-07 22:31:33.448316]Total energy: 16749517.83053325
[2022-04-07 22:32:49.490999]Total energy: 16829220.2621225
[2022-04-07 22:33:56.188166]Total energy: 16799317.237471115
[2022-04-07 22:35:03.896559]Total energy: 16787072.422641438
[2022-04-07 22:36:11.074085]Total energy: 16792901.87153309
[2022-04-07 22:37:18.888746]Total energy: 16791410.171518728
[2022-04-07 22:38:25.890972]Total energy: 16800998.880318787
[2022-04-07 22:39:34.034326]Total energy: 16746731.120422425
[2022-04-07 22:40:57.838581]Total energy: 16806987.35391507
[2022-04-07 22:42:18.626799]Total energy: 16797927.144738168
[2022-04-07 22:43:25.061599]Total energy: 16770166.474199716
