initial: all - optimal_only_all
[2022-04-07 20:12:12.995882]Total energy: 31700577.193587996
[2022-04-07 20:13:06.941157]Total energy: 31838073.31799297
[2022-04-07 20:13:58.822249]Total energy: 31925828.878398012
[2022-04-07 20:14:52.029422]Total energy: 31841183.432716664
[2022-04-07 20:15:44.023832]Total energy: 31827445.324673697
[2022-04-07 20:16:36.582804]Total energy: 31731734.635321964
[2022-04-07 20:17:29.705348]Total energy: 31832203.248941176
[2022-04-07 20:18:21.815692]Total energy: 31811003.421694934
[2022-04-07 20:19:15.690194]Total energy: 31902648.791745137
[2022-04-07 20:20:09.270074]Total energy: 31781211.6245017
[2022-04-07 20:21:07.836084]Total energy: 31811801.73648415
[2022-04-07 20:22:00.786795]Total energy: 31827802.85040693
[2022-04-07 20:22:53.451031]Total energy: 31830651.981646933
[2022-04-07 20:23:46.712009]Total energy: 31780596.37181383
[2022-04-07 20:24:39.160731]Total energy: 31863304.111366093
[2022-04-07 20:25:31.015813]Total energy: 31878500.51616222
[2022-04-07 20:26:22.800346]Total energy: 31829810.202752404
[2022-04-07 20:27:15.672375]Total energy: 31738031.931996237
[2022-04-07 20:28:08.057214]Total energy: 31767653.88649484
[2022-04-07 20:29:00.409736]Total energy: 32037026.245490238
[2022-04-07 20:29:53.848312]Total energy: 31757054.908820838
[2022-04-07 20:30:50.455608]Total energy: 31861866.193623293
[2022-04-07 20:31:47.989463]Total energy: 31810008.79450148
[2022-04-07 20:32:40.740248]Total energy: 31984764.141318716
[2022-04-07 20:33:30.684570]Total energy: 31879494.105017632
[2022-04-07 20:34:22.154612]Total energy: 31682906.258764125
[2022-04-07 20:35:12.030540]Total energy: 31892294.24501059
[2022-04-07 20:36:03.055190]Total energy: 31883974.761469275
[2022-04-07 20:36:53.000154]Total energy: 31897595.85750205
[2022-04-07 20:37:43.177237]Total energy: 31911102.68564406
[2022-04-07 20:38:33.765180]Total energy: 32078383.19239168
[2022-04-07 20:39:24.272354]Total energy: 31655195.42781572
[2022-04-07 20:40:14.414135]Total energy: 32170795.474643867
[2022-04-07 20:41:08.613695]Total energy: 32127934.757684324
[2022-04-07 20:42:05.277821]Total energy: 32122892.355963532
[2022-04-07 20:42:56.023630]Total energy: 32290398.76020349
[2022-04-07 20:43:45.967169]Total energy: 32082463.87564951
[2022-04-07 20:44:36.025533]Total energy: 32222577.572557837
[2022-04-07 20:45:27.052053]Total energy: 32142361.9462163
[2022-04-07 20:46:16.784496]Total energy: 32285702.622684035
[2022-04-07 20:47:06.728617]Total energy: 32190559.844278287
[2022-04-07 20:47:57.146881]Total energy: 32198491.37084242
[2022-04-07 20:48:48.084574]Total energy: 32330145.070582654
[2022-04-07 20:49:38.980817]Total energy: 32208542.42164134
[2022-04-07 20:50:45.706115]Total energy: 32013126.748317167
[2022-04-07 20:51:49.081708]Total energy: 32213563.091727115
[2022-04-07 20:52:38.987867]Total energy: 32046797.504012093
[2022-04-07 20:53:32.389268]Total energy: 32245904.345900647
[2022-04-07 20:54:22.041083]Total energy: 32152262.688874673
[2022-04-07 20:55:12.269574]Total energy: 32112649.340104237
[2022-04-07 20:56:13.399713]Total energy: 32110155.87520204
[2022-04-07 20:57:20.222910]Total energy: 32283032.527709395
[2022-04-07 20:58:10.355174]Total energy: 32259718.186386984
[2022-04-07 20:59:00.238349]Total energy: 32176456.726578675
[2022-04-07 20:59:50.592923]Total energy: 32211874.9290248
[2022-04-07 21:00:49.815373]Total energy: 32183533.49448424
[2022-04-07 21:01:47.083114]Total energy: 32086650.617280576
[2022-04-07 21:02:37.619594]Total energy: 32312060.887861054
[2022-04-07 21:03:28.183018]Total energy: 32235748.599512156
[2022-04-07 21:04:20.406595]Total energy: 32159584.71110339
[2022-04-07 21:05:10.292846]Total energy: 32098975.077274613
[2022-04-07 21:06:01.102009]Total energy: 32144092.17907311
[2022-04-07 21:06:54.011692]Total energy: 32173421.322463945
[2022-04-07 21:07:43.717811]Total energy: 32108534.830310464
[2022-04-07 21:08:35.423920]Total energy: 32299466.872439418
[2022-04-07 21:09:25.543906]Total energy: 32177784.894944753
[2022-04-07 21:10:17.707284]Total energy: 31973313.41508916
[2022-04-07 21:11:08.486187]Total energy: 32254158.198288605
[2022-04-07 21:11:58.639344]Total energy: 32283416.628328513
[2022-04-07 21:12:48.928923]Total energy: 32185774.00325774
[2022-04-07 21:13:41.997883]Total energy: 32172744.575161193
[2022-04-07 21:14:32.652959]Total energy: 32073080.30223289
[2022-04-07 21:15:23.513279]Total energy: 32326959.480292138
[2022-04-07 21:16:14.714396]Total energy: 32173887.07626881
[2022-04-07 21:17:05.408599]Total energy: 31948346.145201895
[2022-04-07 21:17:55.373151]Total energy: 32159017.916900206
[2022-04-07 21:18:47.612323]Total energy: 31963727.596163258
[2022-04-07 21:19:37.951843]Total energy: 32144718.25031257
[2022-04-07 21:20:32.943895]Total energy: 32087634.454610787
[2022-04-07 21:21:29.011771]Total energy: 32090436.023318306
[2022-04-07 21:22:25.484369]Total energy: 32183040.43445635
[2022-04-07 21:23:21.105664]Total energy: 32174299.89293002
[2022-04-07 21:24:12.576722]Total energy: 32211505.050982084
[2022-04-07 21:25:02.561927]Total energy: 32120309.566271596
[2022-04-07 21:25:52.725400]Total energy: 32006803.82648066
[2022-04-07 21:26:44.746341]Total energy: 32099449.986723464
[2022-04-07 21:27:35.324631]Total energy: 32161283.707222883
[2022-04-07 21:28:26.304170]Total energy: 32152656.504057292
[2022-04-07 21:29:16.387644]Total energy: 32176659.83370218
[2022-04-07 21:30:08.135434]Total energy: 32025332.137288157
[2022-04-07 21:31:02.449609]Total energy: 32282553.98372223
[2022-04-07 21:31:52.694000]Total energy: 32081427.898303505
[2022-04-07 21:32:43.365696]Total energy: 32146814.73613865
[2022-04-07 21:33:33.818253]Total energy: 32168164.785100244
[2022-04-07 21:34:24.225408]Total energy: 32236953.134978108
[2022-04-07 21:35:14.648716]Total energy: 32166394.99786806
[2022-04-07 21:36:06.540757]Total energy: 32146160.1950627
[2022-04-07 21:36:56.801571]Total energy: 32208574.06613616
[2022-04-07 21:37:46.905094]Total energy: 32147259.40779135
[2022-04-07 21:38:37.445571]Total energy: 32153142.075854253
[2022-04-07 21:39:29.920023]Total energy: 31899560.495928716
[2022-04-07 21:40:21.806764]Total energy: 32104265.148745544
[2022-04-07 21:41:16.422599]Total energy: 31998160.057328478
[2022-04-07 21:42:07.097995]Total energy: 32116037.997062128
[2022-04-07 21:42:58.691962]Total energy: 31951092.841947164
[2022-04-07 21:43:48.688643]Total energy: 32036812.409932315
[2022-04-07 21:44:39.978141]Total energy: 31975448.621041268
[2022-04-07 21:45:30.054864]Total energy: 31920287.088505518
[2022-04-07 21:46:30.749461]Total energy: 32101705.334237583
[2022-04-07 21:47:21.345188]Total energy: 32115183.80529045
[2022-04-07 21:48:11.859859]Total energy: 32008590.795196828
[2022-04-07 21:49:02.575115]Total energy: 32191474.02317363
[2022-04-07 21:49:52.983957]Total energy: 32087504.247517858
