initial: 108 - optimal_only_seed
[2022-04-07 19:23:47.034593]Total energy: 50689118.78824321
[2022-04-07 19:24:45.943957]Total energy: 50238765.01806141
[2022-04-07 19:25:44.903698]Total energy: 50412080.26180942
[2022-04-07 19:26:43.582717]Total energy: 50368890.553323925
[2022-04-07 19:27:43.592398]Total energy: 50298323.960465625
[2022-04-07 19:28:41.951902]Total energy: 50198691.0982732
[2022-04-07 19:29:40.912897]Total energy: 50474029.55730781
[2022-04-07 19:30:58.321531]Total energy: 50512068.49671309
[2022-04-07 19:31:59.310680]Total energy: 50672965.2625315
[2022-04-07 19:32:58.320183]Total energy: 50433040.49877518
[2022-04-07 19:33:56.729410]Total energy: 50487601.515763886
[2022-04-07 19:34:56.239585]Total energy: 50539469.64179589
[2022-04-07 19:35:54.650331]Total energy: 50493995.268927366
[2022-04-07 19:36:53.414436]Total energy: 50315513.553916164
[2022-04-07 19:37:52.725098]Total energy: 50514284.86311801
[2022-04-07 19:38:51.808985]Total energy: 50376260.35908291
[2022-04-07 19:39:50.814989]Total energy: 50625061.015209086
[2022-04-07 19:41:07.985974]Total energy: 50434470.912099615
[2022-04-07 19:42:24.945981]Total energy: 50613149.75656105
[2022-04-07 19:43:24.345909]Total energy: 50608459.34539354
[2022-04-07 19:44:23.956608]Total energy: 50791029.83432656
[2022-04-07 19:45:23.510035]Total energy: 50349842.81676555
[2022-04-07 19:46:21.963340]Total energy: 50522747.97057963
[2022-04-07 19:47:21.688080]Total energy: 50553754.000157826
[2022-04-07 19:48:21.646378]Total energy: 50442828.287940435
[2022-04-07 19:49:21.849015]Total energy: 50379515.70364156
[2022-04-07 19:50:27.202029]Total energy: 50595112.77854692
[2022-04-07 19:51:30.097969]Total energy: 50400545.88934952
[2022-04-07 19:52:29.095982]Total energy: 50392199.39386207
[2022-04-07 19:53:28.346158]Total energy: 50421288.26354193
[2022-04-07 19:54:30.252556]Total energy: 50450029.508379966
[2022-04-07 19:55:29.463113]Total energy: 50597940.16415528
[2022-04-07 19:56:28.094065]Total energy: 50424086.77264134
[2022-04-07 19:57:27.358867]Total energy: 50452599.27896099
[2022-04-07 19:58:26.247377]Total energy: 50436164.44030652
[2022-04-07 19:59:25.463438]Total energy: 50510356.89487282
[2022-04-07 20:00:32.815953]Total energy: 50348327.93464374
[2022-04-07 20:01:40.897135]Total energy: 50534849.01941854
[2022-04-07 20:02:43.004497]Total energy: 50486506.95914076
[2022-04-07 20:03:42.910341]Total energy: 50484517.390031345
[2022-04-07 20:04:42.297212]Total energy: 50558460.24482398
[2022-04-07 20:05:41.781694]Total energy: 50401920.76043077
[2022-04-07 20:06:40.778933]Total energy: 50282509.52475054
[2022-04-07 20:07:40.566658]Total energy: 50457103.68161219
[2022-04-07 20:08:41.915511]Total energy: 50667874.10840708
[2022-04-07 20:09:42.935531]Total energy: 50568785.68845639
[2022-04-07 20:11:01.056658]Total energy: 50568265.263872564
[2022-04-07 20:12:03.315249]Total energy: 50713043.362949856
[2022-04-07 20:13:04.840819]Total energy: 50612346.43497325
[2022-04-07 20:14:05.650324]Total energy: 50490268.83048966
[2022-04-07 20:15:04.851642]Total energy: 50473205.08072193
[2022-04-07 20:16:05.472596]Total energy: 50310117.57214972
[2022-04-07 20:17:06.738364]Total energy: 50616542.180188574
[2022-04-07 20:18:09.890421]Total energy: 50398567.7018912
[2022-04-07 20:19:09.950406]Total energy: 50509059.20295228
[2022-04-07 20:20:09.145829]Total energy: 50619811.52955994
[2022-04-07 20:21:09.421683]Total energy: 50607138.64058614
[2022-04-07 20:22:10.604640]Total energy: 50374395.70255843
[2022-04-07 20:23:09.666616]Total energy: 50497875.591937855
[2022-04-07 20:24:09.228700]Total energy: 50677309.3688812
[2022-04-07 20:25:07.912221]Total energy: 50485862.729313225
[2022-04-07 20:26:06.742713]Total energy: 50381217.729968674
[2022-04-07 20:27:05.696753]Total energy: 50452855.300872706
[2022-04-07 20:28:05.743496]Total energy: 50584906.77769848
[2022-04-07 20:29:05.233024]Total energy: 50323569.347201094
[2022-04-07 20:30:05.304900]Total energy: 50476217.77241858
[2022-04-07 20:31:08.507211]Total energy: 50526572.84481164
[2022-04-07 20:32:14.008567]Total energy: 50444163.576130524
[2022-04-07 20:33:12.769594]Total energy: 50503502.46486692
[2022-04-07 20:34:09.554635]Total energy: 50613485.51272375
[2022-04-07 20:35:07.503965]Total energy: 50427386.01687738
[2022-04-07 20:36:05.219052]Total energy: 50251255.53254003
[2022-04-07 20:37:02.597183]Total energy: 50512755.30924684
[2022-04-07 20:38:00.553366]Total energy: 50400686.124755435
[2022-04-07 20:38:57.583533]Total energy: 50394878.31837162
[2022-04-07 20:39:54.524272]Total energy: 50408467.0472614
[2022-04-07 20:41:01.347281]Total energy: 50378283.75156092
[2022-04-07 20:42:01.651944]Total energy: 50514820.97977498
[2022-04-07 20:42:59.426397]Total energy: 50468169.30590457
