initial: all - diverse_no_blind_all
[2022-04-09 17:57:20.497525]Total energy: 16825690.30095486
[2022-04-09 17:58:43.880102]Total energy: 16789076.235650633
[2022-04-09 18:00:09.158358]Total energy: 16818843.123383675
[2022-04-09 18:01:40.783688]Total energy: 16815646.55962548
[2022-04-09 18:03:08.815687]Total energy: 16822807.133753557
[2022-04-09 18:04:30.159515]Total energy: 16783087.89678396
[2022-04-09 18:05:52.570658]Total energy: 16773220.429178266
[2022-04-09 18:07:14.021883]Total energy: 16852517.417847652
[2022-04-09 18:08:37.338070]Total energy: 16841911.34360287
[2022-04-09 18:09:58.362510]Total energy: 16889071.52302652
[2022-04-09 18:11:19.512210]Total energy: 16843550.06799891
[2022-04-09 18:12:41.974706]Total energy: 16848119.03477029
[2022-04-09 18:14:04.646182]Total energy: 16837870.900991213
[2022-04-09 18:15:28.701768]Total energy: 16860090.218158007
[2022-04-09 18:16:50.898788]Total energy: 16790991.231269624
[2022-04-09 18:18:11.830044]Total energy: 16795905.601553172
[2022-04-09 18:19:35.259063]Total energy: 16815647.27650594
[2022-04-09 18:21:10.987502]Total energy: 16798134.43042707
[2022-04-09 18:22:40.836310]Total energy: 16836966.674167026
[2022-04-09 18:24:02.682479]Total energy: 16840995.799393423
[2022-04-09 18:25:25.788072]Total energy: 16816244.341479115
[2022-04-09 18:26:49.077242]Total energy: 16790061.994150143
[2022-04-09 18:28:13.486904]Total energy: 16788570.37355002
[2022-04-09 18:29:44.673238]Total energy: 16810160.445016243
[2022-04-09 18:31:22.490884]Total energy: 16809284.066832136
[2022-04-09 18:33:08.948064]Total energy: 16795187.82712237
[2022-04-09 18:34:35.382035]Total energy: 16794210.615091138
[2022-04-09 18:35:59.566665]Total energy: 16807509.729721222
[2022-04-09 18:37:23.098546]Total energy: 16840872.633485366
[2022-04-09 18:38:44.858486]Total energy: 16851547.706351113
[2022-04-09 18:40:05.727000]Total energy: 16808500.145873055
[2022-04-09 18:41:34.590267]Total energy: 16835693.157678287
[2022-04-09 18:42:57.115856]Total energy: 16805389.08336791
[2022-04-09 18:44:17.455734]Total energy: 16858140.201666698
[2022-04-09 18:45:38.961546]Total energy: 16802566.220713653
[2022-04-09 18:46:59.218272]Total energy: 16862082.50091644
[2022-04-09 18:48:19.644527]Total energy: 16829708.04421779
[2022-04-09 18:49:39.035770]Total energy: 16832324.50775466
[2022-04-09 18:51:47.764677]Total energy: 16866088.421535816
[2022-04-09 18:53:17.247109]Total energy: 16832791.146183483
[2022-04-09 18:54:36.690707]Total energy: 16858550.08935578
[2022-04-09 18:55:53.810668]Total energy: 16820799.68259845
[2022-04-09 18:57:13.672288]Total energy: 16875922.407976896
[2022-04-09 18:58:31.872777]Total energy: 16809914.3692081
[2022-04-09 18:59:50.040477]Total energy: 16837752.104014367
[2022-04-09 19:01:39.823446]Total energy: 16821269.671302028
[2022-04-09 19:03:17.806988]Total energy: 16814582.910025254
[2022-04-09 19:04:50.163456]Total energy: 16818008.57709651
[2022-04-09 19:06:12.778814]Total energy: 16826357.26895281
[2022-04-09 19:07:34.182125]Total energy: 16832636.665409938
[2022-04-09 19:08:57.793317]Total energy: 16872213.50499531
[2022-04-09 19:10:20.999583]Total energy: 16807416.795314055
[2022-04-09 19:11:50.721462]Total energy: 16812834.467397988
[2022-04-09 19:13:21.181235]Total energy: 16828314.743913777
[2022-04-09 19:14:44.750986]Total energy: 16815602.939096767
[2022-04-09 19:16:06.230208]Total energy: 16844132.707923595
[2022-04-09 19:18:48.477862]Total energy: 16863029.345806956
[2022-04-09 19:21:02.722196]Total energy: 16826725.602770753
[2022-04-09 19:22:28.701000]Total energy: 16822744.923376806
[2022-04-09 19:23:49.637359]Total energy: 16835690.78363502
[2022-04-09 19:25:12.528301]Total energy: 16804622.339194078
[2022-04-09 19:26:33.743463]Total energy: 16829054.91088672
[2022-04-09 19:27:57.628498]Total energy: 16771499.762443146
[2022-04-09 19:29:20.701027]Total energy: 16810747.775315255
[2022-04-09 19:30:59.120582]Total energy: 16815118.021943934
[2022-04-09 19:32:41.995502]Total energy: 16823876.120752044
[2022-04-09 19:34:20.448703]Total energy: 16810255.324329834
[2022-04-09 19:35:46.095460]Total energy: 16844396.741263404
[2022-04-09 19:37:07.440226]Total energy: 16828246.441666715
[2022-04-09 19:38:30.249978]Total energy: 16782918.501332723
[2022-04-09 19:39:53.720230]Total energy: 16794999.924446035
[2022-04-09 19:41:19.657154]Total energy: 16778961.817906465
[2022-04-09 19:42:45.053544]Total energy: 16833785.87658065
[2022-04-09 19:44:06.572008]Total energy: 16838327.660525996
[2022-04-09 19:45:30.363282]Total energy: 16858213.33432943
[2022-04-09 19:46:54.148661]Total energy: 16808239.458709087
[2022-04-09 19:48:16.015067]Total energy: 16794002.385559797
[2022-04-09 19:49:36.983317]Total energy: 16860418.157343276
[2022-04-09 19:51:17.348621]Total energy: 16847063.822965417
[2022-04-09 19:52:45.260491]Total energy: 16784276.990832347
[2022-04-09 19:54:15.743668]Total energy: 16789182.953362312
