initial: 101 - diverse_seed
[2022-04-07 20:24:46.501113]Total energy: 19615975.853712693
[2022-04-07 20:26:38.310763]Total energy: 19686129.428315405
[2022-04-07 20:28:25.726282]Total energy: 19666424.86070124
[2022-04-07 20:30:19.404546]Total energy: 19682984.607346628
[2022-04-07 20:32:16.494359]Total energy: 19658564.029415034
[2022-04-07 20:34:10.469054]Total energy: 19679317.6863199
[2022-04-07 20:36:03.177510]Total energy: 19681514.684554707
[2022-04-07 20:37:54.635980]Total energy: 19631350.98255212
[2022-04-07 20:39:47.301313]Total energy: 19713823.386170227
[2022-04-07 20:41:42.399862]Total energy: 19603562.04603352
[2022-04-07 20:43:32.765431]Total energy: 19642520.382724736
[2022-04-07 20:45:28.765401]Total energy: 19673237.099963065
[2022-04-07 20:47:21.069251]Total energy: 19655294.697647877
[2022-04-07 20:49:12.338804]Total energy: 19690609.36688774
[2022-04-07 20:51:14.072462]Total energy: 19599643.99796727
[2022-04-07 20:53:07.462466]Total energy: 19822878.96582427
[2022-04-07 20:55:00.247725]Total energy: 19676887.04656957
[2022-04-07 20:57:13.780261]Total energy: 19760873.00301149
[2022-04-07 20:59:07.993400]Total energy: 19769601.61340406
[2022-04-07 21:01:01.622229]Total energy: 19728088.530790985
[2022-04-07 21:02:51.707033]Total energy: 19733065.837693937
[2022-04-07 21:04:47.849080]Total energy: 19746683.033079423
[2022-04-07 21:06:39.264168]Total energy: 19871877.31359383
[2022-04-07 21:08:33.096736]Total energy: 19702523.552600402
[2022-04-07 21:10:33.960128]Total energy: 19775841.372381534
[2022-04-07 21:12:25.244964]Total energy: 19749991.744319696
[2022-04-07 21:14:18.042006]Total energy: 19734467.50321255
[2022-04-07 21:16:12.561677]Total energy: 19800771.07856425
[2022-04-07 21:18:10.687599]Total energy: 19750703.24678025
[2022-04-07 21:20:06.112715]Total energy: 19737875.663813632
[2022-04-07 21:22:05.412462]Total energy: 19794791.856695306
[2022-04-07 21:24:01.675214]Total energy: 19773682.891624965
[2022-04-07 21:25:56.395452]Total energy: 19720893.53706539
[2022-04-07 21:27:54.380001]Total energy: 19716417.825404454
[2022-04-07 21:29:49.204540]Total energy: 19782647.16982402
[2022-04-07 21:31:42.610723]Total energy: 19727368.613358643
[2022-04-07 21:33:35.336965]Total energy: 19840263.47046809
[2022-04-07 21:35:25.634880]Total energy: 19745756.48008584
[2022-04-07 21:37:18.033004]Total energy: 19795478.8352119
[2022-04-07 21:39:09.969082]Total energy: 19718504.50887553
[2022-04-07 21:41:07.840396]Total energy: 19795124.1166145
[2022-04-07 21:43:04.750511]Total energy: 19782566.372129556
[2022-04-07 21:44:57.169634]Total energy: 19785409.213959772
[2022-04-07 21:47:02.243307]Total energy: 19772149.86534607
[2022-04-07 21:48:54.652907]Total energy: 19685463.60383295
[2022-04-07 21:50:59.362025]Total energy: 19684566.49223468
[2022-04-07 21:52:56.002241]Total energy: 19760651.223926675
[2022-04-07 21:54:48.142639]Total energy: 19727286.097267885
[2022-04-07 21:56:44.144351]Total energy: 19885738.00129931
[2022-04-07 21:58:37.689565]Total energy: 19756352.289317623
[2022-04-07 22:00:34.523755]Total energy: 19711911.46301078
[2022-04-07 22:02:32.592408]Total energy: 19827208.677754413
[2022-04-07 22:04:22.977489]Total energy: 19768189.333328683
[2022-04-07 22:06:14.233618]Total energy: 19657525.726291828
[2022-04-07 22:08:06.401421]Total energy: 19718752.706893355
[2022-04-07 22:10:01.632267]Total energy: 19818606.993866675
[2022-04-07 22:11:58.029371]Total energy: 19799780.2016916
[2022-04-07 22:13:53.294239]Total energy: 19794903.67264518
[2022-04-07 22:15:50.069077]Total energy: 19795428.569723457
[2022-04-07 22:17:45.533517]Total energy: 19817924.23658428
[2022-04-07 22:19:43.029835]Total energy: 19808466.355609007
[2022-04-07 22:21:38.113833]Total energy: 19751948.62546136
[2022-04-07 22:23:33.882467]Total energy: 19844545.874554884
[2022-04-07 22:25:28.512732]Total energy: 19754332.97154495
[2022-04-07 22:27:26.834798]Total energy: 19723058.271392833
[2022-04-07 22:29:21.665908]Total energy: 19733402.106646646
[2022-04-07 22:31:24.976784]Total energy: 19746197.886528555
[2022-04-07 22:33:26.842656]Total energy: 19721419.205707435
[2022-04-07 22:35:21.079953]Total energy: 19754540.25077019
[2022-04-07 22:37:15.497920]Total energy: 19765769.779814035
[2022-04-07 22:39:11.269959]Total energy: 19793340.02006048
[2022-04-07 22:41:15.732907]Total energy: 19787205.072390027
[2022-04-07 22:43:14.789594]Total energy: 19763752.328748908
[2022-04-07 22:45:08.235650]Total energy: 19698793.043140028
[2022-04-07 22:47:07.002826]Total energy: 19802397.46616907
[2022-04-07 22:49:05.582234]Total energy: 19805136.793472208
[2022-04-07 22:51:00.716979]Total energy: 19825741.02480134
[2022-04-07 22:52:57.007015]Total energy: 19778120.91381844
[2022-04-07 22:54:51.247550]Total energy: 19759310.894931115
[2022-04-07 22:56:46.874423]Total energy: 19744435.791372277
[2022-04-07 22:58:42.737083]Total energy: 19756593.519509528
[2022-04-07 23:00:51.106642]Total energy: 19838281.426858008
[2022-04-07 23:02:55.865417]Total energy: 19773458.954755064
[2022-04-07 23:04:54.662940]Total energy: 19885630.84905858
[2022-04-07 23:06:47.209449]Total energy: 19750030.757097002
[2022-04-07 23:08:42.703514]Total energy: 19798223.488602117
[2022-04-07 23:10:43.688281]Total energy: 19779477.892278578
[2022-04-07 23:12:46.399318]Total energy: 19769380.060717814
