initial: 114 - optimal_only_seed
[2022-04-07 22:16:24.563843]Total energy: 51784114.55215445
[2022-04-07 22:17:22.044863]Total energy: 52021152.74900681
[2022-04-07 22:18:20.461334]Total energy: 51736268.71879223
[2022-04-07 22:19:19.914861]Total energy: 51701979.69246595
[2022-04-07 22:20:18.382357]Total energy: 51853484.75799645
[2022-04-07 22:21:16.146842]Total energy: 51910013.3949183
[2022-04-07 22:22:15.307732]Total energy: 51704013.128957145
[2022-04-07 22:23:14.166341]Total energy: 51895863.98253551
[2022-04-07 22:24:12.472205]Total energy: 51437488.83948633
[2022-04-07 22:25:11.553493]Total energy: 51819256.185374714
[2022-04-07 22:26:09.102562]Total energy: 51985916.26563666
[2022-04-07 22:27:06.608663]Total energy: 52225490.9287731
[2022-04-07 22:28:03.844525]Total energy: 51720949.77091689
[2022-04-07 22:29:02.513705]Total energy: 51976462.08706723
[2022-04-07 22:30:00.702653]Total energy: 51569499.44012625
[2022-04-07 22:31:13.665066]Total energy: 51701856.817409806
[2022-04-07 22:32:17.373799]Total energy: 51740755.71470557
[2022-04-07 22:33:16.338641]Total energy: 52144107.21863666
[2022-04-07 22:34:14.338078]Total energy: 51908898.13018661
[2022-04-07 22:35:12.849491]Total energy: 51397970.9069144
[2022-04-07 22:36:11.340835]Total energy: 52587611.90973033
[2022-04-07 22:37:10.247053]Total energy: 52032441.80859538
[2022-04-07 22:38:07.785465]Total energy: 52321961.76193256
[2022-04-07 22:39:06.117514]Total energy: 52239927.965569705
[2022-04-07 22:40:04.559413]Total energy: 51827667.696173504
[2022-04-07 22:41:16.249429]Total energy: 52386595.89082978
[2022-04-07 22:42:18.115115]Total energy: 52436796.30299933
[2022-04-07 22:43:16.301116]Total energy: 52600626.31739729
[2022-04-07 22:44:13.501381]Total energy: 52498076.050033204
[2022-04-07 22:45:11.180533]Total energy: 52604936.86654641
[2022-04-07 22:46:09.650227]Total energy: 52117915.449642725
[2022-04-07 22:47:07.564144]Total energy: 52006109.81389898
[2022-04-07 22:48:05.342916]Total energy: 52298020.772295445
[2022-04-07 22:49:03.911477]Total energy: 52328221.71192147
[2022-04-07 22:50:02.161804]Total energy: 52273774.7457445
[2022-04-07 22:51:08.669451]Total energy: 52203943.71639722
[2022-04-07 22:52:14.064412]Total energy: 51729240.82101495
