initial: all - optimal_only_all
[2022-04-07 20:18:21.742820]Total energy: 31784213.136768963
[2022-04-07 20:19:37.847754]Total energy: 31876896.105268043
[2022-04-07 20:21:04.521327]Total energy: 31899647.64307642
[2022-04-07 20:22:22.029177]Total energy: 31826117.14068625
[2022-04-07 20:23:40.641878]Total energy: 31942860.583148066
[2022-04-07 20:24:56.933152]Total energy: 31743633.101170786
[2022-04-07 20:26:12.807365]Total energy: 31722657.561747756
[2022-04-07 20:27:28.744268]Total energy: 31612260.653053794
[2022-04-07 20:28:47.772283]Total energy: 31612905.940572727
[2022-04-07 20:30:07.060488]Total energy: 31671717.05695858
[2022-04-07 20:31:31.138416]Total energy: 31998851.018740978
[2022-04-07 20:32:48.990978]Total energy: 31915513.68702225
[2022-04-07 20:34:03.825670]Total energy: 31891658.53497424
[2022-04-07 20:35:19.309423]Total energy: 31775877.79481629
[2022-04-07 20:36:34.555963]Total energy: 31926040.086035915
[2022-04-07 20:37:50.774227]Total energy: 31821827.783363808
[2022-04-07 20:39:06.322457]Total energy: 31772740.65303758
[2022-04-07 20:40:22.719719]Total energy: 31671393.887966134
[2022-04-07 20:41:46.643806]Total energy: 31779233.016345788
[2022-04-07 20:43:01.846247]Total energy: 31790726.1959179
[2022-04-07 20:44:17.546954]Total energy: 31684112.694593243
[2022-04-07 20:45:35.855395]Total energy: 31700449.126771126
[2022-04-07 20:46:51.591958]Total energy: 31868913.20940678
[2022-04-07 20:48:07.409030]Total energy: 31674135.9729756
[2022-04-07 20:49:22.873974]Total energy: 31856812.697884228
[2022-04-07 20:50:49.775682]Total energy: 31828675.875288155
[2022-04-07 20:52:12.333040]Total energy: 31733334.718904685
[2022-04-07 20:53:31.095214]Total energy: 31758821.323929112
[2022-04-07 20:54:46.017060]Total energy: 31831989.632020745
[2022-04-07 20:56:12.985928]Total energy: 31750770.45543008
[2022-04-07 20:57:34.163489]Total energy: 31770262.82965434
[2022-04-07 20:58:47.604471]Total energy: 31901760.41577832
[2022-04-07 21:00:01.014116]Total energy: 31894109.76373363
[2022-04-07 21:01:18.653971]Total energy: 31736759.761843238
[2022-04-07 21:02:33.700790]Total energy: 31782549.767453488
[2022-04-07 21:03:49.425427]Total energy: 31848465.36282569
[2022-04-07 21:05:03.162588]Total energy: 31891460.26359344
[2022-04-07 21:06:18.673700]Total energy: 31663379.061341304
[2022-04-07 21:07:35.357254]Total energy: 31799429.66590151
[2022-04-07 21:08:52.836777]Total energy: 31744355.5404246
[2022-04-07 21:10:09.540747]Total energy: 31602448.659932952
[2022-04-07 21:11:25.095202]Total energy: 31906950.329282932
[2022-04-07 21:12:41.053203]Total energy: 31961850.77381913
[2022-04-07 21:13:58.518619]Total energy: 31915426.51423352
[2022-04-07 21:15:13.485131]Total energy: 31885963.910931934
[2022-04-07 21:16:29.792557]Total energy: 31881163.840783987
[2022-04-07 21:17:44.960117]Total energy: 31924790.939156126
[2022-04-07 21:19:01.032795]Total energy: 31812008.968390197
[2022-04-07 21:20:16.786824]Total energy: 31836848.36110429
[2022-04-07 21:21:35.356686]Total energy: 32074208.392641228
[2022-04-07 21:22:49.634104]Total energy: 31956816.561025586
[2022-04-07 21:24:07.964150]Total energy: 31855083.851555344
[2022-04-07 21:25:22.328089]Total energy: 31907482.0972975
[2022-04-07 21:26:39.385780]Total energy: 31885284.58886554
[2022-04-07 21:27:55.236414]Total energy: 31862619.76821327
[2022-04-07 21:29:09.255412]Total energy: 31854865.0807789
[2022-04-07 21:30:30.036668]Total energy: 31998258.798327673
[2022-04-07 21:31:51.516091]Total energy: 31897789.68137351
[2022-04-07 21:33:07.432358]Total energy: 32131948.80132675
[2022-04-07 21:34:24.159308]Total energy: 31858917.353098806
[2022-04-07 21:35:39.792164]Total energy: 31857014.667628508
[2022-04-07 21:36:57.301696]Total energy: 31759435.897768263
[2022-04-07 21:38:13.117364]Total energy: 31887049.990779735
[2022-04-07 21:39:31.485404]Total energy: 31823634.8003838
[2022-04-07 21:40:56.153051]Total energy: 31953383.30373109
[2022-04-07 21:42:14.269591]Total energy: 31890345.833501037
[2022-04-07 21:43:30.673589]Total energy: 31848334.287433174
[2022-04-07 21:44:46.955351]Total energy: 32022145.80342889
[2022-04-07 21:46:13.209962]Total energy: 31822993.330845654
[2022-04-07 21:47:28.648751]Total energy: 32016540.994727105
[2022-04-07 21:48:43.982247]Total energy: 31879270.628935426
[2022-04-07 21:49:58.727078]Total energy: 31919388.813956235
[2022-04-07 21:51:15.308086]Total energy: 31941139.39584696
[2022-04-07 21:52:30.764679]Total energy: 31952722.867822133
[2022-04-07 21:53:46.553705]Total energy: 31799249.54400148
[2022-04-07 21:55:01.455486]Total energy: 31804043.105685808
[2022-04-07 21:56:17.700546]Total energy: 31947040.086302593
[2022-04-07 21:57:33.406105]Total energy: 32002074.494908795
[2022-04-07 21:58:48.301625]Total energy: 31809676.14676398
[2022-04-07 22:00:04.239241]Total energy: 31814618.119128622
[2022-04-07 22:01:27.414091]Total energy: 32009626.2620972
[2022-04-07 22:02:43.135027]Total energy: 32069934.717157766
[2022-04-07 22:04:00.389257]Total energy: 31762543.21086986
[2022-04-07 22:05:17.375353]Total energy: 31818468.497684453
[2022-04-07 22:06:34.169170]Total energy: 31928252.34788927
[2022-04-07 22:07:48.918577]Total energy: 31824759.369969152
[2022-04-07 22:09:03.633403]Total energy: 31970987.727704007
[2022-04-07 22:10:19.452753]Total energy: 31853841.690380555
[2022-04-07 22:11:43.670684]Total energy: 31822410.68940655
[2022-04-07 22:13:00.182087]Total energy: 31816282.703432266
[2022-04-07 22:14:16.238749]Total energy: 31913718.394510742
[2022-04-07 22:15:30.987760]Total energy: 31869388.60104452
[2022-04-07 22:16:47.118163]Total energy: 31906136.822590265
[2022-04-07 22:18:02.021913]Total energy: 31822439.938196335
[2022-04-07 22:19:18.942261]Total energy: 31821849.71305171
[2022-04-07 22:20:47.250526]Total energy: 31684942.529230293
[2022-04-07 22:22:11.031449]Total energy: 31925317.688839246
[2022-04-07 22:23:26.953997]Total energy: 31913418.963514775
[2022-04-07 22:24:42.006027]Total energy: 31974788.643673223
[2022-04-07 22:25:56.596426]Total energy: 31850262.894304037
[2022-04-07 22:27:11.037066]Total energy: 31743523.95949583
[2022-04-07 22:28:26.103725]Total energy: 31751865.98681284
[2022-04-07 22:29:40.946364]Total energy: 31702971.748432077
[2022-04-07 22:31:03.878188]Total energy: 31776141.31939012
[2022-04-07 22:32:26.528852]Total energy: 31656655.32544104
[2022-04-07 22:33:43.575714]Total energy: 31693096.99194185
[2022-04-07 22:34:59.011686]Total energy: 31750802.473122124
[2022-04-07 22:36:15.592777]Total energy: 31822051.532487206
[2022-04-07 22:37:30.501755]Total energy: 31793109.91474028
